link,posbin,stop_h_g1_200ctl,stop_h_h0_1000,stop_h_h11_1000ctl,stop_h_nc200,ttt_h_g1_200ctl,ttt_h_h0_1000,ttt_h_h11_1000ctl,ttt_h_nc200,d_ttt_h0_nc,d_ttt_h11_g1
2,0,28.5,53.0,54.5,39.7,83.0,104.4,105.9,93.5,10.900000000000006,22.900000000000006
2,250,29.8,56.6,57.4,43.0,87.5,109.2,109.5,98.2,11.0,22.0
2,500,30.1,59.4,59.6,44.1,88.1,111.2,110.5,99.0,12.200000000000003,22.400000000000006
2,750,30.8,60.7,60.3,45.7,87.2,111.9,110.7,98.1,13.800000000000011,23.5
2,1000,25.8,56.9,56.9,40.7,81.0,108.4,108.0,93.7,14.700000000000003,27.0
2,1250,17.1,54.3,54.9,33.3,60.0,100.1,100.3,78.2,21.89999999999999,40.3
2,1500,10.1,57.3,59.5,29.1,41.4,101.1,103.2,66.2,34.89999999999999,61.800000000000004
2,1750,8.0,68.9,76.1,34.1,36.0,110.5,114.3,69.5,41.0,78.3
2,2000,0.3,1.7,2.0,1.0,13.9,14.1,13.1,14.2,-0.09999999999999964,-0.8000000000000007
2,2250,0.0,0.0,0.0,0.0,13.4,11.5,9.7,12.8,-1.3000000000000007,-3.700000000000001
2,2500,0.0,0.0,0.0,0.0,13.1,10.9,9.3,12.3,-1.4000000000000004,-3.799999999999999
2,2750,0.0,0.0,0.0,0.3,10.7,8.7,8.0,10.4,-1.700000000000001,-2.6999999999999993
2,3000,0.0,0.0,0.0,9.5,10.1,8.1,7.6,21.9,-13.799999999999999,-2.5
2,3250,0.0,1.0,0.0,32.9,9.9,9.6,7.5,50.5,-40.9,-2.4000000000000004
2,3500,0.0,21.7,0.0,54.0,9.9,34.6,7.4,76.2,-41.6,-2.5
2,3750,0.0,44.1,1.3,61.8,10.0,62.2,8.9,86.1,-23.89999999999999,-1.0999999999999996
2,4000,1.0,20.0,7.3,25.4,9.3,31.8,13.7,39.0,-7.199999999999999,4.399999999999999
2,4250,4.7,0.0,10.0,0.1,14.1,7.3,17.0,7.7,-0.40000000000000036,2.9000000000000004
2,4500,0.0,0.0,0.0,0.0,6.1,5.0,4.6,5.1,-0.09999999999999964,-1.5
74,-250,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0
74,0,27.8,43.5,45.4,35.3,88.6,103.7,105.1,95.9,7.799999999999997,16.5
74,250,25.7,43.6,44.9,34.2,80.0,97.9,99.5,88.5,9.400000000000006,19.5
74,500,25.6,44.5,45.9,34.5,78.8,97.9,99.5,88.0,9.900000000000006,20.700000000000003
74,750,26.1,45.1,46.7,35.0,78.6,98.2,99.9,88.4,9.799999999999997,21.30000000000001
74,1000,27.1,46.2,48.3,36.1,80.3,99.5,101.4,89.7,9.799999999999997,21.10000000000001
74,1250,27.3,47.7,49.2,37.3,81.3,102.0,103.2,91.4,10.599999999999994,21.900000000000006
74,1500,28.1,48.6,50.2,38.3,82.3,103.1,104.2,92.3,10.799999999999997,21.900000000000006
74,1750,27.6,49.7,51.1,38.4,82.3,104.1,105.2,93.4,10.699999999999989,22.900000000000006
74,2000,28.5,51.3,52.5,38.8,82.6,104.9,106.3,93.9,11.0,23.700000000000003
74,2250,28.9,52.5,53.4,39.4,83.7,106.0,107.3,94.6,11.400000000000006,23.599999999999994
74,2500,23.0,42.3,42.8,31.2,66.3,83.6,84.6,74.9,8.699999999999989,18.299999999999997
