link,lane,g1_200ctl,h0_1000,h11_1000ctl,nc200
31,2,11,0,2,0
32,1,1,1,0,0
32,2,1,0,0,0
32,3,7,2,27,0
68,2,1,0,0,1
68,3,0,0,0,1
69,2,0,0,18,0
70,2,0,0,13,0
