link,d_total,d_stop,ttt_b,ttt_a,length,lanes
2,284.26388888888886,313.66805555555555,684.8166666666667,969.0805555555555,4691.6,4
74,230.99305555555554,234.82361111111112,885.1625,1116.1555555555556,2701.6,4
32,193.96527777777777,196.38611111111112,255.59722222222223,449.5625,1963.4,3
69,80.4361111111111,73.65138888888889,69.70138888888889,150.1375,1796.8,4
10482,55.715277777777786,57.71666666666667,62.0125,117.72777777777779,380.8,2
10639,40.36527777777778,40.43611111111111,4.301388888888887,44.666666666666664,320.5,1
1220021203,31.775000000000002,30.261111111111113,16.269444444444442,48.044444444444444,200.0,4
10681,28.434722222222224,27.538888888888888,3.872222222222221,32.30694444444444,296.4,2
1220018401,24.675,23.1,38.19444444444444,62.86944444444445,170.0,5
10638,23.845833333333335,22.3625,7.626388888888887,31.47222222222222,288.2,2
1220011503,18.509722222222223,17.795833333333334,79.75277777777778,98.2625,226.1,5
420,15.970833333333335,18.31388888888889,216.1638888888889,232.13472222222222,718.3,3
70,14.511111111111111,15.231944444444444,19.69861111111111,34.20972222222222,338.3,2
10637,13.073611111111111,13.009722222222223,1.0694444444444433,14.143055555555556,150.0,2
31,12.205555555555554,14.1125,64.24166666666667,76.44722222222222,1959.5,3
10649,-4.066666666666667,-3.7416666666666667,5.301388888888888,1.2347222222222205,32.3,3
409,-4.233333333333333,-3.698611111111111,6.477777777777776,2.244444444444443,59.6,4
1220014203,-5.337499999999999,-5.144444444444445,60.75972222222222,55.422222222222224,202.8,4
310,-5.490277777777777,-4.9,43.30972222222222,37.81944444444444,99.1,5
71,-7.841666666666667,-6.566666666666666,25.131944444444443,17.290277777777778,82.6,5
67,-8.133333333333333,0.0,35.10138888888889,26.968055555555555,2660.8,4
40,-9.577777777777778,-7.418055555555556,93.825,84.24722222222222,1261.5,4
10643,-9.977777777777778,-7.540277777777778,12.59861111111111,2.620833333333332,319.0,2
1220016101,-10.841666666666665,-9.00138888888889,36.18333333333333,25.34166666666667,527.6,3
68,-10.950000000000001,1.5166666666666668,86.41666666666667,75.46666666666667,1990.2,4
1220014201,-16.76388888888889,-16.179166666666667,96.4875,79.72361111111111,177.0,5
24,-23.366666666666667,-0.011111111111111112,118.6263888888889,95.25972222222222,3346.0,4
403,-33.666666666666664,-31.7625,75.24305555555556,41.576388888888886,278.9,3
10481,-44.375,-34.10138888888889,60.359722222222224,15.984722222222222,454.4,2
26,-69.35416666666669,-8.969444444444445,1336.6319444444446,1267.2777777777778,10777.7,4
