link,d_total,d_stop,ttt_b,ttt_a,length,lanes
420,186.94722222222222,165.34166666666667,29.21666666666667,216.1638888888889,718.3,3
10482,52.06527777777778,48.13472222222222,9.947222222222221,62.0125,380.8,2
403,40.68888888888889,38.730555555555554,34.55416666666667,75.24305555555556,278.9,3
40,29.622222222222224,27.752777777777776,64.20277777777778,93.825,1261.5,4
30,28.609722222222224,16.893055555555556,22.843055555555555,51.452777777777776,532.0,4
1220014203,23.226388888888888,22.58888888888889,37.53333333333333,60.75972222222222,202.8,4
1220008602,22.28194444444445,22.34027777777778,1.4861111111111094,23.768055555555556,181.2,2
24,12.431944444444445,-0.005555555555555556,106.19444444444444,118.6263888888889,3346.0,4
1220007200,10.672222222222222,10.372222222222222,30.72083333333333,41.393055555555556,71.9,4
10480,10.65,9.847222222222223,1.1486111111111095,11.79861111111111,149.3,1
1220014201,10.294444444444446,10.463888888888889,86.19305555555556,96.4875,177.0,5
31,10.193055555555558,5.633333333333333,54.048611111111114,64.24166666666667,1959.5,3
10483,9.85138888888889,8.080555555555556,3.7111111111111095,13.5625,303.4,1
70,9.533333333333333,6.794444444444444,10.165277777777776,19.69861111111111,338.3,2
178,8.858333333333334,8.294444444444444,5.468055555555555,14.326388888888888,68.6,5
1220008502,-2.0652777777777787,-2.0625,35.07638888888889,33.01111111111111,374.1,4
46,-2.1125000000000003,-0.5583333333333333,9.741666666666665,7.6291666666666655,958.9,4
326,-2.2875,-1.5097222222222224,106.43611111111112,104.14861111111111,172.3,4
1210008401,-2.7625000000000006,-2.7,20.433333333333334,17.670833333333334,148.0,5
1210018302,-3.5930555555555563,-3.3194444444444446,26.02777777777778,22.43472222222222,142.9,4
1220020904,-4.398611111111111,-4.347222222222222,25.170833333333334,20.772222222222222,177.2,5
52,-7.365277777777778,-7.393055555555556,28.275,20.90972222222222,468.5,4
66,-10.397222222222222,-9.891666666666666,287.8875,277.49027777777775,2661.6,4
10491,-14.309722222222224,-11.255555555555555,23.163888888888888,8.854166666666666,231.1,1
26,-72.99861111111107,-113.34166666666667,1409.6305555555555,1336.6319444444446,10777.7,4
10481,-78.75,-77.85555555555555,139.10972222222222,60.359722222222224,454.4,2
32,-92.15555555555557,-93.73472222222222,347.7527777777778,255.59722222222223,1963.4,3
74,-105.90277777777779,-102.94027777777778,991.0652777777777,885.1625,2701.6,4
1220044500,-108.63055555555556,-103.21666666666667,137.975,29.344444444444445,691.3,2
2,-347.7347222222222,-308.5125,1032.5513888888888,684.8166666666667,4691.6,4
