run,link,grp,n_veh,mean_time_s,mean_stop_s,L1_at_entry_share,n_after900
nc200,31,end_sim_here,2541,64.9,0.0,0.707,2148
nc200,31,ramp,1105,26.9,0.2,0.607,1005
nc200,32,end_sim_here,251,351.8,280.5,0.721,250
nc200,32,other,2011,503.2,396.3,0.617,1594
nc200,32,ramp,1435,105.7,7.9,0.341,1204
nc200,68,end_sim_here,3507,69.0,0.8,0.721,2978
nc200,68,ramp,1455,45.6,11.3,0.313,1320
nc200,68,removed_here,2,162.5,115.0,0.0,2
nc200,69,end_sim_here,31,81.0,0.0,0.29,31
nc200,69,other,420,157.0,0.1,0.264,373
nc200,69,ramp,1173,155.6,0.2,0.257,1006
nc200,70,end_sim_here,2,7.5,0.0,0.5,2
nc200,70,other,1363,23.3,1.7,0.442,1253
nc200,70,ramp,292,16.5,0.0,0.962,265
h0_1000,31,end_sim_here,2549,63.6,0.0,0.686,2161
h0_1000,31,ramp,1082,29.2,0.1,0.632,978
h0_1000,32,end_sim_here,249,338.7,271.5,0.663,248
h0_1000,32,other,2018,509.6,403.3,0.613,1600
h0_1000,32,ramp,1434,107.1,7.5,0.337,1204
h0_1000,32,removed_here,3,615.0,500.0,1.0,2
h0_1000,68,end_sim_here,3218,64.7,0.2,0.677,2712
h0_1000,68,ramp,1440,45.8,5.4,0.592,1306
h0_1000,69,end_sim_here,31,81.0,0.0,0.29,31
h0_1000,69,other,420,161.0,0.0,0.264,373
h0_1000,69,ramp,1173,164.6,0.0,0.257,1006
h0_1000,70,end_sim_here,6,15.8,0.0,0.5,6
h0_1000,70,other,1356,23.0,0.8,0.454,1241
h0_1000,70,ramp,292,17.4,0.1,1.0,265
g1_200ctl,31,end_sim_here,2795,67.2,2.4,0.736,2402
g1_200ctl,31,ramp,1043,40.3,12.6,0.641,943
g1_200ctl,31,removed_here,11,122.3,60.5,0.273,11
g1_200ctl,32,end_sim_here,217,209.2,139.5,0.548,216
g1_200ctl,32,other,2640,272.4,186.5,0.608,2223
g1_200ctl,32,ramp,1432,107.5,12.4,0.368,1201
g1_200ctl,32,removed_here,7,230.0,132.1,0.143,7
g1_200ctl,68,end_sim_here,3751,70.2,0.3,0.73,3222
g1_200ctl,68,ramp,1489,32.1,3.7,0.318,1354
g1_200ctl,68,removed_here,1,155.0,125.0,0.0,1
g1_200ctl,69,end_sim_here,31,81.0,0.0,0.29,31
g1_200ctl,69,other,420,157.0,0.1,0.264,373
g1_200ctl,69,ramp,1173,155.6,0.2,0.257,1006
g1_200ctl,70,end_sim_here,6,10.0,0.0,0.5,6
g1_200ctl,70,other,1486,44.2,17.9,0.417,1376
g1_200ctl,70,ramp,292,17.7,0.6,0.966,265
h11_1000ctl,31,end_sim_here,2665,82.4,17.6,0.693,2277
h11_1000ctl,31,ramp,931,59.7,26.3,0.669,827
h11_1000ctl,31,removed_here,2,80.0,45.0,0.0,2
h11_1000ctl,32,end_sim_here,503,1404.1,1294.2,0.282,501
h11_1000ctl,32,other,2541,232.6,157.3,0.613,2123
h11_1000ctl,32,ramp,987,306.5,188.0,0.353,757
h11_1000ctl,32,removed_here,27,687.8,439.4,0.074,27
h11_1000ctl,68,end_sim_here,3112,65.4,0.2,0.675,2606
h11_1000ctl,68,ramp,1439,47.4,8.1,0.587,1305
h11_1000ctl,69,end_sim_here,284,903.1,741.0,0.313,284
h11_1000ctl,69,other,374,204.7,33.9,0.251,327
h11_1000ctl,69,ramp,948,207.6,38.5,0.25,781
h11_1000ctl,69,removed_here,18,590.3,316.9,0.056,18
h11_1000ctl,70,end_sim_here,36,825.6,804.0,0.611,36
h11_1000ctl,70,other,1171,48.3,17.5,0.281,1056
h11_1000ctl,70,ramp,189,182.1,161.1,0.979,162
h11_1000ctl,70,removed_here,13,188.8,140.0,0.0,13
