no,name,lanes,length,lnChgDist,is_conn,from_link,from_lane,from_pos,to_link,to_pos,n_out,n_in,is_sink,is_source
1,,2,139.9,200.0,False,,,,,,1,2,False,False
2,,4,4691.6,200.0,False,,,,,,5,4,False,False
3,,2,109.0,200.0,False,,,,,,1,3,False,False
4,,3,28.1,200.0,False,,,,,,3,2,False,False
5,,2,37.2,200.0,False,,,,,,3,1,False,False
6,,2,26.7,200.0,False,,,,,,1,2,False,False
7,,2,43.8,200.0,False,,,,,,2,3,False,False
8,,3,27.5,200.0,False,,,,,,2,2,False,False
9,,2,35.6,200.0,False,,,,,,3,0,False,True
10,,2,41.4,200.0,False,,,,,,0,3,True,False
11,,1,49.1,200.0,False,,,,,,3,0,False,True
12,,1,54.9,200.0,False,,,,,,0,3,True,False
13,,2,167.8,200.0,False,,,,,,2,0,False,True
14,,2,163.1,200.0,False,,,,,,0,1,True,False
15,,1,14.0,200.0,False,,,,,,1,0,False,True
16,,1,14.0,200.0,False,,,,,,0,2,True,False
17,,1,6.8,200.0,False,,,,,,1,1,False,False
18,,1,6.8,200.0,False,,,,,,1,1,False,False
19,,1,10.5,200.0,False,,,,,,1,1,False,False
20,,2,59.5,200.0,False,,,,,,0,1,True,False
21,,2,172.8,200.0,False,,,,,,1,0,False,True
22,,2,49.5,200.0,False,,,,,,0,1,True,False
23,,2,57.5,200.0,False,,,,,,2,1,False,False
24,,4,3346.0,200.0,False,,,,,,0,2,True,False
25,,4,241.8,200.0,False,,,,,,2,1,False,False
26,,4,10777.7,200.0,False,,,,,,4,4,False,False
27,,1,25.2,200.0,False,,,,,,1,1,False,False
28,,4,236.4,200.0,False,,,,,,2,1,False,False
29,,4,539.7,200.0,False,,,,,,3,3,False,False
30,,4,532.0,200.0,False,,,,,,3,3,False,False
31,,3,1959.5,200.0,False,,,,,,3,6,False,False
32,,3,1963.4,200.0,False,,,,,,5,2,False,False
33,,4,100.8,200.0,False,,,,,,2,1,False,False
34,,5,69.5,200.0,False,,,,,,3,2,False,False
35,,4,79.6,200.0,False,,,,,,1,3,False,False
36,,4,95.0,200.0,False,,,,,,2,1,False,False
37,,3,537.1,200.0,False,,,,,,3,3,False,False
38,,3,548.6,200.0,False,,,,,,3,3,False,False
39,,4,1254.0,200.0,False,,,,,,2,3,False,False
40,,4,1261.5,200.0,False,,,,,,3,2,False,False
41,,5,73.3,200.0,False,,,,,,3,2,False,False
42,,4,157.3,200.0,False,,,,,,2,0,False,True
43,,2,95.3,200.0,False,,,,,,1,0,False,True
44,,4,84.1,200.0,False,,,,,,1,3,False,False
45,,4,104.6,200.0,False,,,,,,0,1,True,False
46,,4,958.9,200.0,False,,,,,,3,2,False,False
47,,4,937.8,200.0,False,,,,,,2,3,False,False
48,,1,109.9,200.0,False,,,,,,3,0,False,True
49,,1,109.7,200.0,False,,,,,,0,3,True,False
50,,1,114.1,200.0,False,,,,,,3,0,False,True
51,,1,113.7,200.0,False,,,,,,0,3,True,False
52,,4,468.5,200.0,False,,,,,,3,2,False,False
53,,5,39.7,200.0,False,,,,,,2,2,False,False
