link,d_total,d_after900,d_stop,ttt_nc,ttt_h0,length,lanes,is_conn
74,109.98611111111109,109.98611111111111,116.41388888888889,991.0652777777777,1101.0513888888888,2701.6,4,False
2,28.193055555555585,25.704166666666694,61.173611111111114,1032.5513888888888,1060.7444444444445,4691.6,4,False
52,12.379166666666666,12.331944444444444,10.530555555555555,28.275,40.65416666666667,468.5,4,False
10682,6.865277777777778,6.425,2.486111111111111,17.90972222222222,24.775,226.5,1,True
26,5.386111111111137,4.934722222222245,2.5583333333333336,1409.6305555555555,1415.0166666666667,10777.7,4,False
32,4.508333333333333,4.615277777777776,4.15,347.7527777777778,352.2611111111111,1963.4,3,False
1220016101,4.245833333333333,4.2652777777777775,3.4902777777777776,35.166666666666664,39.4125,527.6,3,False
69,3.4152777777777774,3.1152777777777776,-0.059722222222222225,69.70416666666667,73.11944444444444,1796.8,4,False
420,1.9499999999999997,2.4194444444444443,1.4819444444444445,29.21666666666667,31.166666666666668,718.3,3,False
117,1.7805555555555557,1.7805555555555557,1.590277777777778,40.55416666666667,42.33472222222222,386.0,4,False
10699,1.5625,1.5624999999999996,1.85,12.630555555555555,14.193055555555555,33.0,4,True
1220007200,1.2763888888888897,1.486111111111112,1.25,30.72083333333333,31.997222222222224,71.9,4,False
10639,1.1791666666666667,1.1805555555555554,1.0,3.2402777777777763,4.419444444444443,320.5,1,True
1220014201,1.0944444444444448,1.080555555555556,0.9000000000000001,86.19305555555556,87.2875,177.0,5,False
10644,1.051388888888889,0.9444444444444444,0.14305555555555555,22.91111111111111,23.9625,730.5,1,True
99,0.9958333333333342,1.0055555555555564,1.023611111111111,112.29722222222222,113.29305555555555,351.3,2,False
108,0.9388888888888889,0.8944444444444445,0.875,19.648611111111112,20.5875,486.2,4,False
10629,0.8208333333333332,0.7847222222222223,0.31805555555555554,1.9041666666666652,2.7249999999999983,70.8,3,True
310,0.7847222222222227,0.8333333333333337,0.6444444444444444,39.46111111111111,40.24583333333333,99.1,5,False
10491,0.7569444444444444,0.7597222222222221,1.15,23.163888888888888,23.920833333333334,231.1,1,True
425,0.6208333333333332,0.43333333333333335,0.4791666666666667,5.806944444444444,6.427777777777776,284.0,2,False
1220014100,0.5569444444444446,0.4833333333333333,0.44999999999999996,10.031944444444443,10.588888888888889,121.6,3,False
1220008402,0.4819444444444444,0.4138888888888888,0.3902777777777778,4.4416666666666655,4.92361111111111,47.7,5,False
1220024801,0.47083333333333355,0.47083333333333355,0.4527777777777778,23.416666666666664,23.8875,156.1,4,False
1210009700,0.44861111111111096,0.413888888888889,0.42083333333333334,3.0361111111111097,3.4847222222222207,180.3,1,False
29,0.44861111111111057,0.40833333333333277,0.15416666666666665,5.834722222222221,6.283333333333331,539.7,4,False
113,0.37916666666666676,0.37916666666666676,0.3416666666666667,5.837499999999999,6.216666666666666,250.6,3,False
30,0.37777777777777777,0.6680555555555553,0.1,22.843055555555555,23.220833333333335,532.0,4,False
1220042200,0.36111111111111116,0.3972222222222222,0.0,23.879166666666666,24.240277777777777,901.2,2,False
1220008302,0.3319444444444449,0.3208333333333338,0.27499999999999997,2.2194444444444423,2.551388888888887,168.3,2,False
10487,0.33055555555555544,0.3222222222222222,0.31527777777777777,3.180555555555554,3.5111111111111097,22.1,3,True
1220007101,0.32638888888888934,0.3333333333333337,0.17083333333333334,6.905555555555554,7.231944444444443,213.4,2,False
10514,0.31805555555555565,0.32083333333333347,0.32361111111111107,9.908333333333331,10.226388888888888,17.1,4,True
122,0.3069444444444446,0.3152777777777779,0.2777777777777778,4.234722222222221,4.541666666666665,124.8,5,False
1220019301,0.2875,0.2791666666666667,0.07638888888888888,5.0138888888888875,5.301388888888887,257.9,4,False
1220006803,0.25416666666666665,0.28055555555555556,0.01388888888888889,13.2,13.454166666666666,407.2,4,False
1220008703,0.2305555555555553,0.22777777777777752,0.19027777777777777,2.854166666666665,3.0847222222222204,151.8,2,False
10638,0.21250000000000008,0.16527777777777797,0.0041666666666666675,7.131944444444444,7.344444444444443,288.2,2,True
10660,0.2097222222222222,0.2166666666666666,0.18888888888888888,0.4736111111111095,0.6833333333333317,8.9,1,True
1220000201,0.20416666666666658,0.19722222222222235,0.2722222222222222,6.62361111111111,6.827777777777777,86.6,5,False
174,0.20277777777777742,0.12499999999999983,-0.001388888888888887,15.070833333333333,15.27361111111111,500.7,4,False
1220007401,0.19444444444444403,0.21111111111111075,0.19722222222222227,5.61111111111111,5.8055555555555545,147.8,2,False
1220021201,0.18888888888888955,0.18888888888888955,0.15833333333333333,18.805555555555554,18.994444444444444,69.3,5,False
1210021304,0.1888888888888888,0.14861111111111114,0.17500000000000002,15.504166666666666,15.693055555555555,134.3,5,False
1210012600,0.18749999999999994,0.18888888888888883,0.17777777777777776,4.591666666666666,4.779166666666666,131.9,4,False
104,0.18611111111111142,0.2638888888888891,0.2097222222222222,4.818055555555555,5.0041666666666655,119.7,4,False
1220011001,0.1805555555555549,0.08055555555555492,0.13888888888888892,9.497222222222222,9.677777777777777,394.7,2,False
10517,0.17499999999999988,0.1694444444444443,0.1416666666666667,13.288888888888888,13.463888888888889,22.5,4,True
1220012402,0.16666666666666663,0.16666666666666663,0.15138888888888888,7.804166666666665,7.970833333333332,16.7,4,False
1210008203,0.1638888888888894,0.1458333333333338,0.1361111111111111,4.054166666666665,4.218055555555554,43.4,2,False
