conn,from_link,from_pos,n_L2plus_g1_200ctl,n_L2plus_h0_1000,n_L2plus_h11_1000ctl,n_L2plus_nc200,n_after900_g1_200ctl,n_after900_h0_1000,n_after900_h11_1000ctl,n_after900_nc200,n_removed_g1_200ctl,n_removed_h0_1000,n_removed_h11_1000ctl,n_removed_nc200,stop_dur_mean_g1_200ctl,stop_dur_mean_h11_1000ctl,stop_dur_mean_nc200,name
10480,31,734.9,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,54.1,,,R_D_W(31)
10482,32,1028.6,5.0,0.0,26.0,0.0,5.0,0.0,26.0,0.0,5.0,0.0,26.0,0.0,55.0,69.2,,R_D_W(32)
10484,31,412.1,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,45.0,,R_D_E(31)
10490,32,1330.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,R_D_E(32)
10639,70,180.1,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,,57.7,,R_F_E(70)
10644,69,1740.5,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,,63.9,,R_F_W(69)
10646,68,352.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,45.0,,45.0,R_F_W(68)
10681,68,117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,R_F_E(68)
