link,d_total,d_stop,ttt_b,ttt_a,length,lanes
420,200.96805555555557,182.17361111111111,31.166666666666668,232.13472222222222,718.3,3
10482,107.7388888888889,105.84861111111111,9.988888888888889,117.72777777777779,380.8,2
32,97.3013888888889,98.5013888888889,352.2611111111111,449.5625,1963.4,3
69,77.01805555555555,73.70972222222223,73.11944444444444,150.1375,1796.8,4
10639,40.24722222222222,40.50416666666667,4.419444444444443,44.666666666666664,320.5,1
30,35.34583333333333,24.416666666666664,23.220833333333335,58.56666666666667,532.0,4
1220021203,33.21805555555556,31.266666666666666,14.82638888888889,48.044444444444444,200.0,4
1220014203,31.554166666666667,30.520833333333332,23.868055555555554,55.422222222222224,202.8,4
1220018401,30.308333333333337,28.24722222222222,32.56111111111111,62.86944444444445,170.0,5
10681,30.176388888888887,29.145833333333336,2.130555555555554,32.30694444444444,296.4,2
10638,24.12777777777778,22.35972222222222,7.344444444444443,31.47222222222222,288.2,2
70,24.125,22.35972222222222,10.084722222222222,34.20972222222222,338.3,2
31,22.663888888888888,19.790277777777778,53.78333333333333,76.44722222222222,1959.5,3
10480,22.01388888888889,20.988888888888887,1.1777777777777763,23.191666666666666,149.3,1
1220011503,21.984722222222224,20.96527777777778,76.27777777777777,98.2625,226.1,5
46,-2.2930555555555556,-0.4111111111111111,9.626388888888888,7.333333333333332,958.9,4
310,-2.426388888888888,-1.9194444444444443,40.24583333333333,37.81944444444444,99.1,5
1210018302,-2.551388888888889,-2.501388888888889,25.647222222222222,23.09583333333333,142.9,4
71,-3.752777777777778,-3.1,21.043055555555554,17.290277777777778,82.6,5
67,-4.625,0.0,31.593055555555555,26.968055555555555,2660.8,4
1220014201,-7.563888888888888,-6.615277777777778,87.2875,79.72361111111111,177.0,5
24,-8.794444444444443,-0.011111111111111112,104.05416666666667,95.25972222222222,3346.0,4
66,-11.156944444444438,-10.840277777777779,287.8875,276.73055555555555,2661.6,4
1220016101,-14.070833333333333,-12.001388888888888,39.4125,25.34166666666667,527.6,3
10491,-16.625,-12.368055555555555,23.920833333333334,7.295833333333332,231.1,1
52,-18.52638888888889,-17.056944444444444,40.65416666666667,22.127777777777776,468.5,4
2,-91.66388888888892,-56.018055555555556,1060.7444444444445,969.0805555555555,4691.6,4
1220044500,-103.20833333333333,-98.03055555555555,131.6,28.391666666666666,691.3,2
10481,-122.19027777777778,-110.73194444444445,138.175,15.984722222222222,454.4,2
26,-147.73888888888888,-124.86944444444444,1415.0166666666667,1267.2777777777778,10777.7,4
