t,wait,veh,route,link,pos
467.0,45.0,637,1159 - 1,310,93.3
817.0,45.0,4002,1126 - 1,71,73.4
871.0,45.0,942,1159 - 1,310,93.3
876.0,45.0,4071,1126 - 1,71,73.4
922.0,45.0,2810,1159 - 1,310,93.3
1060.0,45.0,3953,1159 - 1,310,93.3
1153.0,45.0,542,1140 - 1,71,73.4
1207.0,45.0,4438,1159 - 1,310,93.3
1214.0,45.0,4950,1159 - 1,310,85.8
1256.0,45.0,4000,1159 - 1,310,93.3
1262.0,45.0,4974,1159 - 1,310,85.8
1264.0,45.0,6419,1113 - 3,329,113.0
1313.0,45.0,3193,1113 - 3,329,113.0
1319.0,45.0,4273,1159 - 1,310,93.3
1363.0,45.0,3043,1113 - 3,329,113.0
1367.0,45.0,6299,1159 - 1,310,93.3
1412.0,45.0,3861,1113 - 3,329,113.0
1461.0,45.0,3695,1113 - 3,329,113.0
1476.0,45.0,8210,1126 - 1,71,73.4
1548.0,45.0,3689,1113 - 3,329,113.0
1597.0,45.0,7257,1113 - 3,329,113.0
1624.0,45.0,7683,1159 - 1,310,93.3
1628.0,45.0,5937,1159 - 1,310,85.8
1643.0,45.0,5620,1137 - 3,31,729.9
1645.0,45.0,6014,1113 - 3,329,113.0
1657.0,45.0,12101,1157 - 3,117,376.8
1673.0,45.0,7164,1159 - 1,310,93.3
1679.0,45.0,6281,1159 - 1,310,85.8
1693.0,45.0,3455,1113 - 3,329,113.0
1701.0,45.0,2542,1135 - 2,68,339.5
1708.0,45.0,5505,1135 - 2,68,347.0
1741.0,45.0,9451,1113 - 3,329,113.0
1753.0,45.0,7192,1113 - 3,329,108.0
1771.0,45.0,9109,1159 - 1,310,93.3
1772.0,45.0,5336,1159 - 1,310,85.8
1776.0,45.0,12132,1142 - 1,80,372.5
1789.0,45.0,3958,1113 - 3,329,113.0
1802.0,45.0,10637,1113 - 3,329,108.0
1820.0,45.0,9441,1159 - 1,310,93.3
1821.0,45.0,7458,1159 - 1,310,85.8
1842.0,45.0,4343,1113 - 3,329,113.0
1851.0,45.0,7119,1113 - 3,329,108.0
1854.0,45.0,13208,1157 - 3,117,376.8
1892.0,45.0,1203,1113 - 3,329,113.0
1900.0,45.0,7028,1113 - 3,329,108.0
1918.0,45.0,7094,1123 - 3,52,458.1
1919.0,45.0,10792,1159 - 1,310,93.3
1923.0,45.0,9742,1126 - 1,71,73.4
1940.0,45.0,6720,1113 - 3,329,113.0
1951.0,45.0,7722,1113 - 3,329,108.0
1968.0,45.0,12215,1159 - 1,310,93.3
1972.0,45.0,12178,1159 - 1,310,85.8
1985.0,45.0,11439,1147 - 3,88,160.2
1989.0,45.0,1317,1113 - 3,329,113.0
2000.0,45.0,6895,1113 - 3,329,108.0
2037.0,45.0,5651,1113 - 3,329,113.0
2050.0,45.0,7131,1113 - 3,329,108.0
2065.0,45.0,13198,1142 - 2,80,378.8
2066.0,45.0,11455,1159 - 1,310,93.3
2072.0,45.0,8759,1140 - 1,71,73.4
2114.0,45.0,10145,1159 - 1,310,93.3
2151.0,45.0,4142,1113 - 3,329,113.0
2157.0,45.0,9375,1115 - 3,30,520.7
2200.0,45.0,7740,1113 - 3,329,113.0
2205.0,45.0,7957,1113 - 3,329,108.0
2223.0,45.0,14488,1159 - 1,310,93.3
2227.0,45.0,14953,1159 - 1,310,85.8
2248.0,45.0,15098,1124 - 1,66,2652.5
2253.0,45.0,11441,1113 - 3,329,108.0
2254.0,45.0,5601,1113 - 3,329,103.0
2272.0,45.0,15247,1159 - 1,310,93.3
2275.0,45.0,14509,1159 - 1,310,85.8
2297.0,45.0,4391,1113 - 3,329,113.0
2298.0,45.0,15573,1124 - 1,66,2652.5
2301.0,45.0,7634,1113 - 3,329,108.0
2323.0,45.0,15105,1159 - 1,310,85.8
2347.0,45.0,4645,1113 - 3,329,113.0
2359.0,45.0,12541,1113 - 3,329,108.0
2371.0,45.0,13130,1113 - 3,329,103.0
2376.0,45.0,13337,1159 - 1,310,93.3
2384.0,45.0,14601,1159 - 1,310,85.8
2414.0,45.0,16472,1124 - 1,66,2652.5
2420.0,45.0,12698,1113 - 3,329,103.0
2421.0,45.0,6476,1113 - 3,329,108.0
2425.0,45.0,12030,1159 - 1,310,93.3
2433.0,45.0,15771,1159 - 1,310,85.8
2447.0,45.0,6611,1113 - 3,329,113.0
2465.0,45.0,16625,1124 - 1,66,2652.5
2468.0,45.0,13306,1113 - 3,329,103.0
2470.0,45.0,8422,1113 - 3,329,108.0
2482.0,45.0,15697,1159 - 1,310,85.8
2494.0,45.0,19232,1136 - 1,32,1021.1
2496.0,45.0,4786,1113 - 3,329,113.0
2514.0,45.0,16817,1124 - 1,66,2652.5
2520.0,45.0,12423,1113 - 3,329,103.0
2530.0,45.0,17066,1142 - 1,80,372.5
2531.0,45.0,13683,1159 - 1,310,85.8
