run,n_via_10682,time_on_10682_s,stop_on_10682_s,p90_time_10682_s,time_on_68_s,stop_on_68_s,land_lane_mean,land_pos_mean,next_after_68
nc200,1718,37.5,11.3,80.0,70.5,0.9,1.26,270.7,{-1: 1699}
h0_1000,1422,62.7,20.0,95.0,64.6,0.3,1.38,263.0,{-1: 1405}
g1_200ctl,1947,34.8,7.3,60.0,68.8,0.4,1.29,269.3,{-1: 1934}
h11_1000ctl,1396,66.3,24.5,110.0,63.6,0.3,1.38,263.1,{-1: 1384}
