link,grp,posbin,L1_share_g1_200ctl,L1_share_h0_1000,L1_share_h11_1000ctl,L1_share_nc200,rows_g1_200ctl,rows_h0_1000,rows_h11_1000ctl,rows_nc200,speed_g1_200ctl,speed_h0_1000,speed_h11_1000ctl,speed_nc200,stop_share_g1_200ctl,stop_share_h0_1000,stop_share_h11_1000ctl,stop_share_nc200
31,end_sim_here,1600,0.394,0.337,0.384,0.354,2640.0,2404.0,2430.0,2493.0,74.175,77.323,74.395,74.637,0.0,0.0,0.0,0.0
31,end_sim_here,1700,0.384,0.331,0.383,0.333,2692.0,2385.0,2489.0,2414.0,73.933,75.782,75.23,74.293,0.0,0.0,0.0,0.0
31,end_sim_here,1800,0.388,0.329,0.38,0.336,2700.0,2355.0,2443.0,2415.0,74.271,76.789,74.505,74.723,0.0,0.0,0.0,0.0
31,end_sim_here,1900,0.394,0.327,0.376,0.332,2083.0,1881.0,1900.0,1943.0,79.15,82.753,80.476,81.827,0.0,0.0,0.0,0.0
31,ramp,0,0.4,0.562,0.586,0.34,887.0,971.0,818.0,960.0,44.964,45.358,44.125,45.788,0.0,0.0,0.0,0.0
31,ramp,100,0.436,0.88,0.872,0.413,860.0,1019.0,901.0,925.0,48.438,44.755,41.998,48.785,0.0,0.0,0.0,0.0
31,ramp,200,0.54,0.926,0.93,0.527,861.0,1073.0,939.0,929.0,47.726,42.183,39.449,48.428,0.0,0.001,0.002,0.0
31,ramp,300,0.796,0.96,0.971,0.78,1415.0,1617.0,1414.0,1511.0,40.791,37.889,36.231,41.017,0.006,0.008,0.011,0.017
31,ramp,400,0.53,0.966,0.98,0.538,519.0,588.0,459.0,569.0,43.812,42.874,43.638,45.479,0.008,0.015,0.0,0.021
31,ramp,500,0.466,0.99,0.999,0.464,354.0,387.0,972.0,366.0,44.135,46.572,13.064,48.077,0.082,0.0,0.705,0.003
31,ramp,600,0.966,0.994,0.997,0.896,2105.0,471.0,2917.0,479.0,10.96,44.062,5.757,44.046,0.718,0.0,0.817,0.013
31,ramp,700,0.954,0.983,0.98,0.847,1312.0,173.0,2132.0,177.0,6.659,45.038,3.68,41.545,0.815,0.0,0.852,0.04
31,ramp,800,0.0,0.0,0.0,0.0,9.0,2.0,45.0,3.0,49.05,43.395,42.269,52.937,0.0,0.0,0.0,0.0
31,ramp,900,0.0,0.0,0.0,0.0,7.0,1.0,51.0,2.0,46.774,45.89,42.079,39.615,0.0,0.0,0.0,0.0
31,ramp,1000,0.0,0.0,0.02,0.0,9.0,2.0,51.0,3.0,48.982,43.395,42.312,51.477,0.0,0.0,0.0,0.0
31,ramp,1100,0.0,0.0,0.024,0.0,9.0,1.0,41.0,2.0,49.759,46.6,42.528,60.225,0.0,0.0,0.0,0.0
31,ramp,1200,0.0,0.0,0.038,0.0,9.0,2.0,53.0,3.0,49.101,43.395,42.271,51.477,0.0,0.0,0.0,0.0
31,ramp,1300,0.0,0.0,0.022,0.0,9.0,2.0,45.0,3.0,48.993,45.53,42.506,52.937,0.0,0.0,0.0,0.0
31,ramp,1400,0.0,0.0,0.043,0.0,9.0,1.0,46.0,3.0,49.747,43.04,42.373,53.343,0.0,0.0,0.0,0.0
31,ramp,1500,0.0,0.0,0.039,0.0,8.0,2.0,51.0,3.0,49.938,45.53,42.708,51.07,0.0,0.0,0.0,0.0
31,ramp,1600,0.0,0.0,0.02,0.0,10.0,2.0,49.0,2.0,48.647,44.11,42.319,60.01,0.0,0.0,0.0,0.0
