arm,TTT_veh_h,Omega_TTD_events,Omega_live_exits,Omega_terminal_exits_inferred,network_termination_vehicles_inferred,Omega_end_n,native_removed,uninserted_at_end,unresolved_Omega_disappearances,unresolved_network_disappearances,TTT_FW_E,TTT_FW_W,TTT_urban_ramps_other,tail_hold_TTT_veh_h,TTT_change_percent
none,7073.214722222227,58231,35292,22939,54712,2009,250,10725,727,9810,2044.9260694444458,1471.1443611111151,3557.1442916666783,2.7344722222220192,0.0
rm,7012.478055555559,58323,35368,22955,54746,1979,235,10658,729,9880,1912.283958333331,1487.8048611111094,3612.389236111123,2.693638888888689,-0.8586854641334241
vsl,7253.816055555557,58056,35211,22845,54612,2036,230,10909,692,9721,2231.769847222227,1506.9115277777778,3515.134680555569,2.7712222222220166,2.553313315456518
both,7326.02583333333,57561,34888,22673,54258,1984,229,11440,701,9620,2193.7805694444496,1665.0862499999994,3467.1590138888982,2.700444444444244,3.5742038244199748
