sim_sec,source,interval_sec,network_vehicles,inside_vehicles,outside_vehicles,ttt_veh_h_cumulative,observed_exit_events,terminal_exit_inferred_events,unresolved_inside_disappearances,observed_entry_events,appeared_inside_events,reappeared_inside_events,ttd_observed_plus_terminal_cumulative,stock_closure_residual_veh
1.0,fzp,1.0,4,3,1,0.0004166666666666667,0,0,0,0,3,0,0,0
2.0,fzp,1.0,8,5,3,0.0015277777777777779,0,0,0,0,2,0,0,0
3.0,fzp,1.0,12,8,4,0.003333333333333333,0,0,0,0,3,0,0,0
4.0,fzp,1.0,15,10,5,0.005833333333333333,0,0,0,0,2,0,0,0
5.0,fzp,1.0,19,14,5,0.009166666666666667,0,0,0,0,4,0,0,0
6.0,fzp,1.0,21,16,5,0.013333333333333332,0,0,0,0,2,0,0,0
7.0,fzp,1.0,27,18,9,0.018055555555555554,0,0,0,0,2,0,0,0
8.0,fzp,1.0,31,20,11,0.02333333333333333,0,0,0,0,2,0,0,0
9.0,fzp,1.0,33,22,11,0.029166666666666664,0,0,0,0,2,0,0,0
10.0,fzp,1.0,40,25,15,0.035694444444444445,0,0,0,0,3,0,0,0
11.0,fzp,1.0,46,27,19,0.042916666666666665,0,0,0,0,2,0,0,0
12.0,fzp,1.0,50,29,21,0.050694444444444445,0,0,0,0,2,0,0,0
13.0,fzp,1.0,55,31,24,0.059027777777777776,0,0,0,0,2,0,0,0
14.0,fzp,1.0,58,33,25,0.06791666666666667,0,0,0,0,2,0,0,0
15.0,fzp,1.0,61,35,26,0.07736111111111112,0,0,0,0,2,0,0,0
16.0,fzp,1.0,63,37,26,0.08736111111111111,0,0,0,0,2,0,0,0
17.0,fzp,1.0,65,37,28,0.09763888888888889,0,0,0,0,0,0,0,0
18.0,fzp,1.0,69,39,30,0.10819444444444444,0,0,0,0,2,0,0,0
19.0,fzp,1.0,70,40,30,0.11916666666666666,0,0,0,0,1,0,0,0
20.0,fzp,1.0,72,41,31,0.13041666666666665,0,0,0,0,1,0,0,0
21.0,fzp,1.0,75,42,33,0.14194444444444443,0,0,0,0,1,0,0,0
22.0,fzp,1.0,78,42,36,0.1536111111111111,0,0,0,0,0,0,0,0
23.0,fzp,1.0,81,43,38,0.16541666666666666,0,0,0,0,1,0,0,0
24.0,fzp,1.0,82,44,38,0.1775,0,0,0,0,1,0,0,0
25.0,fzp,1.0,84,44,40,0.1897222222222222,0,0,0,0,0,0,0,0
