start_sec,end_sec,link,initial_n,entry,normal_other_link_exit,absent,matched_native_removal,end_n,end_stopped,closure
0,900,2,0,834,736,0,0,98,0,0
0,900,40,0,21,17,0,0,4,2,0
0,900,66,0,71,46,0,0,25,8,0
0,900,68,0,116,116,0,0,0,0,0
0,900,69,0,113,90,0,0,23,0,0
0,900,70,0,85,85,0,0,0,0,0
0,900,71,0,153,152,0,0,1,1,0
0,900,121,0,308,306,0,0,2,0,0
0,900,123,0,381,0,357,0,24,0,0
0,900,127,0,268,245,0,0,23,9,0
0,900,321,0,75,74,0,0,1,0,0
0,900,322,0,74,63,0,0,11,0,0
0,900,325,0,63,63,0,0,0,0,0
0,900,326,0,63,57,0,0,6,2,0
0,900,329,0,56,48,0,0,8,0,0
0,900,10639,0,15,15,0,0,0,0,0
0,900,10681,0,29,29,0,0,0,0,0
0,900,10682,0,222,221,0,0,1,0,0
0,900,10643,0,83,81,0,0,2,0,0
0,900,10646,0,60,55,0,0,5,0,0
900,1800,2,98,1313,1184,0,0,227,21,0
900,1800,40,4,81,76,0,0,9,1,0
900,1800,66,25,98,95,0,0,28,0,0
900,1800,68,0,253,249,0,0,4,0,0
900,1800,69,23,193,185,0,0,31,0,0
900,1800,70,0,230,227,0,0,3,0,0
900,1800,71,1,341,316,0,0,26,22,0
900,1800,121,2,456,448,0,0,10,0,0
900,1800,123,24,504,0,498,0,30,0,0
900,1800,127,23,434,343,0,0,114,102,0
900,1800,321,1,161,157,0,0,5,0,0
900,1800,322,11,156,152,0,0,15,0,0
900,1800,325,0,152,142,0,0,10,7,0
900,1800,326,6,141,120,0,0,27,23,0
900,1800,329,8,119,105,3,0,19,19,0
900,1800,10639,0,26,24,0,0,2,0,0
900,1800,10681,0,56,53,0,0,3,0,0
900,1800,10682,1,268,263,0,0,6,0,0
900,1800,10643,2,136,136,0,0,2,0,0
900,1800,10646,5,144,149,0,0,0,0,0
1800,2700,2,227,1457,1086,1,0,597,150,0
1800,2700,40,9,89,93,0,0,5,0,0
1800,2700,66,28,107,106,0,0,29,0,0
1800,2700,68,4,319,323,0,0,0,0,0
1800,2700,69,31,189,189,0,0,31,0,0
1800,2700,70,3,270,271,0,0,2,0,0
1800,2700,71,26,336,331,2,0,29,28,0
1800,2700,121,10,499,498,0,0,11,1,0
1800,2700,123,30,515,0,514,0,31,0,0
1800,2700,127,114,442,365,0,0,191,150,0
1800,2700,321,5,204,187,0,0,22,12,0
1800,2700,322,15,184,168,0,0,31,20,0
1800,2700,325,10,164,157,0,0,17,13,0
1800,2700,326,27,155,154,0,0,28,24,0
1800,2700,329,19,152,121,13,0,37,35,0
1800,2700,10639,2,31,31,0,0,2,0,0
1800,2700,10681,3,65,65,0,0,3,0,0
1800,2700,10682,6,252,241,0,0,17,1,0
1800,2700,10643,2,95,93,0,0,4,0,0
1800,2700,10646,0,200,195,0,0,5,0,0
2700,3600,2,597,1053,949,3,0,698,218,0
2700,3600,40,5,79,80,0,0,4,0,0
2700,3600,66,29,110,104,0,0,35,0,0
2700,3600,68,0,288,286,0,0,2,0,0
2700,3600,69,31,160,168,0,0,23,0,0
2700,3600,70,2,267,267,0,0,2,0,0
2700,3600,71,29,287,293,1,0,22,19,0
2700,3600,121,11,497,497,0,0,11,0,0
2700,3600,123,31,548,0,549,0,30,0,0
2700,3600,127,191,355,359,0,0,187,156,0
2700,3600,321,22,158,180,0,0,0,0,0
2700,3600,322,31,184,190,0,0,25,24,0
2700,3600,325,17,187,169,0,0,35,30,0
2700,3600,326,28,168,149,0,0,47,40,0
2700,3600,329,37,150,129,17,0,41,39,0
2700,3600,10639,2,42,43,0,0,1,0,0
2700,3600,10681,3,59,60,0,0,2,0,0
2700,3600,10682,17,268,270,0,0,15,4,0
2700,3600,10643,4,91,80,0,0,15,12,0
2700,3600,10646,5,175,176,0,0,4,0,0
3600,4500,2,698,965,1025,0,0,638,164,0
3600,4500,40,4,94,92,3,0,3,0,0
3600,4500,66,35,65,79,0,0,21,1,0
3600,4500,68,2,233,235,0,0,0,0,0
3600,4500,69,23,103,113,0,0,13,0,0
