time_s,kind,no,veh_class,value
900,vsl,63,10,90
900,vsl,63,20,90
900,vsl,63,30,90
900,vsl,63,70,90
900,vsl,64,10,90
900,vsl,64,20,90
900,vsl,64,30,90
900,vsl,64,70,90
900,vsl,65,10,90
900,vsl,65,20,90
900,vsl,65,30,90
900,vsl,65,70,90
900,vsl,66,10,90
900,vsl,66,20,90
900,vsl,66,30,90
900,vsl,66,70,90
