scenario,metric,assumed,route,delta,delta_pct
fw_eb_heavy,urban_movement_queue_total_veh,46.6683,45.8279,-0.8405,-1.80
fw_eb_heavy,urban_link_occupancy_total_veh,72.7763,79.2082,6.4319,8.84
fw_eb_heavy,urban_queue_plus_link_occupancy_total_veh,67.3402,71.3685,4.0283,5.98
fw_eb_heavy,total_model_vehicles,61.0848,64.8525,3.7677,6.17
ramp_d_bias,urban_movement_queue_total_veh,109.5311,102.0714,-7.4598,-6.81
ramp_d_bias,urban_link_occupancy_total_veh,81.4544,86.3767,4.9222,6.04
ramp_d_bias,urban_queue_plus_link_occupancy_total_veh,25.1150,28.0446,2.9296,11.66
ramp_d_bias,total_model_vehicles,26.8690,30.4834,3.6143,13.45
urban_d_heavy,urban_movement_queue_total_veh,72.7050,74.2086,1.5036,2.07
urban_d_heavy,urban_link_occupancy_total_veh,58.8794,62.0629,3.1835,5.41
urban_d_heavy,urban_queue_plus_link_occupancy_total_veh,99.9013,105.4249,5.5236,5.53
urban_d_heavy,total_model_vehicles,88.4250,94.0480,5.6231,6.36
