case_id,controller,scenario_id,category,demand_profile,returncode,elapsed_sec,timed_out,case_timeout_sec,sim_period_sec,urban_volume_vph,freeway_volume_vph,control_interval_sec,rand_seed,state_csv,action_csv,decision_dir,stdout,stderr,tuning_json
no-control_ramp_d_bias_u2200_fw3000_seed13_300s,no-control,ramp_d_bias,1_ramp_metering,d_ramp_bias,0,53.618,False,720.0,300,2200.0,3000.0,60,13,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_300s\action.csv,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_300s\decisions,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_300s\stdout.txt,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_ramp_d_bias_u2200_fw3000_seed13_300s,pfo,ramp_d_bias,1_ramp_metering,d_ramp_bias,0,255.358,False,720.0,300,2200.0,3000.0,60,13,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_300s\action.csv,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_300s\decisions,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_300s\stdout.txt,evaluation\runs\controller_pfo_h3_i3_ramp_d_300s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
