sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,8,0,54.895060
15,15.000000,0,0.000000,0,87,0,53.978191
30,15.000000,4,960.000000,0,177,0,54.813152
45,15.000000,35,8400.000000,14,261,2,44.337808
60,15.000000,44,10560.000000,46,347,6,38.860358
75,15.000000,46,11040.000000,73,425,2,32.075366
90,15.000000,47,11280.000000,97,497,5,26.967284
105,15.000000,44,10560.000000,129,535,6,23.856468
120,15.000000,46,11040.000000,156,583,7,20.550160
135,15.000000,90,21600.000000,154,624,6,23.112597
150,15.000000,106,25440.000000,186,663,13,26.075306
165,15.000000,53,12720.000000,240,675,10,24.863378
180,15.000000,45,10800.000000,255,657,20,23.693171
195,15.000000,56,13440.000000,265,699,8,23.860125
210,15.000000,57,13680.000000,266,727,9,24.106119
225,15.000000,55,13200.000000,291,729,9,21.449675
240,15.000000,60,14400.000000,310,684,5,19.419938
255,15.000000,57,13680.000000,290,660,8,20.098666
270,15.000000,87,20880.000000,295,705,19,25.177823
285,15.000000,88,21120.000000,302,744,23,25.799271
300,15.000000,34,8160.000000,305,732,27,24.391007
315,15.000000,43,10320.000000,323,712,11,23.247203
330,15.000000,38,9120.000000,333,726,8,23.769390
345,15.000000,55,13200.000000,345,741,4,20.962417
360,15.000000,42,10080.000000,344,726,4,18.892558
375,15.000000,67,16080.000000,327,703,17,19.182364
390,15.000000,61,14640.000000,327,739,26,22.684274
405,15.000000,59,14160.000000,335,772,27,23.475466
420,15.000000,33,7920.000000,347,748,29,22.726544
435,15.000000,34,8160.000000,355,718,23,22.168676
450,15.000000,74,17760.000000,361,741,12,23.008511
465,15.000000,61,14640.000000,358,754,4,20.871491
480,15.000000,46,11040.000000,374,727,8,18.459312
495,15.000000,67,16080.000000,360,681,8,16.533641
510,15.000000,95,22800.000000,357,727,30,21.795034
525,15.000000,85,20400.000000,356,778,37,22.144081
540,15.000000,50,12000.000000,360,749,32,21.793299
555,15.000000,47,11280.000000,367,732,20,19.542401
570,15.000000,32,7680.000000,385,740,11,21.563324
585,15.000000,38,9120.000000,383,746,5,19.661690
600,15.000000,35,8400.000000,398,725,5,18.894734
615,15.000000,41,9840.000000,391,700,7,16.723807
630,15.000000,90,21600.000000,372,720,25,20.418679
645,15.000000,86,20640.000000,384,759,35,21.435697
660,15.000000,68,16320.000000,407,752,32,20.185298
675,15.000000,73,17520.000000,430,716,22,19.070972
690,15.000000,74,17760.000000,431,745,3,20.865089
705,15.000000,64,15360.000000,424,756,2,18.960837
720,15.000000,48,11520.000000,428,758,11,17.666697
735,15.000000,58,13920.000000,431,715,8,15.046230
750,15.000000,70,16800.000000,404,724,22,18.133595
765,15.000000,88,21120.000000,414,767,33,21.138526
780,15.000000,55,13200.000000,424,774,27,21.635306
795,15.000000,24,5760.000000,443,749,35,20.102613
810,15.000000,49,11760.000000,444,750,17,21.515629
825,15.000000,46,11040.000000,451,752,5,18.746561
840,15.000000,36,8640.000000,444,732,10,16.274889
855,15.000000,44,10560.000000,454,709,5,14.744288
870,15.000000,59,14160.000000,415,697,16,17.105161
885,15.000000,67,16080.000000,403,738,28,20.448647
900,15.000000,50,12000.000000,424,765,29,19.792852
