physical_link,inside,ttt_veh_h,slow_veh_h
1,False,1.5609722222223006,0
100,True,7.997777777777317,0
10000,False,0.11444444444444253,0
10001,False,0.12708333333333166,0
10002,False,0.06083333333333358,0
10003,False,0.025277777777777795,0
10005,False,0.4129166666666782,0
10010,False,0.14027777777777597,0
10017,False,0.2974999999999989,0
10018,False,0.09222222222222146,0
10022,False,0.1269444444444419,0.07861111111111066
10023,True,1.069722222222268,0
10024,True,0.24416666666666284,0
10025,True,1.7143055555556255,0
10026,False,0.06222222222222248,0
10029,True,0.11638888888888702,0
10032,True,1.6008333333333804,0
10034,False,0.13861111111110838,0
10035,False,0.34694444444444605,0
10036,False,0.09999999999999881,0
10037,False,0.02944444444444449,0
10038,False,0.05583333333333355,0
10039,False,0.5930555555555659,0
10040,False,0.39666666666667016,0
10041,False,0.40805555555556033,0
10043,False,0.33055555555555877,0
10044,False,0.3013888888888889,0
10046,False,0.2644444444444392,0
10047,False,0.02777777777777781,0
10048,False,0.15722222222222001,0
10049,False,0.12972222222222016,0
10050,False,0.08249999999999945,0
10051,False,0.7276388888888864,0
10052,False,0.008055555555555555,0
10053,False,0.18499999999999908,0
10054,False,0.9176388888889021,0
10055,False,0.0988888888888883,0
10056,False,0.05305555555555574,0
10057,False,0.23305555555555219,0
10058,False,0.11111111111111022,0
10059,False,0.07444444444444429,0
10060,False,0.08944444444444409,0
10061,False,0.033055555555555616,0
10062,False,0.3544444444444457,0
10063,False,0.15611111111110743,0
10064,False,0.28388888888888836,0
10065,False,0.2538888888888844,0
10066,False,0.5322222222222437,0
10068,False,0.7858333333333458,0
10069,False,0.004166666666666667,0
10070,False,0.2033333333333293,0
10071,False,1.24333333333343,0
10080,False,5.059583333333463,3.1922222222225507
10081,False,1.877500000000171,1.1291666666667153
10082,False,3.676388888889241,2.5358333333335046
10085,False,0.23999999999999302,0
10086,False,0.30361111111111055,0
10089,False,0.11888888888888713,0
10092,False,0.11055555555555371,0.043611111111111246
10093,False,0.23333333333332798,0
10094,False,0.2972222222222215,0
10095,False,0.6588888888888921,0
10096,False,0.2893055555555535,0.016388888888888866
10097,False,0.588611111111127,0
10098,False,0.16694444444444048,0
101,False,1.921111111111226,0.0019444444444444446
10100,False,0.4047222222222228,0
10102,False,0.9972222222222289,0.0030555555555555557
10103,True,0.23444444444444187,0
10104,True,0.0036111111111111114,0
10105,True,0.009999999999999988,0
10106,True,0.0002777777777777778,0
10107,True,0.012499999999999973,0
10108,True,0.0033333333333333335,0
10109,True,0.007500000000000001,0
10110,True,0.04027777777777789,0
10111,False,0.2791666666666631,0
