sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
1050.0,10639,1,0,0,,,
1050.0,10682,1,20,5,12.805000000000001,78.77,212.54
1051.0,10639,1,0,0,,,
1051.0,10682,1,20,2,12.9145,79.68,85.96
1052.0,10639,1,0,0,,,
1052.0,10682,1,20,3,10.97,11.47,185.13
1053.0,10639,1,1,0,42.63,,
1053.0,10682,1,20,7,9.120999999999999,6.32,201.87
1054.0,10639,1,1,0,42.22,,
1054.0,10682,1,20,6,10.631499999999999,6.32,215.05
1055.0,10639,1,1,0,42.22,,
1055.0,10682,1,20,6,10.43,6.32,216.24
1056.0,10639,1,1,0,42.22,,
1056.0,10682,1,20,4,11.486,4.28,207.35
1057.0,10639,1,1,0,42.22,,
1057.0,10682,1,20,6,11.439,4.28,207.56
1058.0,10639,1,1,0,42.22,,
1058.0,10682,1,19,6,11.544210526315789,4.28,202.02
1059.0,10639,1,1,0,42.22,,
1059.0,10682,1,19,7,11.222105263157895,4.28,202.36
1060.0,10639,1,1,0,42.22,,
1060.0,10682,1,19,6,12.631052631578948,46.52,195.28
1061.0,10639,1,1,0,42.22,,
1061.0,10682,1,18,7,11.520555555555555,47.43,196.35
1062.0,10639,1,1,0,42.22,,
1062.0,10682,1,18,7,10.463888888888889,40.2,197.27
1063.0,10639,1,1,0,42.22,,
1063.0,10682,1,19,4,13.456842105263158,41.02,189.66
1064.0,10639,1,1,0,42.22,,
1064.0,10682,1,18,4,13.375555555555556,41.56,189.66
1065.0,10639,1,1,0,42.22,,
1065.0,10682,1,18,6,12.54611111111111,33.64,184.36
1066.0,10639,1,1,0,42.22,,
1066.0,10682,1,19,6,12.872105263157895,34.32,184.36
1067.0,10639,1,1,0,42.22,,
1067.0,10682,1,18,5,12.508333333333333,140.87,178.03
1068.0,10639,1,1,0,42.22,,
1068.0,10682,1,18,5,13.718333333333334,141.84,178.03
1069.0,10639,1,1,0,42.22,,
1069.0,10682,1,19,5,15.692105263157893,135.43,171.73
1070.0,10639,1,1,0,42.22,,
1070.0,10682,1,18,6,13.975555555555555,131.97,171.78
1071.0,10639,1,1,0,42.22,,
1071.0,10682,1,18,6,14.350000000000001,125.31,166.15
1072.0,10639,1,1,0,42.22,,
1072.0,10682,1,17,5,14.418235294117647,120.19,166.49
1073.0,10639,1,1,0,42.22,,
1073.0,10682,1,18,5,15.812222222222223,120.19,159.65
1074.0,10639,1,1,0,42.22,,
1074.0,10682,1,18,5,15.801666666666668,120.19,159.98
1075.0,10639,1,1,0,42.22,,
1075.0,10682,1,19,6,14.522105263157895,114.37,153.52
1076.0,10639,1,1,0,42.22,,
1076.0,10682,1,18,7,13.344444444444443,107.97,153.86
1077.0,10639,1,1,0,42.22,,
1077.0,10682,1,18,9,12.357777777777777,95.54,148.51
1078.0,10639,1,1,0,42.22,,
1078.0,10682,1,19,8,13.513684210526316,96.31,148.95
1079.0,10639,1,1,0,42.22,,
