case_id,returncode,elapsed_sec,timed_out,case_timeout_sec,state_csv,segment_csv,ramp_csv,signal_csv,urban_csv,stdout,stderr
signal_mg32_ng32_seed13,0,135.833,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed13\stderr.txt
signal_mg44_ng44_seed13,0,139.341,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed13\stderr.txt
signal_mg56_ng56_seed13,0,132.996,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed13\stderr.txt
signal_mg68_ng68_seed13,0,132.6,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng68_seed13\stderr.txt
signal_mg44_ng68_seed13,0,135.4,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed13\stderr.txt
signal_mg68_ng44_seed13,0,139.698,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg68_ng44_seed13\stderr.txt
signal_mg32_ng32_seed29,0,139.738,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg32_ng32_seed29\stderr.txt
signal_mg56_ng56_seed29,0,144.426,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg56_ng56_seed29\stderr.txt
signal_mg44_ng44_seed29,0,143.577,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng44_seed29\stderr.txt
signal_mg44_ng68_seed29,0,147.76,False,420.0,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\state.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\segments.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\ramps.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\signal_discharge.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\urban_production.csv,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\stdout.txt,evaluation\runs\calibration_signal_vector_20260626\signal_mg44_ng68_seed29\stderr.txt
