sec,direction,cell,n,stopped,mean_speed_kph,speed_eligible_n_ge5
150,E,18,0,0,,False
150,E,19,0,0,,False
150,E,20,0,0,,False
150,W,0,22,0,80.255,True
150,W,1,19,0,112.30105263157894,True
150,W,2,18,0,113.0311111111111,True
150,W,3,18,0,118.57388888888889,True
150,W,4,15,0,118.45666666666668,True
150,W,5,14,0,116.43214285714285,True
150,W,6,10,0,119.873,True
150,W,7,10,0,107.704,True
150,W,8,3,0,118.11333333333333,False
150,W,9,5,0,130.304,True
150,W,10,1,0,136.81,False
150,W,11,0,0,,False
150,W,12,0,0,,False
150,W,13,0,0,,False
150,W,14,0,0,,False
150,W,15,0,0,,False
150,W,16,0,0,,False
150,W,17,0,0,,False
150,W,18,0,0,,False
150,W,19,0,0,,False
150,W,20,0,0,,False
180,E,0,17,0,93.91588235294114,True
180,E,1,13,0,112.12846153846155,True
180,E,2,21,0,111.76333333333335,True
180,E,3,10,0,119.849,True
180,E,4,24,0,116.26,True
180,E,5,17,0,113.84647058823526,True
180,E,6,14,0,113.0807142857143,True
180,E,7,19,0,118.04421052631578,True
180,E,8,7,0,117.20285714285714,True
180,E,9,6,0,122.77666666666669,True
180,E,10,9,0,127.12666666666665,True
180,E,11,1,0,136.5,False
180,E,12,2,0,139.84,False
180,E,13,1,0,40.35,False
180,E,14,1,0,40.68,False
180,E,15,2,0,41.815,False
180,E,16,0,0,,False
180,E,17,0,0,,False
180,E,18,0,0,,False
180,E,19,0,0,,False
180,E,20,0,0,,False
180,W,0,36,0,61.78194444444445,True
180,W,1,15,0,118.37866666666669,True
180,W,2,19,0,110.28263157894736,True
180,W,3,19,0,115.11421052631579,True
180,W,4,15,0,114.74999999999999,True
180,W,5,17,0,117.57823529411765,True
180,W,6,16,0,117.80062500000001,True
180,W,7,10,0,98.056,True
180,W,8,11,0,117.54272727272729,True
180,W,9,6,0,123.49666666666666,True
180,W,10,4,0,121.7375,False
180,W,11,4,0,130.835,False
180,W,12,2,0,132.495,False
180,W,13,0,0,,False
180,W,14,0,0,,False
180,W,15,0,0,,False
180,W,16,0,0,,False
180,W,17,0,0,,False
180,W,18,0,0,,False
180,W,19,0,0,,False
180,W,20,0,0,,False
210,E,0,25,0,80.65680000000002,True
210,E,1,15,0,118.25666666666666,True
210,E,2,13,0,119.80461538461539,True
210,E,3,21,0,115.30190476190477,True
210,E,4,14,0,113.5257142857143,True
210,E,5,8,0,121.40125000000002,True
210,E,6,30,0,110.271,True
210,E,7,15,0,114.18933333333332,True
210,E,8,11,0,106.50545454545454,True
210,E,9,8,0,120.47874999999999,True
210,E,10,3,0,119.32666666666667,False
210,E,11,5,0,122.11399999999999,True
210,E,12,10,0,130.269,True
210,E,13,0,0,,False
210,E,14,5,0,80.806,True
210,E,15,1,0,40.68,False
210,E,16,2,0,96.15,False
210,E,17,0,0,,False
210,E,18,0,0,,False
210,E,19,0,0,,False
210,E,20,0,0,,False
210,W,0,21,0,76.16238095238097,True
210,W,1,32,0,94.28749999999998,True
210,W,2,11,0,118.26272727272728,True
210,W,3,16,0,109.62562500000001,True
210,W,4,18,0,116.34111111111113,True
210,W,5,17,0,111.66352941176471,True
210,W,6,14,0,111.00285714285715,True
210,W,7,14,0,97.35428571428574,True
210,W,8,13,0,124.13076923076923,True
210,W,9,8,0,116.9675,True
210,W,10,10,0,115.915,True
210,W,11,5,0,131.79,True
210,W,12,2,0,118.38,False
210,W,13,2,0,132.715,False
210,W,14,2,0,132.495,False
210,W,15,0,0,,False
210,W,16,0,0,,False
210,W,17,0,0,,False
210,W,18,0,0,,False
210,W,19,0,0,,False
210,W,20,0,0,,False
240,E,0,17,0,85.0464705882353,True
240,E,1,21,0,105.57285714285713,True
240,E,2,17,0,114.90999999999998,True
240,E,3,11,0,120.17000000000002,True
240,E,4,13,0,122.7423076923077,True
240,E,5,24,0,116.44333333333331,True
240,E,6,12,0,119.86833333333334,True
240,E,7,13,0,112.01999999999998,True
240,E,8,27,0,109.93333333333334,True
240,E,9,10,0,117.57300000000001,True
240,E,10,2,0,111.49000000000001,False
240,E,11,7,0,121.14,True
240,E,12,3,0,119.50666666666666,False
240,E,13,3,0,116.17999999999999,False
240,E,14,8,0,94.86375000000001,True
240,E,15,5,0,59.83399999999999,True
240,E,16,2,0,138.2,False
240,E,17,1,0,113.9,False
240,E,18,1,0,122.74,False
240,E,19,0,0,,False
240,E,20,0,0,,False
240,W,0,19,0,79.33526315789474,True
240,W,1,15,0,108.20066666666668,True
240,W,2,28,0,102.72464285714287,True
240,W,3,17,0,116.17470588235292,True
240,W,4,12,0,120.58333333333333,True
240,W,5,15,0,114.57999999999998,True
240,W,6,20,0,114.97050000000002,True
240,W,7,10,0,95.74099999999999,True
240,W,8,9,0,109.31777777777778,True
240,W,9,11,0,118.62363636363635,True
240,W,10,14,0,121.20357142857142,True
240,W,11,4,0,126.18,False
240,W,12,6,0,123.04,True
240,W,13,6,0,133.39166666666665,True
240,W,14,2,0,118.38,False
240,W,15,1,0,130.15,False
240,W,16,3,0,133.42333333333332,False
240,W,17,0,0,,False
240,W,18,0,0,,False
240,W,19,0,0,,False
240,W,20,0,0,,False
270,E,0,19,0,92.95315789473683,True
270,E,1,11,0,115.94999999999999,True
270,E,2,16,0,114.7825,True
270,E,3,15,0,113.52999999999999,True
270,E,4,18,0,117.28555555555555,True
270,E,5,11,0,117.29363636363637,True
270,E,6,11,0,123.0509090909091,True
270,E,7,27,0,109.07444444444445,True
270,E,8,9,0,115.0122222222222,True
270,E,9,14,0,121.65,True
270,E,10,12,0,113.50166666666667,True
270,E,11,10,0,118.902,True
270,E,12,2,0,112.055,False
270,E,13,4,0,121.18,False
270,E,14,6,0,76.48166666666667,True
270,E,15,8,0,76.3275,True
270,E,16,7,0,116.4657142857143,True
270,E,17,2,0,129.3,False
270,E,18,1,0,136.5,False
270,E,19,2,0,126.9,False
270,E,20,1,0,122.74,False
270,W,0,16,0,78.20000000000002,True
270,W,1,12,0,116.41416666666665,True
270,W,2,16,0,114.75625000000001,True
270,W,3,17,0,109.79823529411765,True
270,W,4,25,0,112.17280000000001,True
270,W,5,13,0,117.95846153846153,True
270,W,6,13,0,121.7153846153846,True
270,W,7,13,0,97.14076923076922,True
270,W,8,14,0,112.09285714285716,True
270,W,9,7,0,117.79571428571428,True
270,W,10,10,0,122.08600000000001,True
270,W,11,10,0,122.69099999999999,True
270,W,12,9,0,122.38888888888889,True
270,W,13,4,0,125.9775,False
270,W,14,5,0,119.28,True
270,W,15,6,0,129.72166666666666,True
270,W,16,3,0,130.31666666666666,False
270,W,17,1,0,130.15,False
270,W,18,2,0,131.73000000000002,False
270,W,19,1,0,136.81,False
270,W,20,0,0,,False
300,E,0,24,0,79.78374999999998,True
300,E,1,13,0,116.48153846153846,True
300,E,2,15,0,116.73733333333332,True
300,E,3,13,0,116.79153846153847,True
300,E,4,13,0,113.48384615384614,True
300,E,5,16,0,117.339375,True
300,E,6,18,0,120.70277777777775,True
300,E,7,11,0,115.35000000000001,True
300,E,8,21,0,101.74333333333331,True
300,E,9,13,0,105.04307692307692,True
300,E,10,7,0,122.0757142857143,True
300,E,11,17,0,111.63529411764705,True
300,E,12,7,0,113.72285714285715,True
300,E,13,9,0,117.71333333333334,True
300,E,14,0,0,,False
300,E,15,10,0,66.212,True
300,E,16,5,0,116.048,True
300,E,17,3,0,118.61000000000001,False
300,E,18,7,0,130.87142857142857,True
300,E,19,2,0,129.3,False
300,E,20,1,0,136.5,False
300,W,0,17,0,81.01235294117646,True
300,W,1,9,0,114.82000000000001,True
300,W,2,13,0,118.32923076923076,True
300,W,3,13,0,112.32923076923076,True
300,W,4,17,0,113.42058823529412,True
300,W,5,19,0,105.62789473684211,True
300,W,6,20,0,103.519,True
300,W,7,7,0,80.95142857142858,True
300,W,8,11,0,118.51636363636364,True
300,W,9,13,0,125.58538461538461,True
300,W,10,12,0,113.71416666666666,True
300,W,11,7,0,120.4357142857143,True
300,W,12,8,0,123.87499999999999,True
300,W,13,16,0,82.76875000000001,True
300,W,14,6,0,121.5166666666667,True
300,W,15,5,0,134.3,True
300,W,16,5,0,118.92,True
300,W,17,6,0,125.86833333333334,True
300,W,18,3,0,141.24666666666667,False
300,W,19,1,0,130.15,False
300,W,20,2,0,131.73000000000002,False
330,E,0,33,0,74.14454545454547,True
330,E,1,19,0,113.42789473684209,True
330,E,2,19,0,112.20473684210528,True
330,E,3,10,0,118.774,True
330,E,4,15,0,125.0646666666667,True
330,E,5,17,0,114.1376470588235,True
330,E,6,10,0,115.402,True
330,E,7,16,0,113.08999999999999,True
330,E,8,20,0,112.926,True
330,E,9,7,0,108.38285714285715,True
330,E,10,17,0,109.41823529411764,True
330,E,11,8,0,119.70875000000001,True
330,E,12,7,0,117.03142857142858,True
330,E,13,17,0,111.60882352941177,True
330,E,14,7,0,63.558571428571426,True
330,E,15,6,0,111.53500000000001,True
330,E,16,3,0,97.94666666666667,False
330,E,17,7,0,116.08714285714284,True
330,E,18,4,0,121.0875,False
330,E,19,4,0,117.54499999999999,False
330,E,20,6,0,126.40333333333335,True
330,W,0,29,0,80.97586206896551,True
330,W,1,11,0,111.69090909090909,True
330,W,2,11,0,115.27454545454545,True
330,W,3,9,0,118.81333333333333,True
330,W,4,14,0,109.43142857142858,True
330,W,5,12,0,115.89083333333333,True
330,W,6,19,0,108.81947368421051,True
330,W,7,21,0,89.50476190476192,True
330,W,8,11,0,116.60363636363637,True
330,W,9,5,0,130.442,True
330,W,10,10,0,118.31799999999998,True
330,W,11,13,0,124.01384615384615,True
330,W,12,5,0,124.304,True
330,W,13,12,0,72.52666666666667,True
330,W,14,8,0,91.00125,True
330,W,15,10,0,123.607,True
330,W,16,5,0,117.40800000000002,True
330,W,17,6,0,128.26999999999998,True
330,W,18,5,0,126.138,True
330,W,19,6,0,125.86833333333334,True
330,W,20,2,0,134.775,False
360,E,0,30,0,76.653,True
360,E,1,28,0,107.06142857142855,True
360,E,2,21,0,112.64190476190477,True
360,E,3,19,0,116.6921052631579,True
360,E,4,15,0,120.36933333333336,True
360,E,5,10,0,119.06699999999998,True
360,E,6,16,0,120.51812500000001,True
360,E,7,16,0,114.47125000000001,True
360,E,8,17,0,116.08470588235292,True
360,E,9,7,0,87.00857142857141,True
360,E,10,14,0,105.02928571428572,True
360,E,11,7,0,117.97142857142858,True
360,E,12,13,0,123.20846153846153,True
360,E,13,9,0,117.37333333333332,True
360,E,14,14,0,72.25642857142857,True
360,E,15,7,0,95.42571428571429,True
360,E,16,2,0,130.38,False
360,E,17,7,0,122.62428571428573,True
360,E,18,2,0,118.315,False
360,E,19,7,0,116.20285714285714,True
360,E,20,4,0,121.0875,False
360,W,0,26,0,89.97461538461539,True
360,W,1,24,0,112.70458333333333,True
360,W,2,19,0,111.59999999999998,True
360,W,3,10,0,112.11600000000001,True
360,W,4,11,0,115.61,True
360,W,5,9,0,119.61333333333333,True
360,W,6,15,0,114.85533333333333,True
360,W,7,10,0,101.881,True
360,W,8,6,0,120.11,True
360,W,9,23,0,114.85347826086955,True
