role,multiplier
__default__,1.0
no:114,0.5
no:194,0.5
no:282,0.5
no:1013,0.5
no:1023,0.5
no:1032,0.5
no:1033,0.5
no:1052,0.5
no:1053,0.5
no:1054,0.5
no:1064,0.5
no:1065,0.5
no:1074,0.5
no:1082,0.5
no:1083,0.5
no:1085,0.5
no:1086,0.5
no:1087,0.5
no:1091,0.5
no:1092,0.5
no:1093,0.5
no:1095,0.5
no:1096,0.5
no:1097,0.5
no:1098,0.6666400000000001
no:1099,0.6666400000000001
no:1100,0.5
no:1101,0.5
no:1102,0.5
no:1103,0.5
no:1104,0.5
no:1105,0.5
no:1106,0.5
no:1107,0.5
