sim_sec,veh_no,lane,pos_m,route_decision_no,route_no,route_decision_type,decision_vartype,route_vartype,type_vartype
670,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
670,"482","10621-2","905.645827245789",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
670,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
670,"781","56-2","158.370749704217",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
670,"967","56-2","127.808886986519",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
670,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
670,"2571","10621-1","509.072573725133",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
671,"13","10621-1","559.168072668097",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
671,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
671,"482","10621-2","917.434202325081",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
671,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
671,"781","56-2","171.036605981202",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
671,"967","56-2","140.075914043491",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
671,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
671,"2571","10621-1","519.800984572132",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
672,"13","10621-1","567.824101510476",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
672,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
672,"482","10621-2","929.348978806581",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
672,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
672,"781","56-2","183.591727315151",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
672,"967","56-2","152.545161735314",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
672,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
672,"2571","10621-1","530.407570438122",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
673,"13","10621-1","576.279363458808",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
673,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
673,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
673,"781","56-2","196.036113706064",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
673,"967","56-2","165.216630061988",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
673,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
673,"2571","10621-1","540.86352093792",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
674,"13","10621-1","584.533858513093",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
674,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
674,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
674,"781","56-2","208.369765153943",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
674,"967","56-2","178.090319023513",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
674,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
674,"2571","10621-1","551.134427206254",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
675,"13","10621-1","592.788353567378",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
675,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
675,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
675,"781","56-2","220.592681658786",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
675,"967","56-2","191.055465078661",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
675,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
675,"2571","10621-1","561.178687177863",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
676,"13","10621-1","601.24361551571",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
676,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
676,"656","57-1","414.74934695961","1129","3","STATIC",3,3,8
676,"781","56-2","232.704863220593",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
676,"967","56-2","203.997892419258",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
676,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
676,"2571","10621-2","572.210236042855",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"13","10621-1","609.899644358089",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"72","57-1","400.599631008501","1129","3","STATIC",3,3,8
677,"781","56-2","244.706309839366",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"967","56-2","216.910118681314",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"1475","57-1","408.590908877331","1129","3","STATIC",3,3,8
677,"2031","10634-2","3.62133136893802",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"2350","10634-1","3.5647250774543",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"2571","10621-2","584.446451240276",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
677,"2590","10634-3","1.61006079681088","1126","2","STATIC",3,3,8
678,"13","10621-1","618.756440094516",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
678,"72","57-1","402.236596998319","1129","3","STATIC",3,3,8
678,"781","56-2","256.597021515103","1129","2","STATIC",3,3,8
678,"967","56-2","229.78325410682",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
678,"1475","57-1","412.429308615153","1129","3","STATIC",3,3,8
678,"2031","10634-2","11.9891549101712",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
678,"2350","10634-1","11.3117065187207",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
678,"2571","10621-2","596.867937433553",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
678,"2590","10634-3","7.86006079681088","1126","2","STATIC",3,3,8
679,"13","10621-1","627.814002724989",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
679,"72","57-1","405.477205666072","1129","3","STATIC",3,3,8
679,"781","56-2","268.376998247805","1129","2","STATIC",3,3,8
679,"967","56-2","242.606787980155",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
679,"2031","10634-2","23.3903008377529",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
679,"2350","10634-1","21.4735051576883",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
679,"2506","10634-1","2.18107363372899",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
679,"2571","10621-2","609.474694622684",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
679,"2590","10634-3","16.6100607968109","1126","2","STATIC",3,3,8
680,"13","10621-1","637.07233224951",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
680,"72","57-1","410.12970067579","1129","3","STATIC",3,3,8
680,"781","56-2","280.046240037471","1129","2","STATIC",3,3,8
680,"967","56-2","255.368302279661","1129","3","STATIC",3,3,8
680,"2031","10634-2","37.6502249564727",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
680,"2350","10634-1","33.8138955233481",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
680,"2506","10634-1","11.9096379104348",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
680,"2571","10621-2","622.26672280767",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
680,"2577","10634-2","6.86078095350449",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
680,"2590","10634-3","27.8150607968109","1126","2","STATIC",3,3,8
680,"2664","10634-3","2.71237299417177","1126","2","STATIC",3,3,8
681,"13","10621-1","646.330661774031",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"781","56-2","291.604746884102","1129","2","STATIC",3,3,8
681,"967","56-2","268.053079680716","1129","3","STATIC",3,3,8
681,"2031","10634-2","54.5357458684869",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"2350","10634-1","48.1455646883602",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"2506","10634-1","24.4314716086814",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"2571","10621-2","635.244021988512",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"2577","10634-2","16.5033216489288",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"2582","10634-1","0.201707449222468",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
681,"2590","10634-3","41.2130207968109","1126","2","STATIC",3,3,8
681,"2664","10634-3","13.6394246847562","1126","2","STATIC",3,3,8
682,"13","10621-1","655.388224404505",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"781","56-2","303.163253730733","1129","2","STATIC",3,3,8
682,"967","56-1","280.594383136311","1129","3","STATIC",3,3,8
682,"2031","56-2","11.8183578682364",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"2350","56-1","2.34246730694425",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"2506","10634-1","39.5482475427698",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"2571","10621-2","648.221321169353",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"2577","10634-2","28.2662752462956",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"2582","10634-1","12.7832785007099",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
682,"2590","10634-3","56.3524690528109","1126","2","STATIC",3,3,8
682,"2664","10634-3","26.72257513276","1126","2","STATIC",3,3,8
682,"2720","10634-3","6.46935204211727","1126","2","STATIC",3,3,8
683,"13","10621-1","664.245020140932",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"781","56-2","314.8324955204","1129","2","STATIC",3,3,8
683,"967","56-1","292.933465957055","1129","3","STATIC",3,3,8
683,"2031","56-2","33.2102881795548",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"2350","56-1","20.2113855339555",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"2506","10634-1","57.0265594968205",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"2571","10621-2","661.01334935434",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"2577","10634-2","41.9730895464264",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"2582","10634-1","27.1594268241598",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
683,"2590","56-3","10.9630952616271","1126","2","STATIC",3,3,8
683,"2664","10634-3","41.7777372640335","1126","2","STATIC",3,3,8
683,"2720","10634-3","21.0875465903724","1126","2","STATIC",3,3,8
684,"13","10621-1","672.901048983311",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"781","56-2","326.612472253102","1129","2","STATIC",3,3,8
684,"967","56-1","305.070328142948","1129","3","STATIC",3,3,8
684,"2031","56-2","56.5454061790573",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"2350","56-1","39.6631035887237",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"2506","56-1","14.6740732806527",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"2571","10621-2","673.620106543471",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"2577","10634-2","57.4751560059565",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"2582","10634-1","43.2031131391269",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
684,"2590","56-3","28.8651192806867","1126","2","STATIC",3,3,8
684,"2664","10634-3","58.6508897399194","1126","2","STATIC",3,3,8
684,"2720","10634-3","38.4491609961732","1126","2","STATIC",3,3,8
684,"2936","10634-3","4.83339849064213","1126","2","STATIC",3,3,8
685,"13","10621-1","681.356310931643",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"781","56-2","338.503183928839","1129","2","STATIC",3,3,8
685,"967","56-1","317.00496969399","1129","3","STATIC",3,3,8
685,"2031","56-2","81.6552997440754",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2350","56-1","60.5929320103288",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2506","56-1","35.3037193205093",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2571","10621-2","686.041592736747",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2577","56-2","12.6728327937934",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2582","10634-1","60.802793204244",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2590","56-3","47.9837502839055",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
685,"2664","56-3","15.2390650165245","1126","2","STATIC",3,3,8
685,"2720","10634-3","57.0672920274271","1126","2","STATIC",3,3,8
685,"2936","10634-3","17.1489824709205","1126","2","STATIC",3,3,8
686,"13","10621-1","689.610805985928",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"781","56-2","350.504630547611","1129","2","STATIC",3,3,8
686,"967","56-1","328.737390610181","1129","3","STATIC",3,3,8
686,"2031","56-2","108.392795990071",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2350","56-1","82.9069017917188",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2506","56-2","56.8581084878927",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2571","10621-2","698.277807934169",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2577","56-2","31.3953277150421",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2582","56-1","17.8886647594979",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2590","56-3","68.2274782504383",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
686,"2664","56-3","35.365993174517","1126","2","STATIC",3,3,8
686,"2720","56-3","14.8401394803638","1126","2","STATIC",3,3,8
686,"2936","10634-3","31.1668451504855","1126","2","STATIC",3,3,8
686,"2993","10634-3","7.65370877670716","1126","2","STATIC",3,3,8
686,"3321","10634-1","17.5768920660756","1126","2","STATIC",3,3,8
687,"13","10621-1","697.865301040213",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"781","56-2","362.616812109419","1129","2","STATIC",3,3,8
687,"967","56-1","340.267590891521","1129","3","STATIC",3,3,8
687,"2031","56-2","136.626835461145",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2350","56-1","106.520142310736",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2506","56-2","80.2011295427798",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2571","10621-2","710.328752135735",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2577","56-2","51.5713439546336",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2582","56-1","38.3136522539911",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2590","56-3","89.5136578033808",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2664","56-4","56.9568211986855",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
687,"2720","56-3","36.8013456731954","1126","2","STATIC",3,3,8
687,"2936","10634-3","46.7728060179351","1126","2","STATIC",3,3,8
687,"2993","10634-3","21.7299358613538","1126","2","STATIC",3,3,8
687,"3321","10634-1","38.3208148876087","1126","2","STATIC",3,3,8
688,"13","10621-1","706.320562988545",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"781","56-2","374.839728614262","1129","2","STATIC",3,3,8
688,"967","56-1","351.59557053801","1129","3","STATIC",3,3,8
688,"1082","10634-3","11.8013994580602","1140","2","STATIC",3,3,8
688,"2031","56-3","166.265178178061",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2350","56-1","131.355227263004",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2506","56-2","105.189273544324",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2571","10621-2","722.194425341447",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2577","56-2","72.4500464130795",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2582","56-1","60.0268904230139",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2590","56-3","111.767232428511",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2664","56-4","79.9184689951151",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2720","56-3","59.7985817421182",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
688,"2936","10634-3","63.8656381968197","1126","2","STATIC",3,3,8
688,"2993","10634-3","37.6449008726985","1126","2","STATIC",3,3,8
688,"3321","10634-1","60.2874579072521","1126","2","STATIC",3,3,8
689,"13","10621-1","714.976591830924",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"781","56-2","387.17338006214","1129","2","STATIC",3,3,8
689,"967","56-1","362.721329549648","1129","3","STATIC",3,3,8
689,"1082","10634-3","24.5100448044862","1140","2","STATIC",3,3,8
689,"2031","56-3","197.25410686408",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2350","56-1","157.341003614051",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2506","56-2","131.695762370504",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2571","10621-2","734.060098547158",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2577","56-2","93.9159267297492",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2582","56-1","82.9555617021838",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2590","56-3","134.923022559543",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2664","56-4","104.166282975184",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2720","56-3","83.7358136317814",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
689,"2936","56-3","20.3846553432145","1126","2","STATIC",3,3,8
689,"2993","10634-3","55.2631805925303","1126","2","STATIC",3,3,8
689,"3321","56-1","21.4398599697913","1126","2","STATIC",3,3,8
690,"13","10621-1","723.833387567351",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"781","56-2","399.617766453054","1129","2","STATIC",3,3,8
690,"967","56-1","373.644867926434","1129","3","STATIC",3,3,8
690,"1082","10634-3","37.424541096485","1140","2","STATIC",3,3,8
690,"2031","56-3","229.547676579997",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2350","56-2","184.412401429273",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2506","56-2","158.903697251782",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2571","10621-2","746.111042748725",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2577","56-2","116.595141492597",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2582","56-1","107.032829854929",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2590","56-4","158.928400023498",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2664","56-4","128.977473010818",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2720","56-3","108.614221253037",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
690,"2936","56-3","40.1903058465604","1126","2","STATIC",3,3,8
690,"2993","56-3","12.4958055485638","1126","2","STATIC",3,3,8
690,"3321","56-1","45.6586981106131",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"13","10621-1","732.890950197824",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"781","56-2","412.172887787003","1129","2","STATIC",3,3,8
691,"967","56-1","384.366185668369","1129","3","STATIC",3,3,8
691,"1082","10634-3","50.5448883340566","1140","2","STATIC",3,3,8
691,"2031","56-3","263.101525890753","1129","1","STATIC",3,3,8
691,"2350","56-2","212.509244454513",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2506","56-2","186.761407950607",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2571","10621-2","758.347257946146",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2577","56-2","140.491295502676",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2582","56-1","132.197218852036",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2590","56-4","183.7374871044",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2664","56-4","153.724094208778",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2720","56-3","134.349851665301",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2936","56-4","61.2382703472",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
691,"2993","56-3","33.1798038813276","1126","2","STATIC",3,3,8
691,"3321","56-1","70.9167534690364",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"13","10621-1","742.149279722345",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"781","56-2","424.838744063987","1129","2","STATIC",3,3,8
692,"967","56-1","394.885282775454","1129","3","STATIC",3,3,8
692,"1082","10634-3","63.6652355716282","1140","2","STATIC",3,3,8
692,"2031","56-3","297.872874280023","1129","1","STATIC",3,3,8
692,"2350","56-2","241.587698754647",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2506","56-3","215.940263234551",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2571","10621-2","770.768744139423",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2577","56-2","165.535901144663",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2582","56-1","158.39160067295",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2590","56-4","209.308681599487",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2664","56-4","178.441457974521",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2720","56-3","161.755686793106",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2936","56-4","83.4618822806164",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"2993","56-3","55.2504997179938",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
692,"3321","56-1","97.1616047007991",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"13","10621-1","751.407609246866",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"781","56-2","437.615335284007","1129","2","STATIC",3,3,8
693,"967","56-1","405.404379882538","1129","3","STATIC",3,3,8
693,"1082","56-3","14.6089581457616","1140","2","STATIC",3,3,8
693,"2031","56-3","333.820494150384","1129","1","STATIC",3,3,8
693,"2350","56-3","271.621751744555","1129","1","STATIC",3,3,8
693,"2506","56-3","245.757791492873",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2571","10621-2","783.375501328554",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2577","56-2","191.665555906951",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2582","56-1","184.775726606168",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2590","56-4","235.60931309275",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2664","56-4","203.118198265524",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2720","56-3","190.701059292621",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2936","56-4","106.799476723318",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"2993","56-3","78.6232264664354",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
693,"3321","56-1","124.344936089393",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"13","10621-1","760.46517187734",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"781","56-2","450.391926504026","1129","2","STATIC",3,3,8
694,"967","56-1","416.125697624474","1129","3","STATIC",3,3,8
694,"1082","56-3","27.3176034921876","1140","2","STATIC",3,3,8
694,"2031","56-3","370.904545117544","1129","1","STATIC",3,3,8
694,"2350","56-3","302.588854420429","1129","1","STATIC",3,3,8
694,"2506","56-3","276.193863791714","1129","1","STATIC",3,3,8
694,"2571","10621-2","796.16752951354",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"2577","56-2","218.822107715096",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"2582","56-1","210.544483752926",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"2590","56-4","262.613121852257","1129","1","STATIC",3,3,8
694,"2664","56-4","227.778370117023",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"2720","56-3","221.102282323305",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"2936","56-4","131.194274660377",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"2993","56-3","103.220687261506",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
694,"3321","56-1","151.966359229463",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"13","10621-1","769.321967613767",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"781","56-2","463.057782781011","1129","2","STATIC",3,3,8
695,"967","56-1","427.04923600126","1129","3","STATIC",3,3,8
695,"1082","56-3","39.8203978930407","1140","2","STATIC",3,3,8
695,"2031","56-3","409.086425618558","1129","1","STATIC",3,3,8
695,"2350","56-3","334.466847469703","1129","1","STATIC",3,3,8
695,"2506","56-3","307.200229472177","1129","1","STATIC",3,3,8
695,"2571","10621-2","809.144828694382",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"2577","56-2","246.951302178412",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"2582","56-1","235.713889971584",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"2590","56-4","290.294793496421","1129","1","STATIC",3,3,8
695,"2664","56-4","252.85640277799",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"2720","56-3","252.906851760068",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"2936","56-4","156.593193183729",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"2993","56-3","128.971812827476",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
695,"3321","56-2","180.004584887858",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
696,"13","10621-1","777.977996456146",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
696,"781","10617-2","8.26898218796691","1129","2","STATIC",3,3,8
696,"967","56-1","438.174995012898","1129","3","STATIC",3,3,8
696,"1082","56-3","52.117341348321",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
696,"2031","56-3","448.328775243208","1129","1","STATIC",3,3,8
696,"2350","56-3","366.885442133442","1129","1","STATIC",3,3,8
696,"2506","56-3","338.106692065247","1129","1","STATIC",3,3,8
696,"2571","10621-2","822.122127875223",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
696,"2577","56-2","275.220846940077","1129","1","STATIC",3,3,8
696,"2582","56-1","260.300405529526","1129","1","STATIC",3,3,8
696,"2590","56-4","318.629924961395","1129","1","STATIC",3,3,8
696,"2664","56-4","278.920580568194","1129","1","STATIC",3,3,8
696,"2720","56-3","285.378539477705","1129","1","STATIC",3,3,8
696,"2936","56-4","182.94707412385",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
696,"2993","56-3","155.81155900057",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
696,"3321","56-2","208.903873815179",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
697,"13","10621-1","786.433258404478",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
697,"781","57-2","8.01267609278969","1129","2","STATIC",3,3,8
697,"967","56-1","449.502974659386","1129","3","STATIC",3,3,8
697,"1082","56-3","64.2084338580285",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
697,"2031","10621-1","22.4798946588943","1129","1","STATIC",3,3,8
697,"2350","56-3","399.485369072223","1129","1","STATIC",3,3,8
697,"2506","56-3","368.930700545469","1129","1","STATIC",3,3,8
697,"2571","10621-2","834.914156060209",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
697,"2577","56-2","303.625739830813","1129","1","STATIC",3,3,8
697,"2582","56-1","284.320951502637","1129","1","STATIC",3,3,8
