sim_sec,veh_no,lane,pos_m,route_decision_no,route_no,route_decision_type,decision_vartype,route_vartype,type_vartype
300,"41","10621-1","316.806786421178","1129","1","STATIC",3,3,8
300,"73","10621-1","130.859788293225","1129","1","STATIC",3,3,8
300,"170","10621-1","7.1889450292116","1129","1","STATIC",3,3,8
300,"199","10621-2","835.006224973612",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
300,"273","57-1","412.917217674282","1129","3","STATIC",3,3,8
300,"320","56-3","337.573697378107","1129","1","STATIC",3,3,8
300,"360","56-3","161.077967011053",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
300,"446","56-3","427.023368379806","1129","1","STATIC",3,3,8
330,"41","10621-1","669.614715980669",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
330,"73","10621-1","469.022162278857","1129","1","STATIC",3,3,8
330,"170","10621-1","350.089759608422","1129","1","STATIC",3,3,8
330,"273","57-1","412.917217674282","1129","3","STATIC",3,3,8
330,"320","10621-1","228.425209268065","1129","1","STATIC",3,3,8
330,"360","10621-1","49.2486630618981","1129","1","STATIC",3,3,8
330,"446","10621-1","317.018597798679","1129","1","STATIC",3,3,8
330,"746","56-4","315.826448795422","1129","1","STATIC",3,3,8
360,"73","10621-1","808.129494992551",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
360,"170","10621-1","695.485648733603",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
360,"273","57-1","412.917217674282","1129","3","STATIC",3,3,8
360,"320","10621-1","592.574364278903",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
360,"360","10621-1","403.999257396734","1129","1","STATIC",3,3,8
360,"446","10621-1","671.962061623501",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
360,"746","10621-2","221.847599300494","1129","1","STATIC",3,3,8
360,"835","56-3","327.543771044231","1129","1","STATIC",3,3,8
360,"868","56-2","302.247973162304","1129","2","STATIC",3,3,8
360,"891","56-2","392.506673252335","1129","2","STATIC",3,3,8
390,"251","56-2","198.453662830181",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"360","10621-1","759.56314240482",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"418","56-3","132.556666446338",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"604","56-3","216.920533711676",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"626","56-4","119.881641220238",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"746","10621-2","593.635357416306",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"835","10621-1","209.08051475708","1129","1","STATIC",3,3,8
390,"868","57-2","176.772464248609","1129","2","STATIC",3,3,8
390,"888","56-1","163.246864533964",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"891","57-2","280.72277253646","1129","2","STATIC",3,3,8
390,"951","56-3","80.3925444900356",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
390,"964","56-3","37.1788061873688","1126","2","STATIC",3,3,8
390,"1011","10634-3","27.7210448566303","1126","2","STATIC",3,3,8
390,"1101","56-3","5.70232401470614","1126","2","STATIC",3,3,8
390,"1211","56-1","120.361683470636",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
420,"251","10621-2","646.659069414939",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
420,"282","56-4","427.932831776366","1129","1","STATIC",3,3,8
420,"604","10621-2","682.528468431168",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
420,"626","10621-2","571.029977667722",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
420,"835","10621-1","555.255345853474",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
420,"891","57-2","412.510411015493","1129","2","STATIC",3,3,8
420,"942","10621-1","118.23840029549","1129","1","STATIC",3,3,8
420,"951","10621-2","546.046879842243",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
420,"964","10621-2","455.363736008516","1129","1","STATIC",3,3,8
420,"1011","10621-1","196.956755809663","1129","1","STATIC",3,3,8
420,"1098","10621-2","58.8052405314402","1129","1","STATIC",3,3,8
420,"1101","10621-2","490.157056923708","1129","1","STATIC",3,3,8
420,"1212","56-3","283.755310002642","1129","1","STATIC",3,3,8
420,"1369","56-3","374.050397401512","1129","1","STATIC",3,3,8
420,"1446","56-4","318.710957204003","1129","1","STATIC",3,3,8
420,"1497","56-4","346.856201382604","1129","1","STATIC",3,3,8
420,"1561","56-4","260.753419416825","1129","1","STATIC",3,3,8
450,"2","1220014203-4","192.843949846703","1012","1","STATIC",3,3,8
450,"4","426-2","220.573440796696","1041","1","STATIC",3,3,8
450,"7","47-2","932.567987558364",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"8","1220014201-5","171.725639086865","1012","1","STATIC",3,3,8
450,"13","120-1","2285.10406444961",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"14","1210018302-3","139.190977734357","1034","2","STATIC",3,3,8
450,"17","1220021301-2","63.2613151907201",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"18","120-1","4491.6828650785",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"19","1220018401-2","119.537280030302","1022","2","STATIC",3,3,8
450,"23","298-4","106.398736992542","1158","2","STATIC",3,3,8
450,"26","10646-1","205.55292224579","1135","2","STATIC",3,3,8
450,"30","47-3","407.430203620563","1122","1","STATIC",3,3,8
450,"282","10621-2","557.473561657238",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"835","10621-1","902.558697177063",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"1212","10621-1","165.000692880501","1129","1","STATIC",3,3,8
450,"1369","10621-1","765.698394472851",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"1446","10621-2","787.3287389049",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"1497","10621-2","698.877214099503",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
450,"1561","10621-2","605.123264213806",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
480,"1042","56-3","184.735816552773",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
480,"1212","10621-1","515.041550866114",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
480,"1407","56-4","194.586977164475",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
510,"1042","56-3","448.814044702391","1129","1","STATIC",3,3,8
510,"1212","10621-1","862.053541354713",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
510,"1407","10621-2","66.1336552653861","1129","1","STATIC",3,3,8
510,"1844","56-3","352.335209436946","1129","1","STATIC",3,3,8
540,"72","56-2","42.9105463406095","1140","2","STATIC",3,3,8
540,"398","10634-3","28.53164860529","1140","2","STATIC",3,3,8
540,"656","56-2","82.1602517636564",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1042","10621-1","244.750906386445","1129","1","STATIC",3,3,8
540,"1203","56-3","186.196616118162",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1336","56-1","113.764696253835",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1362","56-3","70.3874959823719",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1373","56-2","156.637879915977",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1407","10621-2","403.446940977037","1129","1","STATIC",3,3,8
540,"1613","10634-1","57.0366698827849",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1640","56-1","28.6226117923982",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1698","56-2","131.243708136532",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1806","56-1","192.028246962832",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1828","56-4","145.229576839422",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
540,"1844","10621-2","221.333512751553","1129","1","STATIC",3,3,8
540,"2089","56-3","5.67470235385904","1126","2","STATIC",3,3,8
540,"2149","56-3","39.5443422755925","1126","2","STATIC",3,3,8
540,"2183","10634-3","7.2924946082624","1126","2","STATIC",3,3,8
570,"13","56-3","138.830520449741",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"72","56-1","389.043460728843","1129","3","STATIC",3,3,8
570,"286","10621-1","68.2606389891941","1129","1","STATIC",3,3,8
570,"398","56-3","306.03477954952","1129","1","STATIC",3,3,8
570,"482","56-3","236.309812091692",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"656","57-1","208.652834565564","1129","3","STATIC",3,3,8
570,"1042","10621-1","508.829134536062",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"1203","10621-1","544.201693498477",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"1336","10621-2","495.864696790244","1129","1","STATIC",3,3,8
570,"1362","10621-2","468.888329247337","1129","1","STATIC",3,3,8
570,"1407","10621-2","741.446934700774",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"1475","56-2","365.015842772474","1129","3","STATIC",3,3,8
570,"1597","56-2","318.626585913802","1129","1","STATIC",3,3,8
570,"1613","10621-2","315.31659481524","1129","1","STATIC",3,3,8
570,"1640","10621-1","370.383133231376","1129","1","STATIC",3,3,8
570,"1828","10621-2","519.383857650072",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"1844","10621-2","585.970788068901",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"1993","10621-1","265.099338308098","1129","1","STATIC",3,3,8
570,"2001","10634-2","32.71683827713",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
570,"2089","10621-2","417.645152782496","1129","1","STATIC",3,3,8
570,"2149","10621-1","432.880332725563","1129","1","STATIC",3,3,8
570,"2183","10621-2","179.949237018771","1129","1","STATIC",3,3,8
600,"2","1220014201-5","171.653760035924","1012","1","STATIC",3,3,8
600,"4","427-3","515.908787772083","1112","1","STATIC",3,3,8
600,"7","40-4","1246.59362958887","1119","1","STATIC",3,3,8
600,"8","1210008401-1","134.983692339286","13","3","STATIC",3,3,8
600,"13","56-3","403.129024284206","1129","1","STATIC",3,3,8
600,"14","1210021904-3","117.603630662222","1092","2","STATIC",3,3,8
600,"17","1220061100-1","639.329255584511",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"19","322-4","20.8706507294365","1113","3","STATIC",3,3,8
600,"23","72-4","53.3374282472476",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"26","47-4","101.490850499844","1122","1","STATIC",3,3,8
600,"30","40-4","1233.07273774602","1119","1","STATIC",3,3,8
600,"37","72-3","57.3279730600783",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"72","57-1","258.363390660038","1129","3","STATIC",3,3,8
600,"286","10621-2","762.053449156018",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"398","10621-1","180.787469968488","1129","1","STATIC",3,3,8
600,"482","10621-2","112.43912645426","1129","1","STATIC",3,3,8
600,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
600,"1042","10621-1","770.532603830856",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
600,"1597","10621-2","719.353893969109",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"1640","10621-1","935.389987394467",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"1993","10621-2","882.396200092817",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"2001","10621-1","132.064059213454","1129","1","STATIC",3,3,8
600,"2149","10621-1","844.225555281704",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
600,"2183","10621-1","909.346622772906",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
601,"13","56-3","411.584286232538","1129","1","STATIC",3,3,8
601,"72","57-1","269.911125192257","1129","3","STATIC",3,3,8
601,"286","10621-2","777.574780432923",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
601,"398","10621-1","191.728667500497","1129","1","STATIC",3,3,8
601,"482","10621-2","124.48030433797","1129","1","STATIC",3,3,8
601,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
601,"1042","10621-1","779.889321835303",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
601,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
601,"1597","10621-2","739.930283099421",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
601,"1993","10621-2","897.566237974955",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
601,"2001","10621-2","147.572001798092","1129","1","STATIC",3,3,8
601,"2149","10621-1","867.940574931734",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
601,"2183","10621-1","931.836630305535",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
602,"13","56-3","419.838781286823","1129","1","STATIC",3,3,8
602,"72","57-1","281.458859724476","1129","3","STATIC",3,3,8
602,"286","10621-2","794.734956426297",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
602,"398","10621-1","202.931213374409","1129","1","STATIC",3,3,8
602,"482","10621-2","136.521482221679","1129","1","STATIC",3,3,8
602,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
602,"1042","10621-1","789.246039839749",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
602,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
602,"1597","10621-2","759.795650377755",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
602,"1993","10621-2","912.61407332081",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
602,"2001","10621-2","164.932442966035","1129","1","STATIC",3,3,8
602,"2149","10621-1","892.793235562391",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
603,"13","56-3","428.093276341108","1129","1","STATIC",3,3,8
603,"72","57-1","293.006594256695","1129","3","STATIC",3,3,8
603,"286","10621-2","813.425227321055",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
603,"398","10621-1","214.395107590224","1129","1","STATIC",3,3,8
603,"482","10621-2","148.43625870318","1129","1","STATIC",3,3,8
603,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
603,"1042","10621-1","798.365281958713",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
603,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
603,"1597","10621-2","779.372158825249",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
603,"1993","10621-1","928.352635178837",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
603,"2001","10621-2","184.006947253453","1129","1","STATIC",3,3,8
603,"2149","10621-1","915.011705408661",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
604,"13","56-3","436.54853828944","1129","1","STATIC",3,3,8
604,"72","57-1","304.554328788914","1129","3","STATIC",3,3,8
604,"286","10621-2","833.548106153441",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
604,"398","10621-1","226.120350147942","1129","1","STATIC",3,3,8
