sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
645,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
660,D,25,1.000000,10,15.000000,2,480.000000,41,6,0,2.321478
660,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
675,D,25,1.000000,10,15.000000,3,720.000000,41,4,1,3.157716
675,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
690,D,25,1.000000,10,15.000000,1,240.000000,40,5,0,3.104711
690,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
705,D,25,1.000000,10,15.000000,4,960.000000,41,3,1,2.917795
705,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
720,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,3.211125
720,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
735,D,25,1.000000,10,15.000000,4,960.000000,40,4,2,4.024104
735,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
750,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,2.912566
750,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
765,D,25,1.000000,10,15.000000,3,720.000000,42,4,1,3.409992
765,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
780,D,25,1.000000,10,15.000000,1,240.000000,40,6,0,2.689722
780,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
795,D,25,1.000000,10,15.000000,4,960.000000,40,4,1,2.991339
795,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
810,D,25,1.000000,10,15.000000,2,480.000000,41,6,0,2.522901
810,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
825,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,2.966299
825,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
840,D,25,1.000000,10,15.000000,2,480.000000,41,6,0,2.217278
840,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
855,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.214387
855,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
870,D,25,1.000000,10,15.000000,2,480.000000,39,6,0,2.905556
870,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
885,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,2.711396
885,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
900,D,25,1.000000,10,15.000000,3,720.000000,39,5,1,4.518975
900,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
