input_no,time_int,start_sec,before_vph,volume_vph
114,1-1,0,109.76,43.904
114,1-2,900,156.8,62.720000000000006
114,1-3,1800,164.64,65.856
114,1-4,2700,141.12,56.44800000000001
114,1-5,3600,109.76,43.904
114,1-6,4500,78.4,31.360000000000003
194,1-1,0,54.32,21.728
194,1-2,900,77.6,31.04
194,1-3,1800,81.48,32.592000000000006
194,1-4,2700,69.84,27.936000000000003
194,1-5,3600,54.32,21.728
194,1-6,4500,38.8,15.52
282,1-1,0,87.92,35.168
282,1-2,900,125.6,50.24
282,1-3,1800,131.88,52.752
282,1-4,2700,113.04,45.21600000000001
282,1-5,3600,87.92,35.168
282,1-6,4500,62.8,25.12
1013,1-1,0,585.76,234.304
1013,1-2,900,836.8,334.72
1013,1-3,1800,878.64,351.456
1013,1-4,2700,753.12,301.248
1013,1-5,3600,585.76,234.304
1013,1-6,4500,418.4,167.36
1023,1-1,0,416.08,166.43200000000002
1023,1-2,900,594.4,237.76
1023,1-3,1800,624.12,249.64800000000002
1023,1-4,2700,534.96,213.98400000000004
1023,1-5,3600,416.08,166.43200000000002
1023,1-6,4500,297.2,118.88
1032,1-1,0,1250.48,500.192
1032,1-2,900,1786.4,714.5600000000001
1032,1-3,1800,1875.72,750.288
1032,1-4,2700,1607.76,643.104
1032,1-5,3600,1250.48,500.192
1032,1-6,4500,893.2,357.28000000000003
1033,1-1,0,535.92,214.368
1033,1-2,900,765.6,306.24
1033,1-3,1800,803.88,321.552
1033,1-4,2700,689.04,275.616
1033,1-5,3600,535.92,214.368
1033,1-6,4500,382.8,153.12
1052,1-1,0,207.2,82.88
1052,1-2,900,296.0,118.4
1052,1-3,1800,310.8,124.32000000000001
1052,1-4,2700,266.4,106.56
1052,1-5,3600,207.2,82.88
1052,1-6,4500,148.0,59.2
1053,1-1,0,506.8,202.72000000000003
1053,1-2,900,724.0,289.6
1053,1-3,1800,760.2,304.08000000000004
1053,1-4,2700,651.6,260.64000000000004
1053,1-5,3600,506.8,202.72000000000003
1053,1-6,4500,362.0,144.8
1054,1-1,0,499.52,199.808
1054,1-2,900,713.6,285.44
1054,1-3,1800,749.28,299.712
1054,1-4,2700,642.24,256.896
1054,1-5,3600,499.52,199.808
1054,1-6,4500,356.8,142.72
1064,1-1,0,269.36,107.74400000000001
1064,1-2,900,384.8,153.92000000000002
1064,1-3,1800,404.04,161.616
1064,1-4,2700,346.32,138.528
1064,1-5,3600,269.36,107.74400000000001
1064,1-6,4500,192.4,76.96000000000001
1065,1-1,0,890.4,356.16
1065,1-2,900,1272.0,508.8
1065,1-3,1800,1335.6,534.24
1065,1-4,2700,1144.8,457.92
1065,1-5,3600,890.4,356.16
1065,1-6,4500,636.0,254.4
