sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,1,0,54.981484
10,10.000000,0,0.000000,0,11,0,61.653838
20,10.000000,0,0.000000,0,23,0,66.894666
30,10.000000,2,720.000000,0,37,0,68.357097
40,10.000000,7,2520.000000,1,41,1,65.682681
50,10.000000,8,2880.000000,8,49,3,59.115510
60,10.000000,6,2160.000000,9,61,4,54.114706
70,10.000000,22,7920.000000,15,55,2,62.032586
80,10.000000,15,5400.000000,34,48,1,64.206518
90,10.000000,19,6840.000000,42,55,3,61.174768
100,10.000000,10,3600.000000,48,56,2,58.697325
110,10.000000,24,8640.000000,47,69,4,55.471747
120,10.000000,16,5760.000000,52,64,6,49.798605
