sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,600.000000,1000.000000,10.000000,10.000000,120.000000,2,0,1,0,1,0,54.981484,55.611930,0
10,600.000000,1000.000000,10.000000,10.000000,120.000000,15,0,4,0,11,0,61.653838,83.183587,0
20,600.000000,1000.000000,10.000000,10.000000,120.000000,35,0,12,0,23,0,66.894666,92.051345,0
30,600.000000,1000.000000,10.000000,10.000000,120.000000,53,0,15,0,37,1,68.357097,108.717567,0
40,600.000000,1000.000000,10.000000,10.000000,120.000000,64,1,15,1,41,6,65.682681,116.994829,4
50,600.000000,1000.000000,10.000000,10.000000,120.000000,82,8,20,3,49,2,59.115510,109.074748,9
60,600.000000,1000.000000,10.000000,10.000000,120.000000,99,9,22,4,61,3,54.114706,115.165616,20
70,600.000000,1000.000000,10.000000,10.000000,120.000000,112,15,25,2,55,15,62.032586,111.573194,8
80,600.000000,1000.000000,10.000000,10.000000,120.000000,120,34,26,1,48,11,64.206518,113.204867,11
90,600.000000,1000.000000,10.000000,10.000000,120.000000,133,42,27,3,55,6,61.174768,116.191874,21
100,600.000000,1000.000000,10.000000,10.000000,120.000000,144,48,29,2,56,9,58.697325,105.861597,25
110,600.000000,1000.000000,10.000000,10.000000,120.000000,156,47,29,4,69,7,55.471747,112.556839,30
120,600.000000,1000.000000,10.000000,10.000000,120.000000,159,52,31,6,64,6,49.798605,113.825479,46
