freeway_percent,input_no,start_sec,end_sec,desired_vph,expected_vehicles,first_observed_insertions
80,1098,5400,7200,2639.8944,1319.9472,1302
80,1098,7200,9000,2639.8944,1319.9472,1298
80,1098,5400,9000,2639.8944,2639.8944,2600
90,1098,5400,7200,2969.8812,1484.9405999999997,1469
90,1098,7200,9000,2969.8812,1484.9405999999997,1473
90,1098,5400,9000,2969.8812,2969.8811999999994,2942
