freeway_percent,sec,vehicle,old_link,new_link,old_lane,new_lane,old_pos,new_pos,old_speed,new_speed
80,5399,23169,1220007101,1220007101,1,1,177.74,179.02,63.92,74.77
80,5399,23172,358,358,2,2,80.11,82.74,31.63,32.75
80,5400,15928,245,245,1,1,13.68,13.96,42.99,45.0
80,5400,16186,10401,10401,2,2,9.81,8.47,43.67,41.26
80,5400,16262,1220008302,1220008302,2,1,107.79,128.75,67.26,112.55
80,5400,22732,1210008202,1210008202,1,1,29.33,31.9,26.55,45.05
80,5400,22861,10385,10385,1,1,10.11,24.61,10.52,41.11
80,5400,22876,213,213,2,2,34.26,35.39,40.32,40.32
80,5400,23122,1220018202,1220018202,1,1,104.6,110.93,41.73,45.23
80,5400,23166,1220007101,10588,1,1,208.86,10.86,41.76,77.13
80,5400,23169,1220007101,1220007101,1,1,193.79,199.88,51.64,75.47
80,5400,23172,358,358,2,2,88.9,91.69,31.63,31.63
90,5383,24351,1210012001,1210012001,2,2,10.35,10.36,12.54,12.6
90,5384,24333,1220008202,1220008202,1,1,35.49,35.58,44.36,45.05
90,5384,24351,10367,10367,2,2,3.3,3.36,23.63,23.91
90,5385,24333,1220008202,1220008202,1,1,47.81,48.19,44.36,45.74
90,5385,24351,10367,10367,2,2,11.19,11.38,33.19,33.86
90,5386,24333,1220008202,1220008202,1,1,60.13,60.99,44.36,46.43
90,5386,24351,10367,10367,2,2,21.6,22.04,41.72,42.87
90,5387,24333,1220008202,1220008202,1,1,72.45,73.99,44.36,47.12
90,5387,24351,10367,1220008203,2,2,33.3,0.88,42.53,43.67
90,5388,24333,1220008202,1220008202,1,1,84.77,86.98,44.36,46.43
90,5388,24351,1220008203,1220008203,2,2,12.04,13.12,43.33,44.48
90,5389,24333,1220008202,1220008202,1,1,97.1,99.78,44.36,45.74
90,5389,24351,1220008203,1220008203,2,2,24.09,25.59,43.44,45.29
90,5390,24333,1220008202,1220008202,1,1,109.42,112.39,44.36,45.05
90,5390,24351,1220008203,1220008203,2,2,36.16,38.28,43.44,46.1
90,5391,24333,1220008202,1220008202,1,1,121.74,124.81,44.36,44.36
90,5391,24351,1220008203,1220008203,2,2,48.23,50.97,43.44,45.29
90,5392,24333,1220008202,1220008202,1,1,134.06,137.04,44.36,43.67
90,5392,24351,1220008203,1220008203,2,2,60.29,63.44,43.44,44.48
90,5393,24333,1220008202,1220008202,1,1,146.39,149.07,44.36,42.98
90,5393,24351,1220008203,10379,2,2,72.36,2.35,43.44,43.67
90,5394,21617,10401,10401,2,2,6.18,6.18,96.09,96.12
90,5394,24333,1220008202,1220008202,1,1,158.71,160.91,44.36,42.29
90,5394,24351,10379,10379,2,2,11.09,14.37,43.44,42.87
90,5395,21007,245,245,2,2,20.56,20.69,93.05,93.98
90,5395,21617,10408,10408,2,2,13.85,13.86,100.21,100.26
90,5395,24333,10403,10403,1,1,6.02,7.55,44.36,41.6
90,5395,24351,1210008203,1210008203,2,2,4.35,7.35,43.44,42.06
90,5396,21007,255,255,2,2,0.3,0.82,93.05,94.92
90,5396,21617,1220008302,1220008302,2,2,25.21,25.24,97.8,97.85
90,5396,24333,254,254,1,1,2.72,3.58,44.36,42.29
90,5396,24351,1210008203,1210008203,2,2,16.41,18.93,43.44,41.25
90,5397,21007,1220008302,1220008302,2,2,3.37,4.54,93.05,95.86
90,5397,21617,1220008302,1220008302,2,2,52.05,52.09,95.39,95.43
90,5397,24333,10402,10402,1,1,6.06,6.44,44.36,42.98
90,5397,24351,1210008203,1210008203,2,2,28.48,30.5,43.44,42.06
90,5398,21007,1220008302,1220008302,2,2,29.22,31.04,93.05,94.92
90,5398,21617,1220008302,1220008302,2,2,77.02,78.26,84.41,93.02
90,5398,24333,1210008202,1210008202,1,1,7.38,7.48,44.36,43.67
90,5398,24351,10385,10385,1,1,1.64,3.27,44.25,42.87
90,5399,21007,1220008302,1220008302,2,2,54.81,57.13,91.22,92.94
90,5399,21617,1220008302,1220008302,2,2,98.95,104.7,73.52,97.32
90,5399,24351,10385,10385,1,1,14.04,15.29,45.05,43.67
90,5400,16107,1220008302,1220008302,1,1,36.49,37.01,102.62,106.41
90,5400,21007,1220008302,1220008302,2,2,78.63,82.68,80.32,90.96
90,5400,21617,1220008302,1220008302,2,2,117.87,132.29,62.74,101.36
90,5400,24333,1210008202,1210008202,1,1,29.52,32.12,26.29,45.05
90,5400,24351,10385,10385,1,1,26.67,27.53,45.86,44.48
