freeway_percent,sec,vehicle,old_link,new_link,old_lane,new_lane,old_pos,new_pos,old_speed,new_speed
80,5384,22732,1220008202,1220008202,1,1,35.26,35.36,44.36,45.05
80,5385,22732,1220008202,1220008202,1,1,47.59,47.97,44.36,45.74
80,5386,22732,1220008202,1220008202,1,1,59.91,60.77,44.36,46.43
80,5387,22732,1220008202,1220008202,1,1,72.23,73.77,44.36,47.12
80,5387,22861,1220008203,1220008203,2,2,0.94,1.06,42.75,43.57
80,5388,22732,1220008202,1220008202,1,1,84.55,86.76,44.36,46.43
80,5388,22861,1220008203,1220008203,2,2,12.82,13.27,42.75,44.39
80,5389,22732,1220008202,1220008202,1,1,96.88,99.56,44.36,45.74
80,5389,22861,1220008203,1220008203,2,2,24.69,25.49,42.75,43.57
80,5389,22876,1220012003,1220012003,2,2,50.61,50.71,40.58,41.31
80,5390,22732,1220008202,1220008202,1,1,109.2,112.17,44.36,45.05
80,5390,22861,1220008203,1220008203,2,2,36.57,37.48,42.75,42.75
80,5390,22876,1220012003,1220012003,2,2,61.83,62.24,40.22,41.67
80,5391,22732,1220008202,1220008202,1,1,121.52,124.59,44.36,44.36
80,5391,22861,1220008203,1220008203,2,2,48.44,49.24,42.75,41.93
80,5391,22876,1220012003,1220012003,2,2,73.02,73.76,40.32,41.31
80,5392,22732,1220008202,1220008202,1,1,133.84,136.82,44.36,43.67
80,5392,22861,1220008203,1220008203,2,2,60.32,60.77,42.75,41.11
80,5392,22876,1220012003,1220012003,2,2,84.22,85.19,40.32,40.95
80,5393,22732,1220008202,1220008202,1,1,146.17,148.85,44.36,42.98
80,5393,22861,1220008203,1220008203,2,2,72.19,72.31,42.75,41.93
80,5393,22876,1220012003,1220012003,2,2,95.42,96.51,40.32,40.58
80,5394,16262,245,245,1,1,27.36,27.36,90.95,90.95
80,5394,22732,1220008202,1220008202,1,1,158.49,160.69,44.36,42.29
80,5394,22876,1220012003,1220012003,2,2,106.62,107.75,40.32,40.32
80,5394,23122,1220018202,1220018202,1,1,33.93,34.09,44.06,45.23
80,5395,16262,10408,10408,2,1,0.44,0.44,94.98,94.98
80,5395,22732,10403,10403,1,1,5.8,7.33,44.36,41.6
80,5395,22861,1210008203,1210008203,2,2,3.8,3.91,42.75,43.57
80,5395,22876,10345,10345,2,2,4.76,5.89,40.32,40.32
80,5395,23122,1220018202,1220018202,1,1,46.08,46.73,43.48,45.81
80,5395,23172,358,358,2,2,44.97,45.12,31.63,32.75
80,5396,16262,1220008302,1220008302,2,1,11.22,11.22,98.78,98.78
80,5396,22732,254,254,1,1,2.5,3.36,44.36,42.29
80,5396,22861,1210008203,1210008203,2,2,15.67,16.13,42.75,44.39
80,5396,22876,10345,10345,2,2,15.96,17.09,40.32,40.32
80,5396,23122,1220018202,1220018202,1,1,58.08,59.54,42.89,46.4
80,5396,23172,358,358,2,2,53.75,54.37,31.63,33.86
80,5397,16186,245,245,2,2,6.57,6.48,43.67,43.07
80,5397,16262,1220008302,1220008302,2,1,38.65,39.15,98.78,102.38
80,5397,22732,10402,10402,1,1,5.84,6.22,44.36,42.98
80,5397,22861,1210008203,1210008203,2,2,27.55,28.35,42.75,43.57
80,5397,22876,10345,213,2,2,27.16,1.79,40.32,40.32
80,5397,23122,1220018202,1220018202,1,1,69.91,72.51,42.31,46.98
80,5397,23166,1220007101,1220007101,1,1,160.02,160.11,75.74,76.44
80,5397,23172,358,358,2,2,62.54,63.93,31.63,34.97
80,5398,16186,245,245,2,2,18.7,18.36,43.67,42.47
80,5398,16262,1220008302,1220008302,2,1,64.62,68.07,88.19,105.85
80,5398,22732,1210008202,1210008202,1,1,7.16,7.26,44.36,43.67
80,5398,22861,1210008203,10385,2,1,37.79,1.31,31.01,42.75
80,5398,22876,213,213,2,2,11.86,12.99,40.32,40.32
80,5398,23122,1220018202,1220018202,1,1,81.59,85.48,41.73,46.4
80,5398,23166,1220007101,1220007101,1,1,179.46,181.44,64.21,77.13
80,5398,23169,1220007101,1220007101,1,1,158.25,158.13,76.44,75.61
80,5398,23172,358,358,2,2,71.33,73.49,31.63,33.86
80,5399,16186,245,245,2,2,30.83,30.08,43.67,41.86
80,5399,16262,1220008302,1220008302,2,1,87.66,97.95,77.68,109.24
80,5399,22861,10385,10385,1,1,5.86,13.07,20.05,41.93
80,5399,22876,213,213,2,2,23.06,24.19,40.32,40.32
80,5399,23122,1220018202,1220018202,1,1,93.1,98.29,41.14,45.81
80,5399,23166,1220007101,1220007101,1,1,195.72,202.87,52.86,77.13
