freeway_percent,sim_sec,direction,stock_at_checkpoint,stopped_at_checkpoint,slow60_cell_count,slow60_cells,minimum60_speed_kph,omega_stock
80,5400,E,874,206,5,"4,5,6,7,8",10.358156452644073,1911
80,5400,W,204,0,0,,83.79030050855292,1911
80,7200,E,209,0,0,,78.41962962962961,1087
80,7200,W,264,0,0,,83.03490932642484,1087
80,9000,E,193,0,0,,81.49197713021027,879
80,9000,W,195,0,0,,83.45922648083622,879
90,5400,E,1587,445,10,"1,2,3,4,5,6,7,8,12,13",8.617063015591931,2917
90,5400,W,409,4,0,,37.11448761473659,2917
90,7200,E,740,141,5,"5,6,7,12,13",13.567384038731843,1786
90,7200,W,216,0,0,,75.86334089191233,1786
90,9000,E,224,0,0,,79.92850682995758,1157
90,9000,W,250,0,0,,82.11958691206543,1157
