window_sec,start_sec,end_sec,minute,direction,cell,n_veh,k_veh_km_lane,q_veh_h_lane,speed_kph,freeway_percent
60,0,60,0.5,E,0,13.466666666666669,6.555993703649611,534.4125164305535,81.51510519801981,70
60,0,60,0.5,E,1,5.225,2.5436931016016744,301.2557405514175,118.43242424242426,70
60,0,60,0.5,E,2,2.5166666666666666,1.225191892637489,152.76232088668186,124.68440397350992,70
60,0,60,0.5,E,3,0.3416666666666667,0.1663336747636276,21.265679180151864,127.84951219512196,70
60,0,60,0.5,E,4,0.0,0.0,0.0,,70
60,0,60,0.5,E,5,0.0,0.0,0.0,,70
60,0,60,0.5,E,6,0.0,0.0,0.0,,70
60,0,60,0.5,E,7,0.0,0.0,0.0,,70
60,0,60,0.5,E,8,0.0,0.0,0.0,,70
60,0,60,0.5,E,9,0.0,0.0,0.0,,70
60,0,60,0.5,E,10,0.0,0.0,0.0,,70
60,0,60,0.5,E,11,0.0,0.0,0.0,,70
60,0,60,0.5,E,12,0.0,0.0,0.0,,70
60,0,60,0.5,E,13,0.0,0.0,0.0,,70
60,0,60,0.5,E,14,0.0,0.0,0.0,,70
60,0,60,0.5,E,15,0.0,0.0,0.0,,70
60,0,60,0.5,E,16,0.0,0.0,0.0,,70
60,0,60,0.5,E,17,0.0,0.0,0.0,,70
60,0,60,0.5,E,18,0.0,0.0,0.0,,70
60,0,60,0.5,E,19,0.0,0.0,0.0,,70
60,0,60,0.5,E,20,0.0,0.0,0.0,,70
60,0,60,0.5,W,0,12.566666666666666,8.159796961741808,695.968346048115,85.29236074270555,70
60,0,60,0.5,W,1,6.166666666666667,4.004144397671709,482.06689821443297,120.39198648648647,70
60,0,60,0.5,W,2,4.033333333333333,2.618926876315009,321.38231505776906,122.71526859504137,70
60,0,60,0.5,W,3,0.6916666666666667,0.4491126183979902,56.379920705108965,125.536265060241,70
60,0,60,0.5,W,4,0.0,0.0,0.0,,70
60,0,60,0.5,W,5,0.0,0.0,0.0,,70
60,0,60,0.5,W,6,0.0,0.0,0.0,,70
60,0,60,0.5,W,7,0.0,0.0,0.0,,70
60,0,60,0.5,W,8,0.0,0.0,0.0,,70
60,0,60,0.5,W,9,0.0,0.0,0.0,,70
60,0,60,0.5,W,10,0.0,0.0,0.0,,70
60,0,60,0.5,W,11,0.0,0.0,0.0,,70
60,0,60,0.5,W,12,0.0,0.0,0.0,,70
60,0,60,0.5,W,13,0.0,0.0,0.0,,70
60,0,60,0.5,W,14,0.0,0.0,0.0,,70
60,0,60,0.5,W,15,0.0,0.0,0.0,,70
60,0,60,0.5,W,16,0.0,0.0,0.0,,70
60,0,60,0.5,W,17,0.0,0.0,0.0,,70
60,0,60,0.5,W,18,0.0,0.0,0.0,,70
60,0,60,0.5,W,19,0.0,0.0,0.0,,70
60,0,60,0.5,W,20,0.0,0.0,0.0,,70
60,60,120,1.5,E,0,19.141666666666666,9.318760852279182,766.3204891030945,82.23416195037004,70
60,60,120,1.5,E,1,13.466666666666669,6.555993703649611,753.7139542054102,114.9656311881188,70
60,60,120,1.5,E,2,12.141666666666667,5.910942342956362,699.3483764178959,118.31419354838712,70
60,60,120,1.5,E,3,10.891666666666667,5.302392997952716,645.2079187162225,121.68240244835508,70
60,60,120,1.5,E,4,7.966666666666667,3.878422017753111,474.3515408207973,122.30529288702928,70
60,60,120,1.5,E,5,4.833333333333333,2.353017540439569,292.41159935235817,124.27089655172416,70
60,60,120,1.5,E,6,2.325,1.131882576310793,143.64170033915906,126.90512544802868,70
60,60,120,1.5,E,7,0.6333333333333333,0.3083264365577786,41.4792366486539,134.53026315789475,70
60,60,120,1.5,E,8,0.0416666666666666,0.0202846339840644,2.835386138292523,139.78000000000003,70
60,60,120,1.5,E,9,0.0,0.0,0.0,,70
60,60,120,1.5,E,10,0.0,0.0,0.0,,70
60,60,120,1.5,E,11,0.0,0.0,0.0,,70
60,60,120,1.5,E,12,0.0,0.0,0.0,,70
60,60,120,1.5,E,13,0.0,0.0,0.0,,70
60,60,120,1.5,E,14,0.0,0.0,0.0,,70
