freeway_percent,urban_percent,direction,max_density_veh_km_lane,max_observed_flow_veh_h_lane,min_occupied_cell_speed_kph,slow_cell_minutes,affected_slow_cells,first_slow_start_sec,last_slow_end_sec,final_slow_cells,omega_ttt_veh_h,omega_ttd_events,native_removals,unknown_inside_disappearances,unfinished_input_event_count,unfinished_input_vehicles,unfinished_input_events_json,omega_end_vehicles
70,50,E,86.8588027197637,1404.118916638268,9.514143390938816,105,"6,7,8,9",2340.0,5160.0,0,2278.256805555557,18684,127,206,0,0,[],1065
70,50,W,26.55175443950528,1863.349698379707,57.51773511293634,0,,,,0,2278.256805555557,18684,127,206,0,0,[],1065
80,50,E,102.63619103256896,1561.4522986547229,6.845609371206604,294,"3,4,5,6,7,8,9,13",1800.0,5400.0,5,3021.8454166666706,19414,115,213,0,0,[],1911
80,50,W,58.15737858483854,2010.045099652332,23.56700223297357,11,"3,4",3240.0,3900.0,0,3021.8454166666706,19414,115,213,0,0,[],1911
90,50,E,103.79221305250366,1782.2825081544224,7.181640296414984,482,"0,1,2,3,4,5,6,7,8,9,12,13",1680.0,5400.0,10,3722.483749999993,20063,119,235,0,0,[],2917
90,50,W,71.39281240929802,2026.443910702818,17.974164771866,59,"0,1,2,3,4",1320.0,5220.0,0,3722.483749999993,20063,119,235,0,0,[],2917
