case,start_sec,end_sec,freeway_vph,urban_vph,urban_unchanged
fw080_urban050,0,900,7391.704320000001,6373.62,True
fw080_urban050,900,1800,10559.5776,9104.6,True
fw080_urban050,1800,2700,11087.556480000001,9560.18,True
fw080_urban050,2700,3600,9503.619840000001,8194.44,True
fw080_urban050,3600,4500,7391.704320000001,6373.62,True
fw080_urban050,4500,5400,5279.7888,4552.8,True
fw090_urban050,0,900,8315.66736,6373.62,True
fw090_urban050,900,1800,11879.5248,9104.6,True
fw090_urban050,1800,2700,12473.501040000001,9560.18,True
fw090_urban050,2700,3600,10691.572320000001,8194.44,True
fw090_urban050,3600,4500,8315.66736,6373.62,True
fw090_urban050,4500,5400,5939.7624,4552.8,True
