t_start,kind,key,veh_h
0,mainline,FW_E,4152.0
0,mainline,FW_W,4320.0
0,ramp,R_D_E,48.0
0,ramp,R_D_W,48.0
0,ramp,R_F_E,0.0
0,ramp,R_F_W,0.0
150,mainline,FW_E,4872.0
150,mainline,FW_W,4248.0
150,ramp,R_D_E,720.0
150,ramp,R_D_W,816.0
150,ramp,R_F_E,120.0
150,ramp,R_F_W,288.0
300,mainline,FW_E,4392.0
300,mainline,FW_W,5160.0
300,ramp,R_D_E,600.0
300,ramp,R_D_W,744.0
300,ramp,R_F_E,408.0
300,ramp,R_F_W,792.0
450,mainline,FW_E,4128.0
450,mainline,FW_W,4824.0
450,ramp,R_D_E,768.0
450,ramp,R_D_W,696.0
450,ramp,R_F_E,264.0
450,ramp,R_F_W,1176.0
600,mainline,FW_E,4584.0
600,mainline,FW_W,4920.0
600,ramp,R_D_E,624.0
600,ramp,R_D_W,912.0
600,ramp,R_F_E,408.0
600,ramp,R_F_W,1248.0
750,mainline,FW_E,4776.0
750,mainline,FW_W,5400.0
750,ramp,R_D_E,696.0
750,ramp,R_D_W,984.0
750,ramp,R_F_E,432.0
750,ramp,R_F_W,1416.0
900,mainline,FW_E,6000.0
900,mainline,FW_W,5520.0
900,ramp,R_D_E,576.0
900,ramp,R_D_W,984.0
900,ramp,R_F_E,360.0
900,ramp,R_F_W,1104.0
1050,mainline,FW_E,6216.0
1050,mainline,FW_W,5496.0
1050,ramp,R_D_E,960.0
1050,ramp,R_D_W,984.0
1050,ramp,R_F_E,408.0
1050,ramp,R_F_W,1704.0
1200,mainline,FW_E,6600.0
1200,mainline,FW_W,5592.0
1200,ramp,R_D_E,1272.0
1200,ramp,R_D_W,1368.0
1200,ramp,R_F_E,600.0
1200,ramp,R_F_W,1776.0
1350,mainline,FW_E,6408.0
1350,mainline,FW_W,5544.0
1350,ramp,R_D_E,960.0
1350,ramp,R_D_W,984.0
1350,ramp,R_F_E,456.0
1350,ramp,R_F_W,1776.0
1500,mainline,FW_E,6576.0
1500,mainline,FW_W,5472.0
1500,ramp,R_D_E,1080.0
1500,ramp,R_D_W,1104.0
1500,ramp,R_F_E,576.0
1500,ramp,R_F_W,1944.0
1650,mainline,FW_E,7128.0
1650,mainline,FW_W,5400.0
1650,ramp,R_D_E,1128.0
1650,ramp,R_D_W,888.0
1650,ramp,R_F_E,528.0
1650,ramp,R_F_W,2184.0
1800,mainline,FW_E,7176.0
1800,mainline,FW_W,5304.0
1800,ramp,R_D_E,888.0
1800,ramp,R_D_W,1344.0
1800,ramp,R_F_E,600.0
1800,ramp,R_F_W,1728.0
1950,mainline,FW_E,6936.0
1950,mainline,FW_W,4464.0
1950,ramp,R_D_E,1224.0
1950,ramp,R_D_W,1200.0
1950,ramp,R_F_E,696.0
1950,ramp,R_F_W,2016.0
2100,mainline,FW_E,6576.0
2100,mainline,FW_W,4680.0
2100,ramp,R_D_E,1080.0
2100,ramp,R_D_W,1440.0
2100,ramp,R_F_E,504.0
2100,ramp,R_F_W,1824.0
2250,mainline,FW_E,6624.0
2250,mainline,FW_W,5328.0
2250,ramp,R_D_E,984.0
2250,ramp,R_D_W,1200.0
2250,ramp,R_F_E,792.0
2250,ramp,R_F_W,2064.0
2400,mainline,FW_E,6552.0
2400,mainline,FW_W,4488.0
2400,ramp,R_D_E,1248.0
2400,ramp,R_D_W,1104.0
2400,ramp,R_F_E,456.0
2400,ramp,R_F_W,1848.0
2550,mainline,FW_E,6360.0
2550,mainline,FW_W,4800.0
2550,ramp,R_D_E,1080.0
2550,ramp,R_D_W,1440.0
2550,ramp,R_F_E,624.0
2550,ramp,R_F_W,2088.0
2700,mainline,FW_E,5472.0
2700,mainline,FW_W,5040.0
2700,ramp,R_D_E,1152.0
2700,ramp,R_D_W,1344.0
2700,ramp,R_F_E,696.0
2700,ramp,R_F_W,1920.0
2850,mainline,FW_E,3576.0
2850,mainline,FW_W,4872.0
2850,ramp,R_D_E,1128.0
2850,ramp,R_D_W,1272.0
2850,ramp,R_F_E,504.0
2850,ramp,R_F_W,1896.0
3000,mainline,FW_E,3912.0
3000,mainline,FW_W,4512.0
3000,ramp,R_D_E,1056.0
3000,ramp,R_D_W,1032.0
3000,ramp,R_F_E,288.0
3000,ramp,R_F_W,2256.0
3150,mainline,FW_E,3480.0
3150,mainline,FW_W,4992.0
3150,ramp,R_D_E,984.0
3150,ramp,R_D_W,1200.0
3150,ramp,R_F_E,480.0
3150,ramp,R_F_W,1752.0
3300,mainline,FW_E,3552.0
3300,mainline,FW_W,4992.0
3300,ramp,R_D_E,768.0
3300,ramp,R_D_W,888.0
3300,ramp,R_F_E,528.0
3300,ramp,R_F_W,1704.0
3450,mainline,FW_E,3072.0
3450,mainline,FW_W,4536.0
3450,ramp,R_D_E,1248.0
3450,ramp,R_D_W,936.0
3450,ramp,R_F_E,360.0
3450,ramp,R_F_W,1608.0
3600,mainline,FW_E,2784.0
3600,mainline,FW_W,4056.0
3600,ramp,R_D_E,648.0
3600,ramp,R_D_W,1344.0
3600,ramp,R_F_E,384.0
3600,ramp,R_F_W,2160.0
3750,mainline,FW_E,2976.0
3750,mainline,FW_W,4512.0
3750,ramp,R_D_E,864.0
3750,ramp,R_D_W,936.0
3750,ramp,R_F_E,384.0
3750,ramp,R_F_W,1440.0
