tuning_name,demand_profile,group,case_count,mean_primary_rank_key,max_primary_rank_key,mean_vehicle_hours_total,max_vehicle_hours_total,mean_vehicle_hours_freeway,max_vehicle_hours_freeway,mean_vehicle_hours_urban,max_vehicle_hours_urban,mean_stopped_vehicle_hours,max_stopped_vehicle_hours,mean_mean_total_vehicles,max_mean_total_vehicles,mean_mean_speed_kph,max_mean_speed_kph,mean_freeway_mean_speed_kph,max_freeway_mean_speed_kph,mean_mean_decision_wall_sec,max_mean_decision_wall_sec,mean_vsl_mean_abs_step_kph,max_vsl_mean_abs_step_kph,mean_ramp_green_abs_step_sec,max_ramp_green_abs_step_sec,mean_signal_green_abs_step_sec,max_signal_green_abs_step_sec,mean_mean_vsl_kph,max_mean_vsl_kph,mean_mean_ramp_green_sec,max_mean_ramp_green_sec,mean_mean_signal_green_sec,max_mean_signal_green_sec,fallback_rows_total,seeds,rank
04_smooth_low,urban_d_heavy,04_smooth_low / urban_d_heavy,1,58.3969,58.3969,53.7875,53.7875,9.598611111111111,9.598611111111111,11.020833333333334,11.020833333333334,18.4,18.4,790.3469387755102,790.3469387755102,39.7944508367347,39.7944508367347,92.24430053061225,92.24430053061225,3.2609689180327868,3.2609689180327868,0.0,0.0,0.9,0.9,0.2,0.2,120.0,120.0,8.5,8.5,56.36666666666667,56.36666666666667,0,13,1
08_mfd_strong,urban_d_heavy,08_mfd_strong / urban_d_heavy,1,58.3969,58.3969,53.7875,53.7875,9.598611111111111,9.598611111111111,11.020833333333334,11.020833333333334,18.4,18.4,790.3469387755102,790.3469387755102,39.7944508367347,39.7944508367347,92.24430053061225,92.24430053061225,3.2157878032786886,3.2157878032786886,0.0,0.0,0.9,0.9,0.2,0.2,120.0,120.0,8.5,8.5,56.36666666666667,56.36666666666667,0,13,2
00_calibrated_base,urban_d_heavy,00_calibrated_base / urban_d_heavy,1,58.49668777777778,58.49668777777778,53.67777777777778,53.67777777777778,9.57638888888889,9.57638888888889,10.265277777777778,10.265277777777778,19.275,19.275,788.734693877551,788.734693877551,39.497997020408164,39.497997020408164,92.2373072244898,92.2373072244898,3.2437974098360653,3.2437974098360653,0.0,0.0,0.0,0.0,0.07999999999999971,0.07999999999999971,120.0,120.0,5.5,5.5,56.46666666666667,56.46666666666667,0,13,3
05_activation_early,urban_d_heavy,05_activation_early / urban_d_heavy,1,58.49668777777778,58.49668777777778,53.67777777777778,53.67777777777778,9.57638888888889,9.57638888888889,10.265277777777778,10.265277777777778,19.275,19.275,788.734693877551,788.734693877551,39.497997020408164,39.497997020408164,92.2373072244898,92.2373072244898,3.2242679836065573,3.2242679836065573,0.0,0.0,0.0,0.0,0.07999999999999971,0.07999999999999971,120.0,120.0,5.5,5.5,56.46666666666667,56.46666666666667,0,13,4
07_boundary_queue_priority,urban_d_heavy,07_boundary_queue_priority / urban_d_heavy,1,58.522035,58.522035,53.78888888888889,53.78888888888889,9.606944444444444,9.606944444444444,10.659722222222221,10.659722222222221,18.931944444444444,18.931944444444444,790.3673469387755,790.3673469387755,39.72873126530612,39.72873126530612,92.20666916326532,92.20666916326532,3.1645888032786886,3.1645888032786886,0.0,0.0,0.0,0.0,0.07999999999999971,0.07999999999999971,120.0,120.0,10.0,10.0,56.46666666666667,56.46666666666667,0,13,5
07_boundary_queue_priority,sym,07_boundary_queue_priority / sym,1,73.30884055555555,73.30884055555555,66.49583333333334,66.49583333333334,9.609722222222222,9.609722222222222,12.434722222222222,12.434722222222222,27.25138888888889,27.25138888888889,977.0816326530612,977.0816326530612,34.58457987755102,34.58457987755102,92.24485267346938,92.24485267346938,3.125257786885246,3.125257786885246,0.0,0.0,0.0,0.0,0.07999999999999971,0.07999999999999971,120.0,120.0,10.0,10.0,56.46666666666667,56.46666666666667,0,13,6
08_mfd_strong,sym,08_mfd_strong / sym,1,73.35114666666666,73.35114666666666,66.5,66.5,9.598611111111111,9.598611111111111,12.818055555555556,12.818055555555556,27.366666666666667,27.366666666666667,977.1428571428571,977.1428571428571,34.33817304081633,34.33817304081633,92.28523624489796,92.28523624489796,3.106459163934426,3.106459163934426,0.0,0.0,0.9,0.9,0.23999999999999916,0.23999999999999916,120.0,120.0,8.5,8.5,56.4,56.4,0,13,7
00_calibrated_base,sym,00_calibrated_base / sym,1,73.39182666666667,73.39182666666667,66.48194444444445,66.48194444444445,9.584722222222222,9.584722222222222,12.206944444444444,12.206944444444444,27.63888888888889,27.63888888888889,976.8775510204082,976.8775510204082,34.382081673469386,34.382081673469386,92.44074767346939,92.44074767346939,3.0137899180327867,3.0137899180327867,0.0,0.0,0.0,0.0,0.07999999999999971,0.07999999999999971,120.0,120.0,5.5,5.5,56.46666666666667,56.46666666666667,0,13,8
05_activation_early,sym,05_activation_early / sym,1,73.39182666666667,73.39182666666667,66.48194444444445,66.48194444444445,9.584722222222222,9.584722222222222,12.206944444444444,12.206944444444444,27.63888888888889,27.63888888888889,976.8775510204082,976.8775510204082,34.382081673469386,34.382081673469386,92.44074767346939,92.44074767346939,3.209147868852459,3.209147868852459,0.0,0.0,0.0,0.0,0.07999999999999971,0.07999999999999971,120.0,120.0,5.5,5.5,56.46666666666667,56.46666666666667,0,13,9
04_smooth_low,sym,04_smooth_low / sym,1,73.72475777777777,73.72475777777777,66.82916666666667,66.82916666666667,9.602777777777778,9.602777777777778,13.23611111111111,13.23611111111111,27.544444444444444,27.544444444444444,981.9795918367347,981.9795918367347,34.25492432653061,34.25492432653061,92.24895073469388,92.24895073469388,3.204572131147541,3.204572131147541,0.0,0.0,0.9,0.9,0.23999999999999916,0.23999999999999916,120.0,120.0,8.5,8.5,56.4,56.4,0,13,10
