ramp,road,initial_connector_veh,initial_before_head_veh,arrival_vph,observed_merge_vph,g8_nominal_service_vph,original_merge_capacity_vph,travel_speed_kmh
RM_C10480,FW_W,2,1,336.0,312.0,1166.4,1800.0,44.95610336635721
RM_C10482,FW_W,22,17,2376.0,2568.0,2332.8,3600.0,47.59825892194068
RM_C10646,FW_W,2,0,240.0,312.0,1166.4,1800.0,47.50544602638539
RM_C10644,FW_W,13,13,504.0,624.0,1166.4,1800.0,43.33538630541424
RM_C10639,FW_E,0,0,504.0,720.0,1166.4,1800.0,42.01201184589731
RM_C10681,FW_E,57,38,1176.0,1272.0,2332.8,3600.0,45.00176424451833
RM_C10490,FW_E,8,8,768.0,768.0,1166.4,1800.0,44.20557489174992
RM_C10484,FW_E,10,7,720.0,672.0,1166.4,1800.0,48.77198412386377
