family,ramp,before_merges150,after_merges150,actual_merges150,before_merges450,after_merges450,actual_merges450,restricted_merges450,delta_J,delta_mainline,delta_ramp_wait
boundary,RM_C10482,73.0,93.93999999999969,88.0,223.0,291.9400000000002,289.0,209.5480000000002,0.3502879283908271,-2.4885276736222863,2.877977777777785
boundary,RM_C10681,75.0,94.24000000000015,42.0,192.23999999999768,192.23999999999776,152.0,185.90666666666664,0.0018940617746352473,-0.2552406029905683,0.2572768518518398
hadi,RM_C10482,73.0,93.93999999999969,88.0,223.0,291.9400000000002,289.0,209.5480000000002,0.7031861268343391,-2.119299246714263,2.877977777777785
hadi,RM_C10681,75.0,94.24000000000015,42.0,192.23999999999768,192.23999999999776,152.0,185.90666666666664,0.032196534075751515,-0.23249050199808607,0.2572768518518398
wang,RM_C10482,73.0,93.93999999999969,88.0,223.0,291.9400000000002,289.0,209.5480000000002,0.7388833593913091,-2.0829104228016604,2.877977777777785
wang,RM_C10681,75.0,94.24000000000015,42.0,192.23999999999768,192.23999999999776,152.0,185.90666666666664,-0.006412656725103716,-0.27973828958454305,0.2572768518518398
