candidate,score_relative_to_base,internal_storage_fraction,offramp_storage_fraction,total_model_vehicles,total_model_vehicles_delta_pct_vs_base,protected_accumulation_veh,protected_accumulation_veh_delta_pct_vs_base,urban_queue_plus_link_occupancy_total_veh,urban_queue_plus_link_occupancy_total_veh_delta_pct_vs_base,urban_link_occupancy_total_veh,urban_link_occupancy_total_veh_delta_pct_vs_base,urban_movement_queue_total_veh,urban_movement_queue_total_veh_delta_pct_vs_base,freeway_total_veh,freeway_total_veh_delta_pct_vs_base
int070_off035,0.9399517403667277,0.7,0.35,45.93004587487001,8.410522809785265,49.664984932298765,-1.7683041920785467,51.92857465232899,2.277274106620471,75.90562268059975,-31.419735923536784,73.88503086419755,-30.1279740578532,14.340391099173,-0.5098867689968635
int070_off050,0.9464466012212133,0.7,0.5,45.78175072888329,8.060495850300553,51.12317066227739,1.1158214601082186,52.07290538839197,2.5615444597575743,73.96272052025675,-33.17513609714091,74.37669753086422,-29.663011863395088,14.346105169493189,-0.47024395177982015
int060_off035,0.9500650887232001,0.6,0.35,44.62389991190064,5.327574295055503,49.372226653323644,-2.347346796133227,51.24356704708052,0.928099570708662,86.23188492604046,-22.090021381900662,81.70447530864199,-22.733236332431915,14.350807328283935,-0.4376215283545314
int070_off065,0.9540928201978738,0.7,0.65,45.6607083952974,7.774794793046822,52.82664288449963,4.485095917327585,52.19151157947098,2.795148366603611,71.89718975496122,-35.04133046245281,74.7204475308642,-29.337932363032444,14.353404359046555,-0.4196039664309639
int060_off050,0.9562021525688268,0.6,0.5,44.47560562861003,4.977549371826919,50.94837772315584,0.7701008916118051,51.387897769325946,1.2123698966310408,84.28898275205246,-23.84542156783296,81.07762345679014,-23.326041239490554,14.356520522262917,-0.3979847909776538
int070_off080,0.9618597791163567,0.7,0.8,45.50609622973712,7.409857519811614,54.49469841072484,7.784320174945678,52.345926890365455,3.099281056251863,69.95312882821466,-36.79777757438841,75.22114197530865,-28.864432727150668,14.36223222330171,-0.35835841125332896
int050_off035,0.9622037794821496,0.5,0.35,43.255379565485185,2.097401030371225,48.88984611664597,-3.3014406754966554,50.9868120556533,0.42240110291398547,96.2500871969776,-13.038637135923171,91.37839506172841,-13.584747605503072,14.36898453767921,-0.31151251163015875
int060_off065,0.9635859399342162,0.6,0.65,44.354564327309724,4.691850751118098,52.65184994537805,4.1393753488311145,51.50650394202392,1.445973767274228,82.34914641304988,-25.598051790678337,80.96373456790126,-23.433744346681408,14.363818661379298,-0.3473520933027457
int050_off050,0.9694749188802341,0.5,0.5,43.248544548913586,2.0812680676052095,50.56797111664596,0.017699856859829794,51.13140978338453,0.7071973164318076,94.30718500938282,-14.794037334149111,90.6033950617284,-14.317654115411615,14.374696853441113,-0.27188186710779794
int060_off080,0.9712816901656577,0.6,0.8,44.199953362954865,4.32691631313605,54.31990547152463,7.438599606293676,51.66091923002078,1.7501064118238987,80.41827990817134,-27.342577823462097,81.37021604938272,-23.04934057386201,14.37264530336255,-0.2861150179475376
int050_off065,0.9773812798181829,0.5,0.65,43.37472650449587,2.379100380054975,52.27144333886817,3.3869743140791395,51.2503673766785,0.9414933366451337,92.3673486522743,-16.54666757335309,89.80617283950617,-15.07157586574765,14.381993939791169,-0.22125647326722897
int040_off035,0.9808107048326362,0.4,0.35,42.42884989005586,0.14651000632978445,48.86177945668639,-3.356953339141915,50.67839110225751,-0.18505740334933407,107.12925546203542,-3.2093754000777017,101.37114197530865,-4.134748554107688,14.392684052660242,-0.14709109434269088
int050_off080,0.9856033991107777,0.5,0.8,43.53817213936185,2.764887643909918,53.93949886493562,6.686198571385211,51.40521613225578,1.246479728535954,90.43648212487135,-18.291193626487523,89.17932098765434,-15.664380772806279,14.390819356726835,-0.16002789699144743
int040_off050,0.9888204376242006,0.4,0.5,42.578474004564214,0.4996737833265115,50.53990445668639,-0.037812806785401824,50.82298881624836,0.09973878310578745,105.18635326087184,-4.964775610562964,100.59614197530864,-4.867655064016232,14.398395488331445,-0.1074665556735589
int035_off035,0.9920506827587735,0.35,0.35,42.21912083048142,-0.34852187451815725,48.88089724207938,-3.319140532356513,50.62775138597374,-0.2847961729518655,112.64656274595075,1.775477857948659,106.5405864197531,0.75392175033602,14.408174599794853,-0.03962148087297634
int040_off065,0.9967268033431137,0.4,0.65,42.704656997178375,0.7975085435240648,52.24337667890861,3.331461650433922,50.94194639125319,0.3340347672972572,103.24651688570263,-6.717405866084666,99.79891975308642,-5.621576814352252,14.405691519588855,-0.05684848180676943
int035_off050,1.0,0.35,0.5,42.36677832045683,0.0,50.55902224207938,0.0,50.77234909310867,0.0,110.68143831579471,0.0,105.74336419753088,0.0,14.413885594718817,0.0
int040_off080,1.0048298418247295,0.4,0.8,42.86810383824517,1.183298654422993,53.91143220498601,6.630685907759669,51.09679512403147,0.6390211142837142,101.31565033583666,-8.461931939514292,99.04614197530864,-6.33346808383331,14.414515707809468,0.004371569945592069
int030_off035,1.0050884319682605,0.3,0.35,42.20298708422421,-0.38660300057210706,49.03753985560045,-3.0093192451269886,50.538045947453185,-0.46147785131196584,118.17635564028684,6.771611788335948,111.9672839506173,5.885872650561793,14.423350505045406,0.06566522444202412
int035_off065,1.0078948414901765,0.35,0.65,42.49052010295807,0.2920726744084118,52.26249446430157,3.3692744572192677,50.8913066589861,0.2342959662143667,108.74160193161205,-1.7526302636652964,104.94614197530866,-0.75392175033602,14.421181097558494,0.05061440783427374
int030_off050,1.013037747115696,0.3,0.5,42.350644139745675,-0.03808215151295812,50.71566485560043,0.30982128722948227,50.682643647741855,-0.17668169184433755,116.21123120337,4.996133924278948,111.17006172839508,5.131950900225773,14.429061058754588,0.10528364427515007
int035_off080,1.015984133039125,0.35,0.8,42.651054892852805,0.6709893545497917,53.93054999039231,6.668498714571394,51.04615538038371,0.5392822907857141,106.81073537053514,-3.4971563472239415,104.19336419753087,-1.4658130198170904,14.430004670299944,0.11183018954328917
int030_off065,1.0209325860940512,0.3,0.65,42.47438540225103,0.2539892955283822,52.41913707782264,3.6790957444487917,50.801601204503186,0.0576142564151777,114.27139481018511,3.2435036524801872,110.37283950617285,4.378029149889739,14.43635603259611,0.15589438205008935
int020_off035,1.0265008518524956,0.2,0.35,42.24054487722514,-0.29795384080629655,48.99943485321794,-3.0846866092347427,50.401631944093,-0.7301555977562455,128.03174689576417,15.675897281408478,121.24783950617282,14.66236243409019,14.453625987642813,0.27570909081279493
int030_off080,1.029021874717454,0.3,0.8,42.63491958747107,0.6329045484319119,54.08719260392669,6.9783200018272415,50.95644991453325,0.36260055859729157,112.34052823791032,1.498977558804323,109.62006172839507,3.666137880408682,14.445178989166969,0.21710588891879312
int020_off050,1.034527675662454,0.2,0.5,42.37754234370392,0.025406754239545144,50.67755985321793,0.2344539231217424,50.546229630717505,-0.44535946520122494,126.12217800090939,13.950613508526498,120.50617283950618,13.960978784822897,14.459335657520999,0.3153213788434299
int020_off065,1.042453822724383,0.2,0.65,42.487606816944265,0.285196329004539,52.381032075440146,3.603728380341066,50.66518716928053,-0.21106355278465802,124.22400825642015,12.235628798015771,119.75061728395063,13.246460610288414,14.466629571626527,0.3659247644301754
int010_off035,1.0504644626945177,0.1,0.35,42.60982535066539,0.5736736184426907,49.012655863377205,-3.0585369536975757,50.26522849509426,-0.9988125565835626,138.1273621271647,24.79722366189503,130.90385802469135,23.79392221734134,14.484364442985719,0.48896494844335925
int020_off080,1.0505291889205752,0.2,0.8,42.64519179028573,0.6571504392498636,54.04908760157085,6.902952637772231,50.8200358566147,0.09392270469616948,122.2931416617886,10.491102684140714,118.99783950617285,12.53456934080736,14.475451293783847,0.4271277072407674
