sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,1500.000000,600.000000,10.000000,10.000000,120.000000,5,0,1,0,4,0,55.123474,55.611930,0
10,1500.000000,600.000000,10.000000,10.000000,120.000000,30,0,4,0,26,0,55.695323,71.961766,0
20,1500.000000,600.000000,10.000000,10.000000,120.000000,63,0,5,0,58,0,56.197906,99.135487,0
30,1500.000000,600.000000,10.000000,10.000000,120.000000,94,0,11,0,82,1,56.672608,92.598808,0
40,1500.000000,600.000000,10.000000,10.000000,120.000000,120,2,11,3,97,7,50.753113,111.288881,9
50,1500.000000,600.000000,10.000000,10.000000,120.000000,147,10,9,8,112,8,45.006374,110.702040,31
60,1500.000000,600.000000,10.000000,10.000000,120.000000,175,22,9,8,126,10,40.092446,116.208044,48
70,1500.000000,600.000000,10.000000,10.000000,120.000000,204,30,9,2,136,27,44.553937,111.688615,23
80,1500.000000,600.000000,10.000000,10.000000,120.000000,241,56,11,4,142,28,48.359965,105.473278,23
90,1500.000000,600.000000,10.000000,10.000000,120.000000,278,82,11,8,156,21,46.243538,112.010884,43
100,1500.000000,600.000000,10.000000,10.000000,120.000000,309,98,10,4,173,24,42.537696,103.151585,67
110,1500.000000,600.000000,10.000000,10.000000,120.000000,340,102,14,10,192,22,38.239024,105.706079,92
120,1500.000000,600.000000,10.000000,10.000000,120.000000,380,99,20,20,216,25,34.313133,103.223706,121
130,1500.000000,600.000000,10.000000,10.000000,120.000000,415,102,19,20,234,40,33.086104,106.733659,111
140,1500.000000,600.000000,10.000000,10.000000,120.000000,449,127,19,24,237,42,33.779017,111.541505,107
150,1500.000000,600.000000,10.000000,10.000000,120.000000,478,148,17,34,233,46,32.968857,107.797190,128
160,1500.000000,600.000000,10.000000,10.000000,120.000000,513,172,18,43,237,43,31.724847,108.298350,139
170,1500.000000,600.000000,10.000000,10.000000,120.000000,537,183,22,52,236,44,29.435249,104.130236,169
180,1500.000000,600.000000,10.000000,10.000000,120.000000,567,200,20,51,242,54,28.384440,100.286578,188
