kind,id,beta0,beta60,beta150,beta300,changed
green_times,SC6_p1,21.999,21.999,30.999,63.0,True
green_times,SC6_p2,22.667,22.667,21.667,21.0,True
green_times,SC6_p3,40.667,40.667,39.667,33.0,True
green_times,SC6_p4,52.667,52.667,45.667,21.0,True
green_times,SC7_p1,53.0,65.0,65.0,65.0,True
green_times,SC7_p2,41.0,23.0,23.0,23.0,True
green_times,SC7_p3,0.0,0.0,0.0,0.0,False
green_times,SC7_p4,47.0,53.0,53.0,53.0,True
offsets,SC1,0.0,0.0,0.0,0.0,False
offsets,SC1001,75.0,75.0,75.0,75.0,False
offsets,SC1002,56.25,56.25,56.25,56.25,False
offsets,SC1003,18.75,18.75,18.75,18.75,False
offsets,SC1004,56.25,56.25,56.25,56.25,False
offsets,SC1005,0.0,0.0,0.0,0.0,False
offsets,SC101,18.75,18.75,18.75,18.75,False
offsets,SC105,0.0,0.0,0.0,0.0,False
offsets,SC107,0.0,0.0,0.0,0.0,False
offsets,SC108,0.0,0.0,0.0,0.0,False
offsets,SC109,131.25,131.25,131.25,131.25,False
offsets,SC11,131.25,37.5,37.5,37.5,True
offsets,SC12,18.75,37.5,37.5,37.5,True
offsets,SC16,131.25,112.5,112.5,112.5,True
offsets,SC5,18.75,18.75,18.75,18.75,False
offsets,SC6,18.75,18.75,18.75,93.75,True
offsets,SC7,0.0,0.0,0.0,0.0,False
