road,input_no,source_link,start_sec,end_sec,desired_volume_vph,native_cont,native_vol_type
FW_E,1098,74,0.0,900.0,7983.36,false,STOCHASTIC
FW_E,1098,74,900.0,1800.0,11404.8,false,STOCHASTIC
FW_E,1098,74,1800.0,2700.0,11975.04,false,STOCHASTIC
FW_E,1098,74,2700.0,3600.0,10264.32,false,STOCHASTIC
FW_E,1098,74,3600.0,4500.0,7983.36,false,STOCHASTIC
FW_E,1098,74,4500.0,,5702.4,false,STOCHASTIC
FW_W,1099,26,0.0,900.0,9979.2,false,STOCHASTIC
FW_W,1099,26,900.0,1800.0,14256.0,false,STOCHASTIC
FW_W,1099,26,1800.0,2700.0,14968.8,false,STOCHASTIC
FW_W,1099,26,2700.0,3600.0,12830.4,false,STOCHASTIC
FW_W,1099,26,3600.0,4500.0,9979.2,false,STOCHASTIC
FW_W,1099,26,4500.0,,7128.0,false,STOCHASTIC
