urban_follower_id,sc_no,sg_count,signal_head_count
1,1004,8,17
2,1005,3,6
3,107,6,17
4,108,6,14
5,109,4,12
6,1003,4,9
7,105,6,12
8,1,6,14
9,11,5,10
10,12,6,12
11,106,6,15
12,1001,8,13
13,1002,8,12
14,101,8,20
15,5,8,16
16,6,8,18
17,104,8,23
18,102,8,16
19,103,8,19
20,2001,8,10
21,2002,8,12
22,2003,4,9
23,2004,8,12
24,2005,8,14
