# generated by scripts/derive_urban_exit_gate_map.py
# network=C:/Users/TRLAB/Desktop/찐찐막/VISSIM/network/real_world_gaepo_modi/modi_eval_rw_control_n4dr150_20260812.inpx sha256=37f1cc1fcafbec5affe3ed1f350b76ae89fb45b686b254b82e97f8db91476bbe
# config=C:/Users/TRLAB/Desktop/찐찐막/VISSIM/evaluation/configs/real_world_modi_pstack_distributed_core15n41legfix_20260812.json sha256=23350fb356688655176af2552e09bd40541546b0a7be0710d818e6fca1240b9e
# assignment=C:/Users/TRLAB/Desktop/찐찐막/VISSIM/outputs/link_player_assignment_20260805.json sha256=ba9c13ba9fe9e05c51866a50221a1054d73a3379315bf97c108a0552397eb01f
# leg rule: departure bearing from node centroid -> 8-way; radius=120 m
# no volume column by design - exits are sinks, throughput is whatever the signal passes
# expected_mapped=82
no,gate,status,leg,leg_source,model_node,link,out_link,lanes,len_m,bearing_deg,dist_to_node_m,name
1,,leg_absent_at_node,SE,link_geometry,SC107,1,,2,139.9,146.3,24.1,
4,,unattributed_beyond_radius,,,,4,,3,28.1,,273.3,
7,,unattributed_beyond_radius,,,,7,,2,43.8,,347.0,
8,,unattributed_beyond_radius,,,,8,,3,27.5,,397.1,
10,,unattributed_beyond_radius,,,,10,,2,41.4,,332.2,
12,,unattributed_beyond_radius,,,,12,,1,54.9,,328.5,
14,,unattributed_beyond_radius,,,,14,,2,163.1,,454.2,
16,,unattributed_beyond_radius,,,,16,,1,14.0,,433.5,
20,,unattributed_beyond_radius,,,,20,,2,59.5,,196.9,
22,,unattributed_beyond_radius,,,,22,,2,49.5,,222.2,
23,,unattributed_beyond_radius,,,,23,,2,57.5,,199.4,
33,out_SC106_S,mapped,S,link_geometry,SC106,33,SC106_S_out,4,100.8,159.2,95.3,
34,,unattributed_beyond_radius,,,,34,,5,69.5,,210.5,
44,,unattributed_beyond_radius,,,,44,,4,84.1,,336.5,
45,,unattributed_beyond_radius,,,,45,,4,104.6,,443.8,
49,,unattributed_beyond_radius,,,,49,,1,109.7,,320.2,
51,,unattributed_beyond_radius,,,,51,,1,113.7,,310.4,
64,out_SC104_N,mapped,N,link_geometry,SC104,64,SC104_N_out,1,20.3,13.0,38.4,
65,out_SC104_E,mapped,E,link_geometry,SC104,65,SC104_E_out,1,15.5,96.5,36.4,
67,,leg_absent_at_node,SE,link_geometry,SC1004,67,,4,2660.8,120.9,31.2,
77,out_SC2001_W,mapped,W,link_geometry,SC2001,77,SC2001_W_out,3,281.3,250.2,19.8,
81,out_SC2001_N,mapped,N,link_geometry,SC2001,81,SC2001_N_out,2,390.0,339.4,17.2,
89,out_SC2002_N,mapped,N,link_geometry,SC2002,89,SC2002_N_out,4,365.2,339.9,25.9,
92,out_SC14_S,mapped,S,link_geometry,SC14,92,SC14_S_out,2,40.0,170.9,19.2,
95,out_SC2003_N,mapped,N,link_geometry,SC2003,95,SC2003_N_out,2,353.3,340.5,22.7,
