sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,7,0,1,0,6,0,54.644834,55.611930,0,VISSIM_ADAPTER_PFO,ok,54.643152
5,30,0,9,0,21,0,57.003140,62.757569,0,VISSIM_ADAPTER_PFO,ok,54.643152
10,65,0,16,0,49,0,58.654858,77.719340,0,VISSIM_ADAPTER_PFO,ok,54.643152
15,99,0,24,0,75,0,60.754900,87.972739,0,VISSIM_ADAPTER_PFO,ok,54.643152
20,125,0,31,0,94,0,62.945184,96.183137,0,VISSIM_ADAPTER_PFO,ok,54.643152
25,154,0,36,0,116,2,63.679660,99.863436,0,VISSIM_ADAPTER_PFO,ok,54.643152
30,179,0,40,0,135,4,62.757554,103.273682,0,VISSIM_ADAPTER_PFO,ok,54.643152
35,208,1,45,2,153,7,59.883967,104.749738,3,VISSIM_ADAPTER_PFO,ok,54.643152
40,240,5,51,2,168,14,57.375301,104.115777,16,VISSIM_ADAPTER_PFO,ok,54.643152
45,280,13,60,4,191,12,54.769824,102.178287,31,VISSIM_ADAPTER_PFO,ok,54.643152
50,315,20,66,6,209,14,53.883933,104.515368,46,VISSIM_ADAPTER_PFO,ok,54.643152
55,358,25,73,8,237,15,53.663158,105.268453,62,VISSIM_ADAPTER_PFO,ok,54.643152
60,397,33,83,11,252,18,52.405942,104.781802,71,VISSIM_ADAPTER_PFO,ok,28.820279
65,438,42,90,8,278,20,51.007702,103.987263,69,VISSIM_ADAPTER_PFO,ok,28.820279
70,482,46,94,4,303,35,51.255600,105.501739,77,VISSIM_ADAPTER_PFO,ok,28.820279
75,519,58,104,4,324,29,50.872771,106.992785,85,VISSIM_ADAPTER_PFO,ok,28.820279
80,558,66,108,8,341,35,50.388940,108.317490,111,VISSIM_ADAPTER_PFO,ok,28.820279
85,593,83,110,4,356,40,49.060703,108.028491,142,VISSIM_ADAPTER_PFO,ok,28.820279
