link,nc_lcd200,g1_lcd200,h0,h11,b0,d_g1_200,d_h11_1000,d_b0_1000,d_nc_1000v200
1210012700,6.5,10.0,6.6,14.2,11.3,3.5,7.7,4.7,0.1
37,9.0,12.5,9.0,12.1,10.4,3.4,3.2,1.4,-0.1
10335,0.1,3.6,0.1,2.6,2.4,3.4,2.5,2.2,0.0
1220006903,24.3,27.6,23.6,28.7,27.4,3.3,5.0,3.7,-0.6
71,21.9,25.1,21.0,17.3,17.1,3.3,-3.8,-3.9,-0.8
1220018504,12.7,15.9,12.5,14.6,14.4,3.2,2.0,1.9,-0.1
1210008603,1.8,4.8,1.8,4.3,4.5,3.0,2.5,2.7,-0.0
21,4.5,7.5,4.5,8.2,7.3,3.0,3.7,2.8,-0.0
1220012502,3.3,6.2,3.0,5.7,4.5,3.0,2.7,1.5,-0.2
1220019201,17.7,20.7,17.7,19.7,15.5,3.0,2.1,-2.1,-0.0
10646,8.1,11.0,7.6,16.9,11.8,2.9,9.3,4.2,-0.5
1220011001,9.5,12.4,9.7,11.3,11.8,2.9,1.6,2.1,0.2
1220011503,76.9,79.8,76.3,98.3,77.5,2.9,22.0,1.2,-0.6
10032,2.2,5.1,1.7,6.0,1.7,2.9,4.3,0.0,-0.5
10641,3.3,5.9,3.0,1.9,2.2,2.7,-1.1,-0.8,-0.3
73,22.9,25.5,22.7,23.5,22.9,2.6,0.8,0.2,-0.1
1220019303,5.7,8.0,5.8,8.1,7.8,2.3,2.2,2.0,0.1
1210009503,4.2,6.4,4.3,8.0,6.9,2.2,3.7,2.6,0.1
67,32.9,35.1,31.6,27.0,28.6,2.2,-4.6,-3.0,-1.3
10659,1.0,3.1,1.0,3.2,1.1,2.1,2.3,0.1,-0.0
1220014303,6.8,8.6,6.8,8.2,6.4,1.8,1.4,-0.4,0.0
10508,12.5,14.3,11.6,12.8,12.4,1.8,1.2,0.7,-0.9
10118,4.0,5.8,4.0,5.4,3.2,1.8,1.3,-0.9,0.0
10681,2.2,3.9,2.1,32.3,36.0,1.7,30.2,33.8,-0.0
10423,0.4,2.1,0.4,1.8,0.5,1.7,1.4,0.1,-0.0
10484,8.2,9.9,8.0,9.2,9.8,1.7,1.2,1.8,-0.2
1220007001,9.2,10.8,9.0,10.7,12.1,1.6,1.7,3.1,-0.1
1220008702,2.3,3.9,2.4,3.3,3.9,1.6,0.9,1.4,0.1
174,15.1,16.5,15.3,15.9,16.0,1.5,0.6,0.7,0.2
10490,2.8,4.3,2.8,8.5,2.9,1.5,5.7,0.1,0.0
108,19.6,21.1,20.6,20.2,19.6,1.4,-0.4,-0.9,0.9
10686,0.9,2.2,0.9,2.4,0.7,1.3,1.5,-0.2,0.0
1210008303,8.4,9.7,8.4,10.9,10.0,1.3,2.6,1.6,-0.1
72,10.4,11.7,10.4,11.9,12.3,1.3,1.5,1.8,0.0
1220016001,1.7,2.9,1.9,3.3,3.2,1.2,1.5,1.4,0.1
314,1.7,3.0,1.8,3.8,3.0,1.2,2.1,1.2,0.0
1220021203,15.1,16.3,14.8,48.0,19.7,1.1,33.2,4.8,-0.3
10644,22.9,24.0,24.0,28.2,22.1,1.1,4.3,-1.9,1.1
10639,3.2,4.3,4.4,44.7,42.4,1.1,40.2,38.0,1.2
1210021904,20.2,21.3,19.6,21.4,21.6,1.1,1.9,2.0,-0.7
10534,11.1,12.2,10.5,10.0,9.8,1.1,-0.4,-0.7,-0.6
1220016101,35.2,36.2,39.4,25.3,40.5,1.0,-14.1,1.1,4.2
