group,nc_lcd200,g1_lcd200,h0,h11,b0,d_g1_200,d_h11_1000,d_b0_1000
link32,347.8,255.6,352.3,449.6,350.5,-92.2,97.3,-1.8
link31,54.0,64.2,53.8,76.4,56.1,10.2,22.6,2.3
link68,85.7,86.4,76.2,75.5,77.5,0.7,-0.7,1.3
link69,69.7,69.7,73.1,150.1,154.3,0.0,77.0,81.2
link70,10.2,19.7,10.1,34.2,33.9,9.5,24.1,23.8
RDW_conn,11.0,73.8,11.2,140.9,65.7,62.8,129.7,54.5
RDE_conn,11.0,14.2,10.8,17.7,12.7,3.2,6.9,1.9
RFW_conn,31.0,35.0,31.6,45.1,33.9,4.0,13.5,2.3
RFE_conn,5.4,8.2,6.5,77.0,78.4,2.8,70.5,71.9
to70_conn,8.2,8.7,8.4,45.6,48.4,0.5,37.2,40.0
offramp_to32,162.3,69.3,162.1,23.3,157.8,-93.0,-138.8,-4.3
offramp_to31,7.7,18.1,7.5,26.1,7.6,10.4,18.6,0.1
FW_W_26,1409.6,1336.6,1415.0,1267.3,1437.2,-73.0,-147.7,22.2
FW_E_2,1032.6,684.8,1060.7,969.1,1032.3,-347.8,-91.6,-28.4
FW_24,106.2,118.6,104.1,95.3,99.1,12.4,-8.8,-5.0
SC105_420,29.2,216.2,31.2,232.1,33.0,187.0,200.9,1.8
link30,22.8,51.5,23.2,58.6,16.7,28.7,35.4,-6.5
link40,64.2,93.8,62.8,84.2,89.8,29.6,21.4,27.0
SC1002_329,74.8,74.8,74.0,73.3,71.3,0.0,-0.7,-2.7
SC1004_S_66,287.9,277.5,287.9,276.7,281.3,-10.4,-11.2,-6.6
urban_corr,547.3,579.5,528.7,551.9,513.2,32.2,23.2,-15.5
1220044500,138.0,29.3,131.6,28.4,29.8,-108.7,-103.2,-101.8
