run,t,scan_ok,obs_n,unobs_n,total,stopped,ramp_R_D_W,ramp_R_D_E,ramp_R_F_W,ramp_R_F_E,ramp_D,ramp_F,obs_n_32,obs_stop_32,obs_qtail_32,full_n_32,full_stop_32,obs_n_69,obs_stop_69,obs_qtail_69,full_n_69,full_stop_69,obs_n_70,obs_stop_70,obs_qtail_70,full_n_70,full_stop_70,obs_n_420,obs_stop_420,obs_qtail_420,full_n_420,full_stop_420,obs_n_31,obs_stop_31,obs_qtail_31,full_n_31,full_stop_31,obs_n_68,obs_stop_68,obs_qtail_68,full_n_68,full_stop_68,obs_n_30,obs_stop_30,obs_qtail_30,full_n_30,full_stop_30,obs_n_10482,obs_stop_10482,obs_qtail_10482,full_n_10482,full_stop_10482,obs_n_10639,obs_stop_10639,obs_qtail_10639,full_n_10639,full_stop_10639,obs_n_10681,obs_stop_10681,obs_qtail_10681,full_n_10681,full_stop_10681,obs_n_10480,obs_stop_10480,obs_qtail_10480,full_n_10480,full_stop_10480,obs_n_10637,obs_stop_10637,obs_qtail_10637,full_n_10637,full_stop_10637,obs_n_10638,obs_stop_10638,obs_qtail_10638,full_n_10638,full_stop_10638,far_interval_sec,far_freeway_exit_count,far_link_volume_veh_h_10482,far_link_volume_veh_h_10490,far_link_volume_veh_h_10639,far_link_volume_veh_h_10480,far_link_volume_veh_h_10646,far_link_volume_veh_h_10644,far_link_volume_veh_h_10681,far_link_volume_veh_h_10484,meter_R_D_W,meter_R_F_W,meter_R_D_E,meter_R_F_E,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,g_SC105_p1,g_SC105_p2,g_SC105_p3,g_SC105_p4,diag_leader_search_ramp_queue_stress,diag_leader_forecast_ramp_first_veh_h,diag_leader_forecast_ramp_future_mean_veh_h,diag_leader_forecast_ramp_peak_veh_h,diag_leader_ramp_queue_veh,diag_leader_ramp_queue_penalty,diag_wu_b3_meter_price_enabled,diag_wu_b3_meter_fd3_R_D_W_lo,diag_wu_b3_meter_fd3_R_D_W_base,diag_wu_b3_meter_fd3_R_D_W_hi,diag_wu_b3_meter_fd3_R_D_W_curv,diag_wu_b3_meter_fd3_R_D_W_nonlin,diag_wu_b3_meter_fd3_R_D_W_cliffup,diag_wu_b3_meter_price_R_D_W,diag_wu_b3_meter_price_ref_R_D_W,diag_wu_b3_meter_fd3_R_F_W_lo,diag_wu_b3_meter_fd3_R_F_W_base,diag_wu_b3_meter_fd3_R_F_W_hi,diag_wu_b3_meter_fd3_R_F_W_curv,diag_wu_b3_meter_fd3_R_F_W_nonlin,diag_wu_b3_meter_fd3_R_F_W_cliffup,diag_wu_b3_meter_price_R_F_W,diag_wu_b3_meter_price_ref_R_F_W,diag_wu_b3_meter_fd3_R_D_E_lo,diag_wu_b3_meter_fd3_R_D_E_base,diag_wu_b3_meter_fd3_R_D_E_hi,diag_wu_b3_meter_fd3_R_D_E_curv,diag_wu_b3_meter_fd3_R_D_E_nonlin,diag_wu_b3_meter_fd3_R_D_E_cliffup,diag_wu_b3_meter_price_R_D_E,diag_wu_b3_meter_price_ref_R_D_E,diag_wu_b3_meter_fd3_R_F_E_lo,diag_wu_b3_meter_fd3_R_F_E_base,diag_wu_b3_meter_fd3_R_F_E_hi,diag_wu_b3_meter_fd3_R_F_E_curv,diag_wu_b3_meter_fd3_R_F_E_nonlin,diag_wu_b3_meter_fd3_R_F_E_cliffup,diag_wu_b3_meter_price_R_F_E,diag_wu_b3_meter_price_ref_R_F_E,diag_phase_price_ramp_signal_zeroed,diag_leader_candidate_wu_metered_serial_override,diag_gate_onramp_queue_kept,diag_leg_ramp_split_enabled,diag_leg_ramp_split_folded_movements,diag_leg_ramp_split_folded_into_w,diag_leg_ramp_split_redistributed,diag_leg_ramp_split_moved_beta,diag_offramp_direct_enabled,diag_offramp_direct_movements,diag_offramp_direct_beta_zeroed,diag_offramp_direct_offramps,diag_leg_ramp_split_substep_rebound_modules,diag_leg_ramp_split_runtime,diag_leg_ramp_split_patched_modules,diag_leg_ramp_split_links,diag_leg_ramp_split_injected_veh,diag_offramp_direct_veh,diag_leg_ramp_split_tail_extra_exit_veh,diag_leg_ramp_split_len_SC1004_W_out,diag_leg_ramp_split_injected_R_F_E,diag_leg_ramp_split_injected_R_F_W,diag_leg_ramp_split_storage_adjust_veh,diag_leg_ramp_split_len_SC1001_W_out,diag_leg_ramp_split_injected_R_D_E,diag_leg_ramp_split_injected_R_D_W,diag_phase_local_ramp_aware_enabled,diag_phase_local_ramp_setup_built,diag_phase_local_ramp_scored,diag_leg_ramp_split_req_last_SC1001_W_out,diag_leg_ramp_split_req_last_SC1004_W_out,diag_leg_ramp_split_u_on_last
h11,1,True,6,2,8,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,0,0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0.0,,,,,,,,0,0,0.0,,,150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,150,True,820,168,988,134,5,6,0,0,11,0,42,2,1948.072685,42.0,2.0,,,,41.0,0.0,,,,,,0,0,0.0,,,,,,9.0,0.0,,,,,,0,0,0.0,,,5,0,0.0,5.0,0.0,0,0,0.0,,,0,0,0.0,,,0,0,0.0,,,,,,,,0,0,0.0,,,150,6,105.065514,62.517311,0.0,0.0,0.0,0.0,0.0,59.618589,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,300,True,1376,326,1702,243,4,3,18,0,7,18,56,4,1942.747346,56.0,4.0,,,,34.0,0.0,,,,1.0,0.0,8,0,0.0,8.0,0.0,,,,15.0,0.0,,,,36.0,0.0,14,2,527.275452,14.0,2.0,4,0,0.0,4.0,0.0,0,0,0.0,,,0,0,0.0,,,0,0,0.0,,,,,,,,2,0,0.0,2.0,0.0,150,185,769.933211,361.162173,144.0,48.0,81.814048,493.984498,0.0,327.74148,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,450,True,1761,397,2158,373,10,5,17,1,15,18,67,22,1883.383092,67.0,22.0,,,,42.0,0.0,,,,3.0,0.0,25,0,0.0,25.0,0.0,,,,36.0,0.0,,,,33.0,1.0,17,1,527.4619,17.0,1.0,10,0,0.0,10.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0,,,0,0,0.0,,,,,,1.0,0.0,2,0,0.0,2.0,0.0,150,381,719.190684,239.50404,116.939993,72.0,261.026513,553.998134,264.0,376.126544,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,600,True,2031,405,2436,493,4,6,29,1,10,30,89,31,1773.5837,89.0,31.0,,,,32.0,0.0,,,,,,25,0,0.0,25.0,0.0,,,,27.0,0.0,,,,36.0,0.0,22,2,521.834702,22.0,2.0,4,0,0.0,4.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0,,,0,0,0.0,,,,,,,,8,0,0.0,8.0,0.0,150,531,528.173758,318.746702,107.027455,144.0,449.097493,749.891533,216.0,488.355437,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,750,True,2223,503,2726,548,6,4,11,0,10,11,142,58,1620.736898,142.0,58.0,,,,42.0,0.0,,,,1.0,0.0,25,0,0.0,25.0,0.0,,,,45.0,0.0,,,,54.0,0.0,14,3,516.089656,14.0,3.0,6,0,0.0,6.0,0.0,0,0,0.0,,,0,0,0.0,,,0,0,0.0,,,,,,,,6,0,0.0,6.0,0.0,150,561,736.912795,233.203388,160.032552,240.0,303.633964,710.27371,312.0,506.986993,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,900,True,2333,505,2838,649,5,7,14,2,12,16,161,82,1543.73243,161.0,82.0,,,,32.0,0.0,,,,,,16,0,0.0,16.0,0.0,,,,41.0,0.0,,,,49.0,0.0,25,5,464.805169,25.0,5.0,5,0,0.0,5.0,0.0,2,0,0.0,2.0,0.0,0,0,0.0,,,0,0,0.0,,,,,,1.0,0.0,10,0,0.0,10.0,0.0,150,564,836.435395,334.596071,92.332305,240.0,842.60597,767.848654,192.0,260.472135,1800.0,1800.0,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,34.0,40.666666666666664,40.666666666666664,22.666666666666664,0.04720919392503758,2649.0100793059228,2649.0100793059228,2649.0100793059228,0.0,0.0,1.0,541.099599764969,541.0965399787517,541.0965399787517,0.0030597862173635804,0.0,0.0,-4.408484265875737e-06,1800.0,541.1193362095071,541.0965399787517,541.0965399787517,0.02279623075537529,0.0,0.0,-2.0712155905597583e-05,1800.0,541.1003968767377,541.0965399787517,541.0965399787517,0.0038568979859974206,0.0,0.0,-2.8931949575650158e-06,1800.0,541.0965399787517,541.0965399787517,541.0965399787517,0.0,0.0,0.0,0.0,1800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,1050,True,2808,552,3360,963,7,8,20,0,15,20,173,60,1501.385648,173.0,60.0,,,,61.0,0.0,,,,7.0,0.0,27,0,0.0,27.0,0.0,,,,40.0,0.0,,,,54.0,2.0,35,9,426.829222,35.0,9.0,6,0,0.0,6.0,0.0,0,0,0.0,,,0,0,0.0,,,1,0,0.0,1.0,0.0,,,,,,4,0,0.0,4.0,0.0,150,584,664.821569,298.270313,123.667695,292.492137,802.120078,494.59948,240.0,405.148777,1800.0,1800.0,1800.0,1800.0,22.0,22.666666666666668,70.66666666666667,22.666666666666668,22.0,22.666666666666668,70.66666666666667,22.666666666666668,34.0,46.666666666666664,34.666666666666664,22.666666666666664,0.05806188314103668,2622.9920422024493,2622.9920422024493,2622.9920422024493,0.0,0.0,1.0,597.1723005079218,597.170509633317,597.170509633317,0.0017908746046941815,0.0,0.0,-4.319327328990609e-07,1800.0,597.2068821472047,597.170509633317,597.170509633317,0.03637251388772711,0.0,0.0,1.586741007690603e-05,1800.0,597.1736533549386,597.170509633317,597.170509633317,0.0031437216214271757,0.0,0.0,4.625496009838217e-06,1800.0,597.170509633317,597.170509633317,597.170509633317,0.0,0.0,0.0,0.0,1800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,1200,True,3251,594,3845,1142,13,19,31,2,32,33,175,65,1524.565086,175.0,65.0,,,,62.0,0.0,,,,5.0,0.0,37,12,636.45471,37.0,12.0,,,,45.0,0.0,,,,51.0,3.0,32,2,520.715362,32.0,2.0,11,0,0.0,11.0,0.0,2,0,0.0,2.0,0.0,0,0,0.0,,,2,0,0.0,2.0,0.0,,,,,,15,0,0.0,15.0,0.0,150,521,910.314511,453.010375,209.934446,388.52689,825.17388,971.381758,264.0,598.414194,1800.0,1800.0,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,34.0,46.666666666666664,34.666666666666664,22.666666666666664,0.11159774233802974,3976.0,3976.0,3976.0,0.0,0.0,1.0,666.0649128008904,666.0626666923564,666.0626666923564,0.002246108533881852,0.0,0.0,2.4548848436722885e-06,1800.0,666.1700408456082,666.0626666923564,666.0626666923564,0.10737415325183974,0.0,0.0,-4.484946074896352e-05,1800.0,666.0899649918897,666.0626666923564,666.0626666923564,0.027298299533185855,0.0,0.0,1.2054376367566361e-05,1800.0,666.0626666923564,666.0626666923564,666.0626666923564,0.0,0.0,0.0,0.0,1800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11,1350,True,3656,642,4298,1287,6,3,25,2,9,27,160,45,1514.90534,160.0,45.0,,,,87.0,0.0,,,,14.0,0.0,57,30,648.730983,57.0,30.0,,,,37.0,0.0,,,,40.0,0.0,25,3,522.009289,25.0,3.0,5,0,0.0,5.0,0.0,2,0,0.0,2.0,0.0,0,0,0.0,,,1,0,0.0,1.0,0.0,,,,1.0,0.0,8,0,0.0,8.0,0.0,150,517,926.289184,530.989625,232.00567,187.488256,879.323354,1001.410672,336.0,676.018062,0.0,710.0020885177703,364.99895574111486,364.99895574111486,24.0,22.275862068965516,69.44827586206897,22.275862068965516,20.0,23.057471264367813,71.88505747126436,23.057471264367813,34.0,46.666666666666664,34.666666666666664,22.666666666666664,0.05560755427645958,2800.3707591559005,2800.3707591559005,2800.3707591559005,135.59558797076647,0.0,1.0,713.9515185350917,713.9501289044238,713.9501289044238,0.0013896306679725967,0.0,0.0,-2.5535339140958504e-07,1800.0,713.9945797822261,713.9501289044238,713.9501289044238,0.044450877802319155,0.0,0.0,2.1406496177355135e-05,1800.0,713.9501289044238,713.9501289044238,713.9501289044238,0.0,0.0,0.0,0.0,1800.0,713.9501289044238,713.9501289044238,713.9501289044238,0.0,0.0,0.0,0.0,1800.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
