next_link,pbin,win900,rows,L1rows,stop,L1stop
-1,0,5,7,3,0,0
-1,100,5,12,4,0,0
-1,200,5,4,2,0,0
71,0,0,14,5,0,0
71,0,1,32,12,0,0
71,0,2,47,21,0,0
71,0,3,40,18,0,0
71,0,4,25,13,0,0
71,0,5,55,24,0,0
71,100,0,35,11,0,0
71,100,1,51,22,0,0
71,100,2,69,32,0,0
71,100,3,62,28,0,0
71,100,4,44,20,0,0
71,100,5,78,33,0,0
71,200,0,29,15,0,0
71,200,1,53,31,0,0
71,200,2,70,39,0,0
71,200,3,68,38,0,0
71,200,4,55,31,1,1
71,200,5,89,45,0,0
71,300,0,24,12,0,0
71,300,1,37,24,2,0
71,300,2,51,29,1,0
71,300,3,41,23,1,0
71,300,4,31,21,0,0
71,300,5,62,34,0,0
10634,100,3,1,0,0,0
10634,100,5,2,2,0,0
10634,200,3,1,1,0,0
10634,300,0,1,0,0,0
10634,300,5,2,2,0,0
10639,0,0,45,45,0,0
10639,0,1,97,97,1,1
10639,0,2,162,162,2,2
10639,0,3,104,104,0,0
10639,0,4,80,80,0,0
10639,0,5,71,71,0,0
10639,100,0,40,40,0,0
10639,100,1,73,73,0,0
10639,100,2,124,124,0,0
10639,100,3,74,74,0,0
10639,100,4,57,57,0,0
10639,100,5,59,59,0,0
10641,0,0,63,37,0,0
10641,0,1,207,97,0,0
10641,0,2,201,96,1,1
10641,0,3,203,102,1,1
10641,0,4,170,97,0,0
10641,0,5,126,74,0,0
10641,100,0,103,43,0,0
10641,100,1,352,142,0,0
10641,100,2,330,133,0,0
10641,100,3,329,135,0,0
10641,100,4,302,133,0,0
10641,100,5,228,104,0,0
10641,200,0,109,45,0,0
10641,200,1,366,144,17,0
10641,200,2,334,131,0,0
10641,200,3,329,131,2,0
10641,200,4,316,136,1,0
10641,200,5,236,95,0,0
10641,300,0,30,10,1,0
10641,300,1,201,44,70,0
10641,300,2,160,43,47,0
10641,300,3,151,36,42,1
10641,300,4,165,38,44,0
10641,300,5,56,21,0,0
10642,0,4,1,1,0,0
10642,0,5,1,0,0,0
10642,100,1,1,0,0,0
10642,100,4,2,2,0,0
10642,100,5,1,0,0,0
10642,200,1,1,1,0,0
10642,200,4,2,1,0,0
10642,200,5,1,0,0,0
10642,300,1,1,1,0,0
10642,300,3,1,1,0,0
10642,300,4,3,2,0,0
10642,300,5,1,1,0,0
