link,veh_h_h0,stop_veh_h_h0,veh_h_h11,stop_veh_h_h11,veh_h_b0,stop_veh_h_b0,dTTT_h11,dTTT_b0,dStop_h11,dStop_b0
10646,7.6,0.0,16.9,5.6,11.8,2.8,9.3,4.2,5.6,2.8
1220007104,5.5,1.7,14.0,10.1,14.7,10.6,8.5,9.1,8.4,8.9
176,5.1,3.4,13.4,10.7,12.9,10.2,8.3,7.8,7.3,6.9
1210012700,6.6,4.2,14.2,11.7,11.3,8.8,7.7,4.7,7.4,4.6
1220008601,0.9,0.6,8.1,7.8,6.3,6.1,7.2,5.5,7.2,5.5
1220008201,6.7,4.7,13.7,11.8,15.1,13.0,7.0,8.4,7.1,8.3
1220008502,34.4,14.5,41.4,20.8,23.0,2.8,7.0,-11.4,6.3,-11.7
183,5.3,3.8,12.0,10.1,12.7,10.6,6.7,7.3,6.3,6.9
1220021204,11.3,1.7,17.3,7.5,11.6,2.0,6.0,0.3,5.7,0.2
10490,2.8,0.0,8.5,5.8,2.9,0.1,5.7,0.1,5.8,0.1
1210021204,19.9,12.8,25.6,18.1,20.2,13.0,5.6,0.2,5.3,0.3
1220006903,23.6,18.1,28.7,22.9,27.4,21.8,5.0,3.7,4.8,3.7
10644,24.0,0.2,28.2,5.2,22.1,1.8,4.3,-1.9,5.0,1.5
10032,1.7,0.0,6.0,3.9,1.7,0.0,4.3,0.0,3.9,0.0
1210018401,3.2,0.0,7.5,3.8,3.7,0.3,4.2,0.5,3.8,0.3
1220000201,6.8,3.6,11.0,7.7,10.5,7.4,4.2,3.7,4.1,3.7
427,14.7,5.4,18.9,9.4,16.2,6.4,4.2,1.5,4.0,1.0
1220007502,3.9,1.2,7.8,4.6,8.2,5.0,3.9,4.3,3.4,3.8
1220014100,10.6,7.6,14.4,11.2,14.3,11.2,3.8,3.7,3.6,3.6
21,4.5,2.0,8.2,5.2,7.3,4.5,3.7,2.8,3.3,2.5
1210009503,4.3,3.0,8.0,6.6,6.9,5.6,3.7,2.6,3.5,2.5
121008402,7.1,3.7,10.7,7.0,6.6,3.1,3.6,-0.5,3.4,-0.5
1210012600,4.8,3.0,8.3,6.4,5.3,3.6,3.5,0.6,3.5,0.6
37,9.0,1.7,12.1,4.7,10.4,3.0,3.2,1.4,3.0,1.2
317,21.0,17.1,23.8,20.2,21.8,18.0,2.8,0.8,3.0,0.8
1220008703,3.1,1.4,5.9,4.0,4.8,2.9,2.8,1.7,2.6,1.5
10135,1.7,0.0,4.4,2.5,1.7,0.1,2.8,0.1,2.5,0.1
1220012502,3.0,1.1,5.7,3.7,4.5,2.8,2.7,1.5,2.6,1.7
10129,2.1,1.3,4.7,3.8,3.7,2.7,2.6,1.5,2.5,1.4
1210008303,8.4,7.1,10.9,9.6,10.0,8.7,2.6,1.6,2.5,1.6
10335,0.1,0.0,2.6,2.5,2.4,2.3,2.5,2.2,2.5,2.3
1210008603,1.8,0.8,4.3,3.3,4.5,3.5,2.5,2.7,2.6,2.7
1220061200,31.6,24.5,34.0,26.7,31.4,24.3,2.5,-0.2,2.3,-0.1
10659,1.0,0.5,3.2,2.7,1.1,0.7,2.3,0.1,2.2,0.2
1220019303,5.8,4.3,8.1,6.7,7.8,6.5,2.2,2.0,2.4,2.2
1220019201,17.7,11.6,19.7,14.0,15.5,9.8,2.1,-2.1,2.4,-1.8
314,1.8,0.4,3.8,2.3,3.0,1.5,2.1,1.2,2.0,1.2
1220018504,12.5,9.7,14.6,11.8,14.4,11.8,2.0,1.9,2.1,2.1
1210021904,19.6,11.3,21.4,13.3,21.6,13.3,1.9,2.0,2.0,2.0
55,24.1,0.0,25.9,1.5,24.1,0.0,1.8,0.0,1.5,0.0
1220020904,19.4,13.9,21.2,15.7,20.5,14.9,1.8,1.1,1.8,1.1
1220007001,9.0,6.0,10.7,7.8,12.1,9.1,1.7,3.1,1.8,3.1
1220011001,9.7,4.9,11.3,6.5,11.8,6.9,1.6,2.1,1.5,2.0
10686,0.9,0.0,2.4,1.0,0.7,0.0,1.5,-0.2,1.0,-0.0
1220016001,1.9,1.6,3.3,3.2,3.2,3.0,1.5,1.4,1.5,1.4
72,10.4,0.3,11.9,1.7,12.3,1.6,1.5,1.8,1.3,1.2
107,10.3,4.5,11.7,5.7,11.6,5.5,1.4,1.3,1.1,1.0
1220014303,6.8,4.0,8.2,5.6,6.4,4.2,1.4,-0.4,1.6,0.2
10423,0.4,0.1,1.8,1.5,0.5,0.2,1.4,0.1,1.4,0.1
53,2.7,0.6,4.0,1.8,2.6,0.5,1.3,-0.1,1.2,-0.1
10118,4.0,0.0,5.4,0.0,3.2,0.0,1.3,-0.9,-0.0,-0.0
10419,0.1,0.0,1.5,1.3,0.1,0.0,1.3,0.0,1.3,0.0
10484,8.0,0.0,9.2,1.2,9.8,1.3,1.2,1.8,1.2,1.3
10508,11.6,10.0,12.8,11.3,12.4,10.7,1.2,0.7,1.3,0.7
54,2.2,0.0,3.5,1.2,2.2,0.1,1.2,-0.0,1.1,0.0
10080,1.8,0.2,2.9,1.1,1.8,0.2,1.1,-0.0,1.0,-0.0
10503,0.4,0.2,1.4,1.3,1.2,1.1,1.0,0.8,1.0,0.9
1220014000,1.6,0.0,2.6,0.8,2.5,0.8,1.0,0.9,0.8,0.7
1220015000,6.1,5.4,7.1,6.5,7.6,7.0,1.0,1.5,1.0,1.5
1210008703,2.6,2.3,3.6,3.3,2.8,2.5,1.0,0.2,1.0,0.2
1220018404,6.8,1.3,7.8,2.0,7.9,2.1,0.9,1.0,0.7,0.8
10336,0.1,0.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9
10125,2.8,0.0,3.7,0.8,2.8,0.0,0.9,0.0,0.8,-0.0
10191,1.4,0.0,2.3,0.8,1.4,0.0,0.9,-0.0,0.8,0.0
10682,24.8,7.9,25.7,9.5,23.3,7.4,0.9,-1.4,1.6,-0.5
1220007101,7.2,4.2,8.1,4.9,7.5,4.4,0.9,0.3,0.7,0.3
1220008702,2.4,0.4,3.3,1.1,3.9,1.6,0.9,1.4,0.8,1.2
1220006503,6.2,4.8,7.1,5.7,7.0,5.5,0.9,0.8,0.9,0.7
1220012001,5.3,2.5,6.1,3.3,5.8,3.1,0.9,0.6,0.9,0.6
10133,1.9,0.9,2.7,1.7,2.0,1.0,0.8,0.1,0.7,0.1
10544,0.5,0.0,1.3,0.7,0.5,0.0,0.8,-0.0,0.7,0.0
73,22.7,8.7,23.5,9.2,22.9,9.2,0.8,0.2,0.5,0.5
10082,1.7,0.6,2.4,1.3,1.7,0.6,0.7,-0.0,0.7,-0.0
10193,0.4,0.0,1.2,0.7,0.4,0.0,0.7,-0.0,0.7,0.0
1220008501,6.5,0.2,7.2,0.6,7.0,0.6,0.7,0.6,0.5,0.4
182,7.6,0.0,8.2,0.2,8.3,0.3,0.7,0.7,0.1,0.3
174,15.3,0.1,15.9,0.8,16.0,0.7,0.6,0.7,0.7,0.6
118,5.7,3.8,6.3,4.3,6.7,4.6,0.6,1.0,0.5,0.8
1220022604,14.2,11.9,14.7,12.2,15.0,12.6,0.5,0.9,0.4,0.8
10683,0.7,0.0,1.2,0.4,0.7,0.0,0.5,0.0,0.4,0.0
426,3.1,0.0,3.5,0.0,3.5,0.0,0.4,0.4,0.0,0.0
10280,0.8,0.3,1.1,0.6,0.8,0.3,0.4,0.0,0.3,0.0
367,1.4,0.2,1.7,0.6,1.7,0.5,0.4,0.4,0.4,0.3
10187,0.5,0.0,0.9,0.3,0.5,0.0,0.4,0.0,0.3,0.0
1210006903,12.3,0.0,12.6,0.3,12.3,0.0,0.4,0.0,0.2,0.0
259,0.3,0.2,0.8,0.6,0.8,0.6,0.4,0.4,0.4,0.4
10526,2.6,2.1,3.0,2.5,2.2,1.6,0.4,-0.4,0.4,-0.4
