,,n,n,n,dwell_mean,dwell_mean,dwell_mean,stop_s,stop_s,stop_s,trapped_L1_lt1000,trapped_L1_lt1000,trapped_L1_lt1000
run,,b0,h0,h11,b0,h0,h11,b0,h0,h11,b0,h0,h11
grp,w900,,,,,,,,,,,,
ramp,0,134.0,134.0,134.0,31.9,31.9,31.9,1.8,1.8,1.8,38.0,38.0,38.0
ramp,900,290.0,286.0,291.0,42.7,47.3,41.3,5.6,6.4,4.7,135.0,160.0,138.0
ramp,1800,319.0,304.0,302.0,57.8,43.2,53.4,12.8,4.7,10.4,200.0,126.0,189.0
ramp,2700,244.0,272.0,264.0,37.8,48.8,41.9,3.8,6.9,6.6,84.0,133.0,103.0
ramp,3600,238.0,263.0,255.0,36.5,45.3,59.7,3.5,5.8,16.0,91.0,131.0,156.0
ramp,4500,207.0,215.0,219.0,26.2,40.7,39.2,0.2,4.3,5.0,7.0,90.0,94.0
signal/other,0,506.0,506.0,506.0,60.9,60.9,60.9,0.1,0.1,0.1,7.0,7.0,7.0
signal/other,900,546.0,543.0,511.0,65.2,62.9,64.6,0.2,0.2,0.2,22.0,21.0,22.0
signal/other,1800,530.0,584.0,536.0,73.4,67.1,65.3,0.2,0.2,0.2,22.0,23.0,19.0
signal/other,2700,582.0,528.0,547.0,71.8,68.7,65.8,0.1,0.2,0.1,15.0,17.0,15.0
signal/other,3600,516.0,535.0,494.0,72.1,64.9,71.3,0.2,0.2,0.2,18.0,17.0,20.0
signal/other,4500,548.0,536.0,531.0,66.1,63.9,64.7,0.1,0.3,0.2,8.0,28.0,15.0
