win,n,n_stop,spd,n_L1,n_stop_L1,spd_L1,zone,run
0,1.6,0.0,124.6,0.5,0.0,124.7,10643_to70,nc_lcd200
150,23.1,0.0,108.7,8.9,0.0,101.3,10643_to70,nc_lcd200
300,33.2,0.6,83.8,14.1,0.5,70.0,10643_to70,nc_lcd200
450,26.8,0.1,100.9,10.2,0.1,90.0,10643_to70,nc_lcd200
600,26.5,0.5,99.1,11.2,0.5,87.4,10643_to70,nc_lcd200
750,30.7,0.2,94.6,11.7,0.1,82.5,10643_to70,nc_lcd200
900,37.0,0.7,73.7,14.8,0.6,61.0,10643_to70,nc_lcd200
1050,41.3,1.4,79.7,16.1,1.2,60.3,10643_to70,nc_lcd200
1200,71.2,8.3,37.7,30.6,5.8,22.4,10643_to70,nc_lcd200
1350,70.5,17.6,32.3,41.2,17.3,13.9,10643_to70,nc_lcd200
1500,74.7,12.3,34.5,36.9,11.8,16.1,10643_to70,nc_lcd200
1650,77.9,21.6,27.1,43.2,20.9,11.8,10643_to70,nc_lcd200
1800,100.4,42.3,19.8,60.0,41.0,5.2,10643_to70,nc_lcd200
1950,122.6,53.8,15.4,67.5,51.3,3.1,10643_to70,nc_lcd200
2100,134.4,54.7,15.0,67.4,49.2,3.2,10643_to70,nc_lcd200
2250,141.6,66.4,13.7,68.0,55.2,2.4,10643_to70,nc_lcd200
2400,146.9,76.7,11.3,68.7,58.9,1.8,10643_to70,nc_lcd200
2550,149.6,76.0,12.2,69.8,61.2,1.6,10643_to70,nc_lcd200
2700,159.5,95.9,9.9,67.1,56.1,2.0,10643_to70,nc_lcd200
2850,151.9,86.7,10.3,63.6,52.1,2.4,10643_to70,nc_lcd200
3000,155.2,88.4,10.2,63.5,52.4,2.2,10643_to70,nc_lcd200
3150,153.7,90.2,9.6,67.1,58.1,1.6,10643_to70,nc_lcd200
3300,146.5,78.0,11.1,61.8,48.7,3.0,10643_to70,nc_lcd200
3450,147.7,74.7,11.8,66.4,53.5,2.4,10643_to70,nc_lcd200
3600,138.7,65.1,12.9,64.5,49.9,2.8,10643_to70,nc_lcd200
3750,133.1,59.4,14.1,63.9,48.1,3.2,10643_to70,nc_lcd200
3900,132.8,53.9,15.2,61.8,44.4,3.5,10643_to70,nc_lcd200
4050,126.6,54.9,14.2,60.2,43.8,3.3,10643_to70,nc_lcd200
4200,125.7,52.8,14.4,59.0,44.0,3.4,10643_to70,nc_lcd200
4350,128.2,54.8,15.5,62.7,46.8,3.2,10643_to70,nc_lcd200
4500,122.2,58.7,14.5,60.6,47.9,2.9,10643_to70,nc_lcd200
4650,117.9,51.6,15.1,58.9,44.8,3.2,10643_to70,nc_lcd200
4800,130.3,55.1,13.6,58.6,44.6,2.9,10643_to70,nc_lcd200
4950,115.7,40.7,18.0,50.3,33.7,4.8,10643_to70,nc_lcd200
5100,100.4,31.5,20.2,49.2,29.0,6.8,10643_to70,nc_lcd200
5250,111.1,41.5,18.1,55.5,36.6,5.0,10643_to70,nc_lcd200
0,0.9,0.0,129.3,0.3,0.0,126.8,10682_to68,nc_lcd200
150,22.0,0.1,102.1,9.6,0.1,89.7,10682_to68,nc_lcd200
300,28.5,0.7,84.2,14.0,0.6,65.4,10682_to68,nc_lcd200
450,36.1,3.5,71.7,19.3,3.4,46.6,10682_to68,nc_lcd200
600,27.0,1.4,84.7,13.3,1.4,61.3,10682_to68,nc_lcd200
750,37.1,1.8,71.4,18.2,1.7,47.4,10682_to68,nc_lcd200
900,42.8,4.3,57.6,23.6,4.2,32.0,10682_to68,nc_lcd200
1050,62.2,11.6,45.9,32.9,11.6,21.0,10682_to68,nc_lcd200
1200,61.6,12.5,42.5,35.1,12.5,17.2,10682_to68,nc_lcd200
1350,45.6,9.2,47.3,31.0,9.2,23.8,10682_to68,nc_lcd200
1500,57.0,12.8,41.8,34.7,12.6,18.5,10682_to68,nc_lcd200
1650,58.6,22.6,30.0,43.0,22.6,10.9,10682_to68,nc_lcd200
1800,82.8,39.4,22.1,57.9,39.1,5.1,10682_to68,nc_lcd200
1950,82.5,36.4,20.7,57.3,36.0,6.2,10682_to68,nc_lcd200
2100,95.3,38.5,18.9,58.7,38.0,5.8,10682_to68,nc_lcd200
2250,108.1,51.4,17.5,65.5,47.7,4.2,10682_to68,nc_lcd200
2400,117.3,67.2,12.8,69.9,55.0,2.8,10682_to68,nc_lcd200
2550,149.2,92.3,10.2,69.1,57.3,2.4,10682_to68,nc_lcd200
2700,166.9,101.4,9.3,61.6,42.1,4.4,10682_to68,nc_lcd200
2850,156.7,95.3,9.3,61.5,41.7,4.5,10682_to68,nc_lcd200
3000,166.6,99.0,9.0,64.2,46.4,3.7,10682_to68,nc_lcd200
3150,151.8,89.2,9.7,56.9,36.5,5.6,10682_to68,nc_lcd200
3300,147.0,86.2,10.3,57.5,37.3,5.3,10682_to68,nc_lcd200
3450,143.2,82.1,10.6,62.3,43.3,4.0,10682_to68,nc_lcd200
3600,139.6,71.4,12.6,58.9,36.3,5.3,10682_to68,nc_lcd200
3750,118.2,59.6,14.2,63.0,43.5,4.2,10682_to68,nc_lcd200
3900,108.2,49.8,16.8,57.0,34.8,6.2,10682_to68,nc_lcd200
4050,111.2,57.6,15.3,61.9,41.7,5.0,10682_to68,nc_lcd200
4200,111.1,56.9,15.7,50.0,28.4,8.5,10682_to68,nc_lcd200
4350,124.1,63.4,14.6,60.6,41.6,4.4,10682_to68,nc_lcd200
4500,102.2,51.7,16.4,57.7,37.0,5.5,10682_to68,nc_lcd200
4650,98.1,46.8,17.3,62.4,41.9,4.8,10682_to68,nc_lcd200
4800,76.4,26.7,21.6,49.8,25.8,10.8,10682_to68,nc_lcd200
4950,72.5,21.0,28.7,43.4,20.6,12.2,10682_to68,nc_lcd200
5100,68.0,25.0,26.6,46.7,24.7,9.9,10682_to68,nc_lcd200
5250,60.9,17.9,30.5,41.5,17.7,12.3,10682_to68,nc_lcd200
150,5.7,0.0,122.6,1.8,0.0,126.7,10481_to32,nc_lcd200
300,14.4,0.0,116.3,4.2,0.0,116.2,10481_to32,nc_lcd200
450,15.6,0.0,114.0,4.8,0.0,114.3,10481_to32,nc_lcd200
600,13.8,0.0,117.4,4.6,0.0,118.7,10481_to32,nc_lcd200
750,15.6,0.0,115.2,5.0,0.0,115.4,10481_to32,nc_lcd200
900,15.3,0.0,114.3,5.4,0.0,113.3,10481_to32,nc_lcd200
1050,19.7,0.0,110.6,6.1,0.0,106.8,10481_to32,nc_lcd200
1200,20.8,0.0,113.1,6.0,0.0,108.5,10481_to32,nc_lcd200
1350,16.4,0.0,114.2,5.7,0.0,113.2,10481_to32,nc_lcd200
1500,13.5,0.0,114.9,4.3,0.0,114.5,10481_to32,nc_lcd200
1650,16.3,0.0,112.3,5.9,0.0,109.8,10481_to32,nc_lcd200
1800,15.1,0.4,99.0,5.7,0.3,92.5,10481_to32,nc_lcd200
1950,34.5,15.9,43.7,14.8,8.5,30.1,10481_to32,nc_lcd200
2100,54.9,33.6,22.3,24.9,15.7,14.9,10481_to32,nc_lcd200
2250,75.7,53.0,15.3,34.6,26.8,8.3,10481_to32,nc_lcd200
2400,107.5,69.6,13.0,47.7,34.7,6.7,10481_to32,nc_lcd200
2550,127.1,95.4,8.1,59.8,50.5,2.7,10481_to32,nc_lcd200
2700,131.1,106.2,7.3,62.1,54.1,2.8,10481_to32,nc_lcd200
2850,149.1,111.0,7.7,67.2,58.7,2.3,10481_to32,nc_lcd200
3000,148.0,114.4,6.1,70.3,62.5,1.6,10481_to32,nc_lcd200
3150,146.6,104.1,8.1,66.0,55.7,2.7,10481_to32,nc_lcd200
3300,150.6,111.2,7.0,68.5,58.4,2.3,10481_to32,nc_lcd200
3450,157.2,118.3,6.8,67.4,57.6,2.6,10481_to32,nc_lcd200
3600,150.6,117.7,6.4,66.2,54.6,2.6,10481_to32,nc_lcd200
3750,168.7,122.9,6.7,65.0,54.4,2.6,10481_to32,nc_lcd200
3900,195.9,145.0,6.0,67.1,57.8,2.2,10481_to32,nc_lcd200
4050,205.0,157.5,4.9,72.8,64.8,1.4,10481_to32,nc_lcd200
4200,222.2,176.7,4.1,66.8,57.4,2.6,10481_to32,nc_lcd200
4350,231.1,180.0,3.7,66.5,57.4,2.5,10481_to32,nc_lcd200
4500,234.5,180.5,4.0,71.2,65.1,1.6,10481_to32,nc_lcd200
