,,n,n,n,dwell_mean,dwell_mean,dwell_mean,stop_s,stop_s,stop_s,trapped_L1_lt1000,trapped_L1_lt1000,trapped_L1_lt1000
run,,b0,h0,h11,b0,h0,h11,b0,h0,h11,b0,h0,h11
grp,w900,,,,,,,,,,,,
ramp,0,118.0,118.0,118.0,20.3,20.3,20.3,0.0,0.0,0.0,0.0,0.0,0.0
ramp,900,216.0,225.0,219.0,29.0,26.4,30.0,0.2,0.0,0.4,7.0,1.0,8.0
ramp,1800,197.0,201.0,194.0,30.5,29.4,51.5,1.5,0.4,20.6,9.0,5.0,36.0
ramp,2700,210.0,219.0,207.0,32.6,30.0,85.9,0.2,0.1,52.8,2.0,1.0,48.0
ramp,3600,190.0,188.0,154.0,26.9,27.3,90.0,0.2,0.1,61.5,3.0,2.0,19.0
ramp,4500,159.0,177.0,86.0,34.9,31.4,18.7,3.7,0.0,0.0,8.0,0.0,0.0
signal/other,0,388.0,388.0,388.0,56.4,56.4,56.4,0.0,0.0,0.0,0.0,0.0,0.0
signal/other,900,527.0,510.0,508.0,66.3,66.7,64.8,0.0,0.0,0.0,0.0,1.0,1.0
signal/other,1800,449.0,393.0,466.0,71.6,64.2,69.0,0.0,0.0,0.2,0.0,0.0,15.0
signal/other,2700,460.0,467.0,507.0,70.8,67.4,69.0,0.0,0.0,0.2,1.0,0.0,12.0
signal/other,3600,350.0,396.0,398.0,66.8,67.2,127.1,0.0,0.0,53.6,2.0,0.0,24.0
signal/other,4500,395.0,396.0,428.0,63.3,57.9,118.0,0.0,0.0,59.4,1.0,0.0,65.0
