win,nstop_mean_L1_nc_lcd200,nstop_mean_L2p_nc_lcd200,qmin_pos_min_L1_nc_lcd200,nstop_mean_L1_g1_lcd200,nstop_mean_L2p_g1_lcd200,qmin_pos_min_L1_g1_lcd200
150,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,2.0,0.0,0.0,1.0,0.0
1050,0.0,0.0,43.0,0.0,1.0,0.0
1200,0.0,2.0,0.0,0.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,327.0,0.0,1.0,0.0
1950,0.0,0.0,42.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0
2250,0.0,0.0,0.0,0.0,0.0,302.0
2400,0.0,0.0,0.0,0.0,2.0,0.0
2550,0.0,1.0,0.0,0.0,2.0,0.0
2700,0.0,0.0,0.0,0.0,4.0,44.0
2850,0.0,0.0,41.0,0.0,4.0,0.0
3000,0.0,0.0,0.0,0.0,8.0,0.0
3150,0.0,0.0,46.0,0.0,11.0,283.0
3300,0.0,0.0,0.0,0.0,17.0,0.0
3450,0.0,0.0,0.0,1.0,17.0,156.0
3600,0.0,1.0,0.0,0.0,16.0,188.0
3750,0.0,3.0,0.0,0.0,18.0,328.0
3900,0.0,5.0,269.0,0.0,8.0,0.0
4050,0.0,0.0,0.0,0.0,9.0,334.0
4200,0.0,0.0,0.0,0.0,8.0,254.0
4350,0.0,0.0,0.0,0.0,13.0,0.0
4500,0.0,0.0,0.0,0.0,7.0,0.0
4650,0.0,0.0,0.0,0.0,11.0,310.0
4800,0.0,0.0,323.0,0.0,9.0,283.0
4950,0.0,0.0,0.0,0.0,5.0,0.0
5100,0.0,0.0,0.0,0.0,2.0,0.0
5250,0.0,0.0,0.0,0.0,5.0,301.0
