run,next_link,n,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s,L2pstop_s,n_L1stop_lt1000
h0,-1,2550,63.6,140.0,0.0,0.0,45.0,0.0,0.0,1
h0,10480,294,52.2,70.0,0.0,0.0,4.3,0.0,0.0,1
h0,10484,834,19.3,40.0,0.1,0.0,4.5,0.0,0.1,8
h11,-1,2695,82.7,140.0,17.4,13.0,61.9,17.3,0.1,117
h11,10480,222,167.9,684.5,109.9,6.8,10.4,109.9,0.0,98
h11,10484,756,19.8,40.0,0.1,0.0,4.2,0.1,0.0,13
b0,-1,2569,66.2,140.0,0.0,0.0,47.2,0.0,0.0,4
b0,10480,278,59.2,80.0,3.4,0.3,4.6,3.4,0.0,23
b0,10484,812,19.3,44.5,0.1,0.0,4.4,0.0,0.0,6
