,,veh_h,veh_h,veh_h,stop_veh_h,stop_veh_h,stop_veh_h,spd,spd,spd
run,,b0,h0,h11,b0,h0,h11,b0,h0,h11
zone,w900,,,,,,,,,
10480_RDW,0,6.6,6.6,6.6,0.1,0.1,0.1,97.0,97.0,97.0
10480_RDW,900,9.3,8.9,8.3,0.2,0.1,0.1,80.3,81.7,88.7
10480_RDW,1800,10.0,11.8,7.6,0.7,2.9,0.1,70.6,57.2,87.6
10480_RDW,2700,11.3,10.8,7.5,1.6,2.4,0.0,56.2,52.7,90.1
10480_RDW,3600,13.6,11.3,8.8,4.2,2.6,0.1,42.0,53.2,76.6
10480_RDW,4500,12.2,11.2,8.0,3.1,2.9,0.0,48.0,52.2,87.3
10482_RDW,0,6.3,6.3,6.3,0.0,0.0,0.0,90.2,90.2,90.2
10482_RDW,900,9.4,8.9,7.7,0.1,0.1,0.1,72.0,74.9,85.4
10482_RDW,1800,8.8,10.0,6.4,0.4,1.4,0.0,72.2,61.4,94.0
10482_RDW,2700,11.3,8.5,6.6,1.1,1.4,0.0,54.9,59.7,89.0
10482_RDW,3600,9.3,9.1,7.3,1.9,1.6,0.0,54.5,60.9,79.7
10482_RDW,4500,8.6,8.3,5.8,1.3,1.5,0.0,59.9,62.8,98.9
10484_RDE,0,1.9,1.9,1.9,0.0,0.0,0.0,68.7,68.7,68.7
10484_RDE,900,3.0,3.1,3.1,0.0,0.0,0.0,72.4,70.4,70.3
10484_RDE,1800,2.5,2.8,2.4,0.0,0.0,0.0,66.8,64.8,67.5
10484_RDE,2700,2.3,2.5,2.2,0.0,0.0,0.0,60.7,64.7,64.7
10484_RDE,3600,2.0,2.1,1.8,0.0,0.0,0.0,63.9,63.8,68.3
10484_RDE,4500,2.0,1.9,1.5,0.0,0.0,0.0,69.5,69.7,81.6
10490_RDE,0,2.5,2.5,2.5,0.0,0.0,0.0,99.5,99.5,99.5
10490_RDE,900,3.7,3.9,3.7,0.0,0.0,0.0,98.6,96.5,97.0
10490_RDE,1800,2.5,2.8,2.7,0.0,0.0,0.0,95.2,92.6,97.5
10490_RDE,2700,2.1,2.5,2.0,0.0,0.0,0.0,90.2,90.9,100.0
10490_RDE,3600,1.9,2.2,3.0,0.0,0.0,1.1,92.5,88.9,85.2
10490_RDE,4500,2.3,2.2,15.1,0.0,0.0,13.3,91.0,93.5,10.6
10639_RFE,0,8.8,8.8,8.8,1.4,1.4,1.4,79.1,79.1,79.1
10639_RFE,900,19.4,18.7,20.4,6.8,6.3,7.6,29.1,31.3,28.0
10639_RFE,1800,35.4,32.0,35.5,22.2,18.2,21.2,11.9,14.0,11.8
10639_RFE,2700,46.2,44.5,46.2,31.2,28.7,30.3,8.2,8.5,8.3
10639_RFE,3600,44.7,45.4,44.7,30.0,29.7,32.8,8.5,8.2,7.9
10639_RFE,4500,37.8,42.5,41.4,20.7,27.0,27.5,11.5,9.2,9.2
10644_RFW,0,4.2,4.2,4.2,0.0,0.0,0.0,86.9,86.9,86.9
10644_RFW,900,7.3,7.6,6.8,0.0,0.1,0.0,77.1,75.8,79.4
10644_RFW,1800,6.9,6.7,6.3,0.0,0.0,0.0,69.6,80.7,79.7
10644_RFW,2700,8.0,5.6,5.9,0.0,0.0,0.0,68.6,79.9,77.0
10644_RFW,3600,5.0,5.6,4.9,0.0,0.0,0.0,80.5,85.4,80.7
10644_RFW,4500,5.2,4.5,5.8,0.0,0.0,0.0,79.6,94.5,85.4
10646_RFW,0,3.9,3.9,3.9,0.1,0.1,0.1,102.6,102.6,102.6
10646_RFW,900,6.7,6.3,6.3,0.1,0.0,0.1,88.5,94.8,90.8
10646_RFW,1800,6.7,5.9,5.3,0.0,0.0,0.0,76.4,93.9,96.8
10646_RFW,2700,7.5,4.8,5.1,0.1,0.0,0.0,74.6,95.5,89.5
10646_RFW,3600,6.3,5.2,6.2,0.1,0.0,0.1,73.0,95.4,75.8
10646_RFW,4500,9.6,4.6,13.1,2.1,0.0,4.1,49.8,100.4,40.7
10681_RFE,0,6.4,6.4,6.4,0.7,0.7,0.7,84.8,84.8,84.8
10681_RFE,900,10.2,10.3,10.6,1.9,1.8,2.3,50.8,51.9,49.4
10681_RFE,1800,15.8,14.6,15.6,8.4,6.3,7.9,23.2,27.6,22.8
10681_RFE,2700,17.4,18.5,17.9,11.4,10.4,11.4,17.5,18.3,17.5
10681_RFE,3600,16.8,17.2,17.4,11.0,10.3,11.5,18.3,19.0,18.3
10681_RFE,4500,15.4,16.6,15.8,7.2,9.8,10.2,23.6,20.3,18.5
