pbin,L1share_ramp_h0_all,L1share_signal_h0_all,stopshare_ramp_h0,stopshare_signal_h0,L1share_ramp_h11_all,L1share_signal_h11_all,stopshare_ramp_h11,stopshare_signal_h11,L1share_ramp_b0_all,L1share_signal_b0_all,stopshare_ramp_b0,stopshare_signal_b0
0,0.56,0.34,0.0,0.0,0.59,0.46,0.0,0.0,0.59,0.37,0.0,0.0
100,0.88,0.4,0.0,0.0,0.87,0.61,0.0,0.0,0.89,0.38,0.0,0.0
200,0.93,0.37,0.0,0.0,0.93,0.77,0.0,0.44,0.94,0.31,0.0,0.0
300,0.96,0.21,0.01,0.0,0.97,0.64,0.01,0.49,0.97,0.17,0.01,0.0
400,0.97,0.07,0.02,0.0,0.98,0.64,0.0,0.6,0.97,0.06,0.01,0.0
500,0.99,0.07,0.0,0.0,1.0,0.79,0.7,0.75,0.99,0.05,0.0,0.0
600,1.0,0.37,0.0,0.0,1.0,0.77,0.83,0.65,1.0,0.36,0.0,0.0
700,0.99,0.28,0.0,0.0,1.0,0.49,0.87,0.41,1.0,0.23,0.5,0.0
800,,0.4,,0.0,,0.3,,0.0,,0.36,,0.0
900,,0.46,,0.0,,0.47,,0.0,,0.5,,0.0
1000,,0.4,,0.0,,0.44,,0.0,,0.47,,0.0
1100,,0.38,,0.0,,0.41,,0.0,,0.43,,0.0
1200,,0.36,,0.0,,0.4,,0.0,,0.43,,0.0
1300,,0.37,,0.0,,0.4,,0.0,,0.42,,0.0
1400,,0.35,,0.0,,0.39,,0.0,,0.41,,0.0
1500,,0.34,,0.0,,0.38,,0.0,,0.4,,0.0
1600,,0.34,,0.0,,0.38,,0.0,,0.39,,0.0
1700,,0.33,,0.0,,0.38,,0.0,,0.38,,0.0
1800,,0.33,,0.0,,0.37,,0.0,,0.38,,0.0
1900,,0.33,,0.0,,0.37,,0.0,,0.39,,0.0
