win,nstop_mean_L1_h0,nstop_mean_L2p_h0,qmin_pos_min_L1_h0,nstop_mean_L1_h11,nstop_mean_L2p_h11,qmin_pos_min_L1_h11,nstop_mean_L1_b0,nstop_mean_L2p_b0,qmin_pos_min_L1_b0
0,0.0,0.0,1948.0,0.0,0.0,1948.0,0.0,0.0,1948.0
150,3.0,5.0,1269.0,3.0,5.0,1269.0,3.0,5.0,1269.0
300,6.0,19.0,1823.0,6.0,19.0,1823.0,6.0,19.0,1823.0
450,13.0,31.0,1717.0,13.0,31.0,1717.0,13.0,31.0,1717.0
600,23.0,50.0,1626.0,23.0,50.0,1626.0,23.0,50.0,1626.0
750,34.0,71.0,1545.0,34.0,71.0,1545.0,34.0,71.0,1545.0
900,42.0,83.0,1501.0,34.0,71.0,1501.0,38.0,69.0,1501.0
1050,46.0,89.0,1274.0,28.0,68.0,1269.0,41.0,69.0,1263.0
1200,47.0,102.0,1272.0,31.0,68.0,1504.0,41.0,74.0,1271.0
1350,52.0,113.0,1263.0,31.0,64.0,1272.0,50.0,72.0,1272.0
1500,56.0,124.0,1254.0,37.0,74.0,1267.0,55.0,75.0,1247.0
1650,60.0,130.0,1270.0,30.0,74.0,1270.0,56.0,86.0,1272.0
1800,64.0,128.0,1215.0,30.0,68.0,1263.0,57.0,106.0,1266.0
1950,64.0,125.0,1265.0,46.0,89.0,1507.0,61.0,114.0,1273.0
2100,66.0,128.0,1252.0,51.0,108.0,870.0,64.0,120.0,963.0
2250,65.0,133.0,1241.0,66.0,115.0,675.0,84.0,150.0,752.0
2400,67.0,129.0,1203.0,67.0,110.0,538.0,89.0,148.0,703.0
2550,66.0,127.0,1247.0,68.0,113.0,461.0,85.0,140.0,634.0
2700,64.0,127.0,1268.0,102.0,139.0,407.0,78.0,138.0,662.0
2850,69.0,131.0,1266.0,94.0,135.0,299.0,68.0,128.0,889.0
3000,73.0,131.0,1269.0,122.0,160.0,289.0,70.0,132.0,1263.0
3150,70.0,138.0,1250.0,110.0,162.0,205.0,72.0,133.0,1260.0
3300,69.0,137.0,1226.0,103.0,128.0,152.0,74.0,128.0,1253.0
3450,64.0,129.0,1269.0,127.0,144.0,133.0,78.0,124.0,1261.0
3600,65.0,139.0,1228.0,156.0,171.0,92.0,77.0,137.0,1232.0
3750,64.0,135.0,1264.0,161.0,171.0,38.0,78.0,129.0,1250.0
3900,69.0,132.0,1263.0,172.0,190.0,15.0,74.0,137.0,1253.0
4050,64.0,137.0,1264.0,174.0,215.0,15.0,77.0,134.0,1260.0
4200,69.0,139.0,1254.0,181.0,262.0,7.0,75.0,126.0,1273.0
4350,66.0,129.0,1269.0,157.0,268.0,4.0,76.0,118.0,1267.0
4500,64.0,131.0,1271.0,151.0,241.0,3.0,74.0,126.0,1276.0
4650,65.0,133.0,1272.0,165.0,253.0,3.0,75.0,130.0,1272.0
4800,69.0,130.0,1275.0,166.0,287.0,17.0,73.0,119.0,1266.0
4950,67.0,126.0,1257.0,175.0,319.0,4.0,67.0,105.0,1270.0
5100,66.0,133.0,1258.0,172.0,320.0,4.0,71.0,123.0,1278.0
5250,66.0,136.0,1263.0,165.0,306.0,4.0,72.0,136.0,1264.0
