link,seg,w900,veh_h,spd,stop_veh_h,run
26,-500,4500,0.0,10.3,0.0,nc_lcd200
26,0,0,9.4,74.9,0.0,nc_lcd200
26,0,900,13.4,66.9,0.0,nc_lcd200
26,0,1800,27.3,26.9,5.7,nc_lcd200
26,0,2700,36.0,16.3,11.4,nc_lcd200
26,0,3600,35.8,16.7,11.8,nc_lcd200
26,0,4500,39.6,13.6,15.3,nc_lcd200
26,500,0,6.6,103.7,0.0,nc_lcd200
26,500,900,10.3,85.7,0.1,nc_lcd200
26,500,1800,27.7,25.3,6.0,nc_lcd200
26,500,2700,36.4,15.5,12.4,nc_lcd200
26,500,3600,34.1,17.8,10.6,nc_lcd200
26,500,4500,36.7,15.0,12.9,nc_lcd200
26,1000,0,6.2,108.3,0.0,nc_lcd200
26,1000,900,12.6,67.5,0.8,nc_lcd200
26,1000,1800,29.0,23.8,6.4,nc_lcd200
26,1000,2700,37.7,14.5,13.3,nc_lcd200
26,1000,3600,33.7,18.1,10.4,nc_lcd200
26,1000,4500,36.5,15.4,12.1,nc_lcd200
26,1500,0,5.9,111.6,0.0,nc_lcd200
26,1500,900,14.4,55.8,1.9,nc_lcd200
26,1500,1800,29.3,23.4,6.3,nc_lcd200
26,1500,2700,38.2,14.1,13.9,nc_lcd200
26,1500,3600,34.1,17.7,10.4,nc_lcd200
26,1500,4500,36.3,15.8,11.9,nc_lcd200
26,2000,0,5.8,112.1,0.0,nc_lcd200
26,2000,900,19.1,39.9,3.4,nc_lcd200
26,2000,1800,31.0,21.5,7.1,nc_lcd200
26,2000,2700,39.1,13.7,14.8,nc_lcd200
26,2000,3600,35.1,17.2,10.6,nc_lcd200
26,2000,4500,36.1,16.2,11.6,nc_lcd200
26,2500,0,6.0,105.9,0.0,nc_lcd200
26,2500,900,17.2,41.8,2.3,nc_lcd200
26,2500,1800,23.4,27.6,4.9,nc_lcd200
26,2500,2700,33.1,16.3,11.8,nc_lcd200
26,2500,3600,28.3,20.8,8.4,nc_lcd200
26,2500,4500,26.2,22.8,6.9,nc_lcd200
26,3000,0,6.9,88.3,0.1,nc_lcd200
26,3000,900,10.0,69.5,0.4,nc_lcd200
26,3000,1800,11.8,51.0,2.0,nc_lcd200
26,3000,2700,12.6,42.9,2.4,nc_lcd200
26,3000,3600,13.2,42.0,3.2,nc_lcd200
26,3000,4500,10.7,54.7,1.2,nc_lcd200
26,3500,0,5.3,84.3,0.0,nc_lcd200
26,3500,900,7.1,77.3,0.1,nc_lcd200
26,3500,1800,8.5,59.4,1.4,nc_lcd200
26,3500,2700,6.9,58.6,1.2,nc_lcd200
26,3500,3600,8.3,54.8,1.9,nc_lcd200
26,3500,4500,7.5,59.1,1.5,nc_lcd200
26,4000,0,4.8,91.9,0.0,nc_lcd200
26,4000,900,6.4,89.4,0.0,nc_lcd200
26,4000,1800,6.1,89.7,0.0,nc_lcd200
26,4000,2700,4.7,93.9,0.0,nc_lcd200
26,4000,3600,5.2,92.3,0.0,nc_lcd200
26,4000,4500,4.7,96.5,0.0,nc_lcd200
26,4500,0,3.7,113.2,0.0,nc_lcd200
26,4500,900,5.2,110.6,0.0,nc_lcd200
26,4500,1800,4.9,112.0,0.0,nc_lcd200
26,4500,2700,3.8,115.7,0.0,nc_lcd200
26,4500,3600,4.3,112.5,0.0,nc_lcd200
26,4500,4500,3.9,114.1,0.0,nc_lcd200
26,5000,0,3.6,113.9,0.0,nc_lcd200
26,5000,900,5.1,112.3,0.0,nc_lcd200
26,5000,1800,4.9,112.1,0.0,nc_lcd200
26,5000,2700,3.8,115.3,0.0,nc_lcd200
26,5000,3600,4.3,113.7,0.0,nc_lcd200
26,5000,4500,3.9,114.1,0.0,nc_lcd200
26,5500,0,3.5,108.9,0.0,nc_lcd200
26,5500,900,5.0,110.3,0.0,nc_lcd200
26,5500,1800,4.9,105.7,0.1,nc_lcd200
26,5500,2700,3.7,112.9,0.0,nc_lcd200
26,5500,3600,4.2,109.3,0.0,nc_lcd200
26,5500,4500,3.8,113.3,0.0,nc_lcd200
26,6000,0,2.8,102.3,0.0,nc_lcd200
26,6000,900,5.0,91.9,0.0,nc_lcd200
26,6000,1800,4.8,89.3,0.0,nc_lcd200
26,6000,2700,3.9,89.8,0.0,nc_lcd200
26,6000,3600,4.2,92.9,0.0,nc_lcd200
26,6000,4500,3.9,95.2,0.0,nc_lcd200
26,6500,0,3.4,87.3,0.0,nc_lcd200
26,6500,900,6.0,78.2,0.0,nc_lcd200
26,6500,1800,5.4,82.4,0.0,nc_lcd200
26,6500,2700,4.6,79.7,0.0,nc_lcd200
26,6500,3600,4.4,88.3,0.0,nc_lcd200
26,6500,4500,3.7,96.8,0.0,nc_lcd200
26,7000,0,4.4,71.4,0.0,nc_lcd200
26,7000,900,8.7,61.2,0.0,nc_lcd200
26,7000,1800,7.8,65.1,0.0,nc_lcd200
26,7000,2700,6.9,64.5,0.0,nc_lcd200
26,7000,3600,6.1,71.8,0.0,nc_lcd200
26,7000,4500,4.8,82.5,0.0,nc_lcd200
26,7500,0,4.2,72.9,0.0,nc_lcd200
26,7500,900,8.5,61.9,0.0,nc_lcd200
26,7500,1800,8.4,61.6,0.0,nc_lcd200
26,7500,2700,7.2,61.5,0.0,nc_lcd200
26,7500,3600,6.3,69.8,0.0,nc_lcd200
26,7500,4500,4.7,84.1,0.0,nc_lcd200
26,8000,0,3.1,93.3,0.0,nc_lcd200
26,8000,900,6.3,82.2,0.0,nc_lcd200
26,8000,1800,6.4,82.7,0.0,nc_lcd200
26,8000,2700,5.2,83.9,0.0,nc_lcd200
26,8000,3600,5.1,88.3,0.0,nc_lcd200
26,8000,4500,3.9,100.5,0.0,nc_lcd200
26,8500,0,2.5,113.0,0.0,nc_lcd200
26,8500,900,4.8,108.9,0.0,nc_lcd200
26,8500,1800,4.6,110.6,0.0,nc_lcd200
26,8500,2700,4.1,109.6,0.0,nc_lcd200
