run,next_link,n,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s,L2pstop_s,n_L1stop_lt1000
h0,-1,256,346.0,685.0,277.3,19.7,24.6,88.6,188.7,0
h0,38,37,498.5,700.0,396.9,4.1,5.1,0.7,396.2,0
h0,10118,1573,498.9,814.0,396.2,173.1,218.0,168.4,227.8,0
h0,10482,1065,91.9,105.0,0.0,0.0,27.2,0.0,0.0,0
h0,10490,400,133.4,195.0,22.1,2.5,14.8,22.0,0.2,0
h0,10695,422,533.5,739.5,416.7,48.8,62.5,0.7,416.0,0
h11,-1,533,1361.5,2319.0,1244.6,184.3,201.6,522.0,722.7,189
h11,38,40,204.1,332.0,140.4,1.6,2.3,0.2,140.1,0
h11,10118,2173,226.8,355.0,152.9,92.3,136.9,59.1,93.8,12
h11,10482,652,322.0,775.0,208.8,37.8,58.3,65.7,143.1,95
h11,10490,370,247.9,675.5,132.2,13.6,25.5,103.4,28.7,69
h11,10695,345,261.3,400.0,179.5,17.2,25.0,0.7,178.8,1
b0,-1,275,342.1,695.0,270.1,20.6,26.1,102.1,167.9,0
b0,38,70,397.9,622.5,294.2,5.7,7.7,4.4,289.9,0
b0,10118,1249,501.3,920.0,399.9,138.7,173.9,213.2,186.7,2
b0,10482,1065,113.1,213.0,15.9,4.7,33.5,3.8,12.1,74
b0,10490,393,146.3,245.0,30.4,3.3,16.0,30.2,0.2,61
b0,10695,703,477.4,720.0,357.4,69.8,93.2,12.4,345.0,3
