run,dest,lg,zone,veh_h,stop_veh_h
b0,END,L1,dn>=1029,9.2,7.8
b0,END,L1,up<1029,0.2,0.0
b0,END,L2p,dn>=1029,16.4,12.8
b0,END,L2p,up<1029,0.3,0.0
b0,RDE,L1,dn>=1029,5.1,2.0
b0,RDE,L1,up<1029,8.6,1.3
b0,RDE,L2p,dn>=1029,0.0,0.0
b0,RDE,L2p,up<1029,2.3,0.0
b0,RDW,L1,up<1029,12.4,1.1
b0,RDW,L2p,up<1029,21.1,3.6
b0,SIG,L1,dn>=1029,91.8,76.3
b0,SIG,L1,up<1029,1.6,0.2
b0,SIG,L2p,dn>=1029,178.8,137.8
b0,SIG,L2p,up<1029,2.7,0.0
g1_lcd200,END,L1,dn>=1029,1.9,1.2
g1_lcd200,END,L1,up<1029,2.8,2.1
g1_lcd200,END,L2p,dn>=1029,5.9,3.9
g1_lcd200,END,L2p,up<1029,3.5,2.2
g1_lcd200,RDE,L1,dn>=1029,2.0,0.0
g1_lcd200,RDE,L1,up<1029,3.3,0.4
g1_lcd200,RDE,L2p,dn>=1029,0.8,0.0
g1_lcd200,RDE,L2p,up<1029,5.8,0.1
g1_lcd200,RDW,L1,up<1029,10.0,1.2
g1_lcd200,RDW,L2p,up<1029,19.7,2.5
g1_lcd200,SIG,L1,dn>=1029,65.8,45.5
g1_lcd200,SIG,L1,up<1029,1.5,0.0
g1_lcd200,SIG,L2p,dn>=1029,129.8,91.1
g1_lcd200,SIG,L2p,up<1029,2.8,0.0
h0,END,L1,dn>=1029,7.7,6.3
h0,END,L1,up<1029,0.2,0.0
h0,END,L2p,dn>=1029,16.4,13.4
h0,END,L2p,up<1029,0.4,0.0
h0,RDE,L1,dn>=1029,5.7,2.4
h0,RDE,L1,up<1029,6.8,0.0
h0,RDE,L2p,dn>=1029,0.0,0.0
h0,RDE,L2p,up<1029,2.3,0.0
h0,RDW,L1,up<1029,10.8,0.0
h0,RDW,L2p,up<1029,16.4,0.0
h0,SIG,L1,dn>=1029,90.9,73.7
h0,SIG,L1,up<1029,1.4,0.0
h0,SIG,L2p,dn>=1029,190.8,152.4
h0,SIG,L2p,up<1029,2.6,0.0
h11,END,L1,dn>=1029,0.1,0.0
h11,END,L1,up<1029,80.3,77.2
h11,END,L2p,dn>=1029,1.9,1.3
h11,END,L2p,up<1029,119.2,105.7
h11,RDE,L1,dn>=1029,2.3,0.0
h11,RDE,L1,up<1029,16.2,10.6
h11,RDE,L2p,dn>=1029,0.1,0.0
h11,RDE,L2p,up<1029,6.9,3.0
h11,RDW,L1,up<1029,19.7,11.9
h11,RDW,L2p,up<1029,38.6,25.9
h11,SIG,L1,dn>=1029,51.8,34.3
h11,SIG,L1,up<1029,2.5,1.4
h11,SIG,L2p,dn>=1029,104.2,73.1
h11,SIG,L2p,up<1029,5.8,2.2
nc_lcd200,END,L1,dn>=1029,7.9,6.5
nc_lcd200,END,L1,up<1029,0.2,0.0
nc_lcd200,END,L2p,dn>=1029,17.3,14.0
nc_lcd200,END,L2p,up<1029,0.3,0.0
nc_lcd200,RDE,L1,dn>=1029,4.7,2.4
nc_lcd200,RDE,L1,up<1029,3.0,0.0
nc_lcd200,RDE,L2p,dn>=1029,0.9,0.0
nc_lcd200,RDE,L2p,up<1029,5.8,0.0
nc_lcd200,RDW,L1,up<1029,9.0,0.0
nc_lcd200,RDW,L2p,up<1029,17.9,0.0
nc_lcd200,SIG,L1,dn>=1029,91.7,74.4
nc_lcd200,SIG,L1,up<1029,1.4,0.0
nc_lcd200,SIG,L2p,dn>=1029,185.1,146.8
nc_lcd200,SIG,L2p,up<1029,2.6,0.0
